SUBJECT,VERB,OBJECT,typicality,mean_rat,std_rat
surfer,wear,sunglasses,T,5.95,1.28
goalkeeper,grab,ball,T,5.6,1.88
waiter,cut,cake,T,4.85,1.53
student,use,computer,T,6.35,1.53
priest,celebrate,marriage,T,6.5,1.32
child,build,snowman,T,6.15,1.11
fisherman,sell,fish,T,6.45,1.12
policeman,examine,car,T,5.95,1.36
surgeon,perform,surgery,T,6.85,0.48
athlete,celebrate,victory,T,6.65,0.73
butcher,cut,meat,T,6.75,0.7
professor,deliver,lecture,T,6.6,0.73
professor,wear,tie,T,5.95,1.12
spectator,watch,game,T,6.6,0.58
soldier,hear,command,T,6.1,1.64
soldier,cross,river,T,4.5,1.6
farmer,use,shovel,T,5.95,1.5
surfer,grab,board,T,5.3,2.12
painter,paint,picture,T,6.7,0.56
student,wear,glasses,T,5.55,1.36
student,complete,project,T,5.9,1.97
smuggler,sell,weapon,T,6.5,0.5
carpenter,grab,board,T,5.85,1.74
player,reach,goal,T,6.45,0.67
breeder,sell,dog,T,6.25,0.94
postman,deliver,mail,T,6.55,1.2
hound,fetch,bird,T,5.05,1.56
teacher,use,blackboard,T,5.95,1.99
photographer,capture,image,T,6.95,0.22
surfer,flip,board,T,5,1.79
child,celebrate,birthday,T,6.45,0.8
waiter,prepare,drink,T,6.4,1.36
goalkeeper,hold,ball,T,6.7,0.71
cheerleader,carry,flag,T,5.2,2.01
waiter,fetch,water,T,6.2,1.29
student,celebrate,graduation,T,6.7,0.56
player,pass,ball,T,6.4,0.8
mason,fix,wall,T,6.15,1.49
housemaid,clean,dish,T,5.7,2.05
professor,open,congress,T,3,2.26
athlete,win,cup,T,5.15,1.82
dealer,examine,car,T,6.4,0.8
illustrator,decorate,book,T,6.3,0.78
patient,fight,cancer,T,5.65,1.01
president,visit,school,T,4.25,1.81
housemaid,mop,floor,T,6.7,0.71
hiker,face,mountain,T,6.15,1.19
soldier,wear,uniform,T,6.9,0.3
cheerleader,perform,dance,T,5.75,1.58
climber,use,rope,T,6.85,0.48
soldier,throw,bomb,T,5.3,1.38
biologist,use,microscope,T,6.7,0.64
traveller,check,watch,T,4.4,2.31
child,ride,bus,T,5.3,2.19
surgeon,examine,patient,T,6.05,1.56
child,drink,coke,T,4.65,2.08
cowboy,enjoy,ride,T,5.6,1.71
player,gather,ball,T,5.55,1.4
cowboy,ride,bull,T,5.7,1
student,drink,beer,T,4.6,1.43
butcher,carve,meat,T,5.75,1.97
violinist,play,violin,T,6.9,0.3
tourist,read,map,T,6.4,1.02
traveller,check,bag,T,6,1.14
soldier,release,prisoner,T,4.3,1.82
gardener,push,mower,T,5.65,1.71
soldier,check,rifle,T,6.85,0.36
student,enjoy,beer,T,4.7,2.05
child,find,doll,T,5.65,1.53
soldier,hold,flag,T,5.2,1.94
dog,fetch,ball,T,5.5,2.09
photographer,prepare,camera,T,6.4,0.86
child,open,present,T,6.7,0.64
soldier,throw,bomb,T,5.8,0.81
waiter,bring,glass,T,6.8,0.4
diplomat,carry,message,T,5.65,1.53
farmer,spray,pesticide,T,6.7,0.46
policeman,put,criminal,T,6.75,0.62
teacher,explain,exercise,T,6.9,0.3
programmer,load,file,T,6.65,0.48
child,throw,ball,T,6.35,0.57
pusher,sell,drug,T,5.85,2.15
professor,teach,language,T,6,1.3
manager,rent,room,T,3.65,1.82
jeweller,put,necklace,T,6.85,0.48
collector,donate,painting,T,3.7,1.73
demonstrator,throw,stone,T,3.5,1.96
patient,report,symptom,T,6.7,0.56
boss,promise,promotion,T,5.95,1.36
employer,offer,job,T,6.65,0.65
priest,teach,bible,T,6.8,0.4
witness,explain,circumstances,T,5.6,1.59
crew,load,container,T,5.2,1.83
child,tell,lie,T,5.95,1.02
blacksmith,pour,metal,T,6.5,0.97
grandfather,tell,story,T,6.55,0.59
traveller,hand,bag,T,5.8,0.87
scientist,report,finding,T,6.4,1.11
parent,give,present,T,5.7,1.55
investor,rent,land,T,4.05,1.8
bank,assign,code,T,6.15,1.19
sergeant,assign,mission,T,6.6,0.73
mechanic,rent,truck,T,4.2,1.36
witness,report,crime,T,6.4,0.73
confectioner,spread,icing,T,6.35,1.01
vandal,spray,paint,T,6.2,1.03
doctor,offer,support,T,6,0.84
hairstylist,spray,foam,T,5.95,1.47
employee,pass,report,T,5.4,1.5
anchorman,tell,news,T,6.75,0.7
librarian,put,book,T,6.75,0.54
chauffeur,carry,passenger,T,6.65,0.65
farmer,sell,corn,T,6.25,1.26
dealer,sell,car,T,6.7,0.56
teacher,give,homework,T,6.85,0.36
priest,promise,salvation,T,6.05,1.2
bartender,hand,drink,T,6.55,1.12
boss,assign,job,T,6.75,0.43
government,offer,protection,T,5.7,1.38
president,give,speech,T,6.8,0.4
beautician,spread,cream,T,5.2,1.96
sculptor,teach,art,T,5.85,1.24
professor,donate,book,T,4.8,1.83
child,lend,pen,T,4.45,1.83
president,promise,reform,T,6.2,1.21
hostess,explain,procedure,T,4.1,1.64
salesperson,send,questionnaire,T,3.45,1.72
teacher,lend,book,T,6.15,0.79
porter,load,luggage,T,6.5,0.97
spy,pass,information,T,6.35,0.73
volunteer,bring,food,T,6.1,0.83
chemist,pour,compound,T,6.25,1.09
student,send,email,T,6.1,1.22
general,send,soldier,T,6.8,0.4
waiter,pour,wine,T,6.6,0.58
reporter,bring,news,T,6.8,0.51
billionaire,donate,money,T,6.2,0.87
journalist,carry,article,T,6.15,1.24
mechanic,spread,coating,T,3.65,1.8
nurse,hand,lancet,T,5.8,1.47
usurer,lend,money,T,5.2,1.96
footballer,pass,ball,T,6.75,0.7
musician,play,song,T,6.35,1.11
waiter,carry,tray,T,6.35,1.06
engineer,draw,turbine,T,5.4,1.43
pupil,draw,flower,T,4.85,1.62
archeologist,examine,epigraph,T,5.5,1.72
child,write,conjugation,T,3.95,1.94
doctor,write,diagnosis,T,6.8,0.4
engineer,complete,painting,AT,1.85,1.11
sailor,face,wall,AT,2.1,1.81
businessman,tie,prisoner,AT,1.45,0.8
student,wear,harness,AT,2.15,1.77
jockey,ride,wave,AT,1.6,1.2
politician,sign,paint,AT,2.25,1.61
spectator,hear,horn,AT,4.75,1.48
deejay,mix,ingredient,AT,2.1,1.3
mover,move,horse,AT,2.85,1.46
woman,paint,sign,AT,3.55,1.72
mother,hang,rifle,AT,2.35,1.96
nanny,watch,landscape,AT,4.05,2.36
goalkeeper,catch,fish,AT,1.65,1.39
surfer,flip,pancake,AT,2.55,1.94
surgeon,examine,car,AT,1.2,0.4
doctor,help,cook,AT,2.05,1.6
driver,hear,baby,AT,3.25,1.7
referee,move,furniture,AT,1.7,0.78
dealer,check,net,AT,2.95,2.04
baker,gather,soldier,AT,1,0
botanist,examine,tire,AT,3,2.65
waiter,open,sarcophagus,AT,1.35,0.57
footballer,kick,vase,AT,1.35,0.65
customer,read,music,AT,2.6,1.77
firefighter,fight,crime,AT,2.05,1.4
hairstylist,wash,infant,AT,2.85,2.26
skipper,assemble,bicycle,AT,2.15,1.85
candidate,celebrate,holiday,AT,5,1.87
mechanic,fix,roof,AT,2.1,1.55
policeman,fight,obesity,AT,2.35,1.24
sweeper,clean,window,AT,3.9,2.34
confectioner,decorate,tree,AT,2.9,1.48
skier,gain,ball,AT,2.05,1.12
knight,hold,camera,AT,2,1.45
soldier,gather,grass,AT,2.75,1.73
general,win,toy,AT,1.55,0.92
singer,hold,sword,AT,1.5,0.74
programmer,describe,monument,AT,2.95,2.04
player,pass,exam,AT,4.45,1.77
cheerleader,shake,drink,AT,2.75,1.67
fighter,kick,television,AT,2.6,1.8
reporter,hold,knife,AT,1.85,1.15
librarian,climb,tree,AT,1.8,1.5
producer,release,prisoner,AT,1.6,0.97
guard,open,present,AT,2.05,1.28
bodybuilder,lift,flag,AT,3.1,1.84
farmer,plow,sand,AT,4.1,2.28
barber,use,microscope,AT,1.2,0.6
painter,decorate,cake,AT,2.6,1.71
champion,hold,guitar,AT,2.95,1.83
journalist,write,song,AT,1.9,1.55
violinist,play,trumpet,AT,3,1.7
terrorist,release,book,AT,1.8,1.12
sculptor,carve,meat,AT,2.45,1.8
artist,assemble,tent,AT,2,1.1
dog,catch,wave,AT,2.35,1.53
child,find,corpse,AT,1.45,0.97
bartender,shake,flag,AT,2.05,1.6
passenger,pull,corpse,AT,1.45,1.32
cook,cut,grass,AT,3.35,2.01
killer,pull,cart,AT,2.5,1.94
photographer,examine,dog,AT,1.75,0.99
pilot,begin,performance,AT,2.4,1.88
astronaut,reach,baker,AT,2.35,1.71
musician,play,soccer,AT,1.95,0.86
porter,carry,flag,AT,2.65,2.06
mason,fix,bike,AT,1.55,0.67
horse,pull,suitcase,AT,1.55,1.36
tailor,sew,wound,AT,1.6,1.11
athlete,win,toy,AT,3.15,2.26
professor,write,magazine,AT,3.6,1.46
philologist,examine,camera,AT,2.3,1.27
teacher,help,patient,AT,1.95,1.07
magician,read,newspaper,AT,4,1.9
lumberjack,stack,book,AT,2.2,1.17
butcher,use,camera,AT,2.05,1.53
carpenter,fix,shoe,AT,1.2,0.51
florist,sell,bike,AT,1.4,0.58
cobbler,sew,parachute,AT,1.6,1.36
thief,grab,banana,AT,3.7,2.24
climber,climb,staircase,AT,5.6,1.66
guest,hold,camera,AT,3.55,1.6
electrician,check,rifle,AT,1.9,1.55
dog,eat,plant,AT,4.3,1.85
smuggler,sell,flower,AT,2.4,1.83
student,hear,command,AT,4.45,1.75
goalkeeper,hold,child,AT,2.7,1.65
child,draw,horse,AT,5.65,1.28
scoutmaster,assemble,sailboat,AT,4.25,1.76
dog,fetch,tray,AT,3.2,1.94
teacher,use,knife,AT,2.85,1.19
chemist,sell,dog,AT,1.9,1.45
gardener,push,demonstrator,AT,2.6,2.01
lumberjack,use,lancet,AT,2.75,1.81
musician,hold,stone,AT,1.6,0.8
gardener,cut,fish,AT,1.45,0.74
barber,cut,cake,AT,2.1,1.51
musician,entertain,demonstrator,AT,4.2,1.75
child,eat,bone,AT,2.85,2.08
illustrator,decorate,garden,AT,3,1.73
archer,release,interview,AT,2.5,1.72
painter,mix,drink,AT,2.8,1.33
undertaker,dig,trench,AT,3.2,2.11
mother,prepare,gun,AT,3.05,2.54
priest,celebrate,graduation,AT,3.85,2.2
mason,fix,tire,AT,3.25,2.41
hairstylist,fix,bike,AT,1.25,0.43
fisherman,catch,ball,AT,2.2,1.75
soldier,hear,poem,AT,3.1,1.84
baker,sell,stroller,AT,2.05,1.56
professor,wear,goggles,AT,4.7,1.95
waiter,mix,cement,AT,1.5,1.12
housewife,clean,shoe,AT,5.45,0.86
student,enjoy,marriage,AT,3.6,1.83
teenager,hear,lecture,AT,4.65,2.06
tourist,read,bible,AT,3,1.64
author,sign,check,AT,3.4,1.74
secretary,write,sonet,AT,3.55,2.44
child,build,sculpture,AT,3.95,1.88
soldier,hold,comb,AT,3.65,1.77
player,gather,grass,AT,2.4,1.8
guest,hang,laundry,AT,3.9,2
child,grab,tyre,AT,2.3,1.68
policeman,check,groceries,AT,2,1.48
poet,write,menu,AT,1.75,1.26
goalkeeper,throw,bomb,AT,1.05,0.22
tourist,ride,skateboard,AT,3.7,2.17
waiter,clear,road,AT,2.9,2.62
cyclist,complete,project,AT,2.7,1.35
student,drink,gasoline,AT,1.6,1.5
spectator,buy,car,AT,2.8,1.96
assistant,help,soldier,AT,2.8,1.63
biker,wear,swimsuit,AT,2.1,1.45
milkman,carry,flag,AT,2.6,1.62
dog,pull,trigger,AT,2.8,2.54
carver,build,house,AT,2.9,1.95
child,cut,tree,AT,1.75,1.44
professor,open,jail,AT,1.2,0.4
mother,push,trash,AT,3.8,1.99
mechanic,assemble,art,AT,1.7,1.1
soldier,fight,cancer,AT,3.1,1.87
cook,clean,window,AT,2.3,1.68
surfer,wear,tuxedo,AT,2.1,1.87
passenger,buy,table,AT,2.25,1.22
truck,plow,garden,AT,2.3,2
cat,chase,kite,AT,3.9,1.89
child,ride,bull,AT,2,1.55
gardener,gather,flag,AT,1.9,1.18
cheerleader,carry,rifle,AT,2.2,2.09
player,enjoy,beer,AT,4.5,1.43
biologist,use,razor,AT,3.3,1.65
child,celebrate,victory,AT,5.05,1.43
pilot,win,lottery,AT,2.8,1.29
surgeon,perform,dance,AT,2.4,1.46
child,visit,prisoner,AT,2,1.22
mason,mix,soup,AT,1.95,1.5
hiker,face,camera,AT,3.95,2.09
student,read,hand,AT,2.4,1.2
surfer,wear,tie,AT,2,1.76
soldier,throw,snowball,AT,1.8,0.98
soldier,check,burner,AT,2.2,1.33
butcher,sell,weapon,AT,1.6,0.73
president,visit,grandmother,AT,4.45,1.77
dog,chase,tank,AT,2.25,1.64
woman,carry,stone,AT,3.1,2.17
traveller,check,team,AT,3,1.97
sailor,tie,necktie,AT,3.5,1.91
patient,fight,fire,AT,1.95,1.4
soldier,wear,jeans,AT,3.85,1.8
swimmer,wear,cloak,AT,3.1,2.19
butcher,carve,stone,AT,2.3,1.79
soldier,use,brush,AT,3.8,2.09
policeman,hit,ball,AT,2.7,1.27
soldier,cross,stage,AT,2.45,1.53
traveller,check,grocery,AT,4.2,2.09
woman,open,manhole,AT,2.4,1.2
nurse,push,mower,AT,1.45,0.74
biker,start,lesson,AT,3.4,2.33
cameraman,record,sale,AT,2.45,1.66
illustrator,draw,carriage,AT,5.15,1.8
spectator,watch,bird,AT,5.25,1.04
soldier,carry,ball,AT,1.7,1.45
child,drink,beer,AT,2,1.76
surgeon,use,rifle,AT,1.9,1.09
child,climb,mountain,AT,3.2,2.32
soldier,hang,picture,AT,3.2,2.23
footballer,deliver,lecture,AT,3.2,2.29
general,gather,bread,AT,1.85,1.39
soldier,release,film,AT,1.9,0.94
waiter,prepare,bomb,AT,1.1,0.3
gardener,decorate,book,AT,2.05,1.69
player,begin,class,AT,3.3,1.98
student,drink,milk,AT,4.9,1.67
player,touch,flower,AT,1.7,1.38
singer,record,recipe,AT,1.65,0.79
footballer,hit,car,AT,2.3,1.42
ant,stack,suitcase,AT,1.95,1.69
boxer,deliver,drink,AT,2.2,1.29
student,wear,armor,AT,3.05,2.54
refugee,find,doll,AT,3.15,2.1
cowboy,enjoy,snack,AT,4.8,1.36
demonstrator,sign,shirt,AT,2.1,1.58
housemaid,mop,barracks,AT,3.2,2.04
burglar,climb,rock,AT,2.75,1.89
waiter,hold,flag,AT,3.5,2.06
student,throw,garbage,AT,3.25,1.37
animal,find,map,AT,2,1.52
mechanic,check,grocery,AT,2.3,1.19
veterinarian,examine,plant,AT,2.2,1.57
soldier,celebrate,graduation,AT,3.9,1.58
spectator,enjoy,breakfast,AT,4.25,1.73
pyromaniac,start,computer,AT,1.8,1.12
farmer,use,computer,AT,2.55,1.4
doctor,sew,shoe,AT,1.6,1.16
breeder,sell,cigarette,AT,1.9,1.22
model,face,mountain,AT,2.75,1.61
comedian,entertain,soldier,AT,4.3,1.82
guard,tie,roast,AT,2.5,1.43
librarian,stack,supply,AT,3.85,2.1
photographer,capture,thief,AT,1.75,1.37
dog,dig,grave,AT,2.6,1.59
nurse,wash,car,AT,2.45,1.56
surfer,catch,baseball,AT,1.75,0.7
illusionist,perform,surgery,AT,1.5,1.36
skater,ride,bus,AT,3.9,2.1
musician,read,menu,AT,2.45,1.2
athlete,celebrate,marriage,AT,3.1,1.51
president,deliver,kick,AT,2.9,2.21
footballer,chase,toy,AT,2.7,1.87
butcher,cut,tree,AT,1.8,1.36
carpenter,grab,ball,AT,1.25,0.43
coach,check,car,AT,2.45,1.32
cheerleader,perform,spell,AT,1.65,1.53
doctor,visit,museum,AT,2.95,1.5
housemaid,clean,street,AT,2.9,1.34
fisherman,check,car,AT,1.75,1.18
housemaid,wash,boat,AT,4,2.43
violinist,wear,helmet,AT,3.05,2.54
child,pick,investment,AT,1.65,1.39
mother,decorate,car,AT,2.7,1.31
hairstylist,flip,board,AT,1.9,1.87
player,reach,moon,AT,1.6,1.8
sailor,mop,classroom,AT,3.2,2.64
policeman,examine,patient,AT,2,1.26
carpenter,flip,hair,AT,3.1,2.61
artist,hang,motorcycle,AT,1.95,1.24
truck,hit,bag,AT,3.1,2.05
athlete,start,vacuum,AT,3.45,2.06
photographer,use,stethoscope,AT,1.75,1.37
doctor,use,shovel,AT,2.9,2.43
cyclist,ride,skateboard,AT,2.1,1.34
mother,hold,flag,AT,3.2,1.44
child,chase,thief,AT,2.05,1.28
speaker,entertain,dog,AT,3.15,2.24
painter,paint,toenail,AT,2.45,1.43
cook,buy,ticket,AT,3,1.38
horse,move,suitcase,AT,1.4,0.73
student,use,saw,AT,2.9,1.81
businessman,wear,uniform,AT,4.15,2.43
actor,win,battle,AT,2.6,1.5
student,celebrate,marriage,AT,3.45,1.8
receiver,catch,wave,AT,2.05,1.24
cook,flip,hair,AT,2.5,2.11
waiter,carry,rifle,AT,1.55,1.43
painter,sign,agreement,AT,3.65,1.77
pilot,start,concert,AT,1.6,1.36
monkey,grab,board,AT,2.15,1.62
student,complete,marathon,AT,3.65,1.68
housemaid,clean,fish,AT,3.9,1.61
soldier,dig,pool,AT,2.5,1.75
nanny,hear,speech,AT,3.2,1.86
chemist,mix,music,AT,1.35,0.57
climber,use,blackboard,AT,1.8,1.03
programmer,use,shovel,AT,3.15,2.61
student,begin,match,AT,3.5,1.75
waiter,cut,hair,AT,1.45,0.5
policeman,capture,image,AT,2.9,1.26
soldier,wear,pajamas,AT,3.5,1.88
player,gain,degree,AT,3.2,2.2
professor,deliver,kick,AT,1.65,1.42
postman,deliver,punch,AT,2.7,2.15
roofer,climb,rock,AT,2.15,1.46
businessman,read,fable,AT,2.35,1.11
tourist,visit,patient,AT,3,1.95
snowboarder,flip,bike,AT,3.45,2.38
dog,carry,flag,AT,1.45,0.8
waiter,deliver,speech,AT,1.6,0.66
policeman,push,stroller,AT,2.6,2.01
passenger,pass,ball,AT,2.05,1.63
goalkeeper,grab,phone,AT,2.65,1.98
