ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
62,Active,Implausible,The paper edited the advisor.,The paper was edited by the advisor.,AI
62,Passive,Plausible,The paper was edited by the advisor.,The paper was edited by the advisor.,AI
62,Passive,Implausible,The advisor was edited by the paper.,The paper was edited by the advisor.,AI
63,Active,Plausible,The dietitian loathed the jam.,The dietitian loathed jam.,AI
63,Active,Implausible,The jam loathed the dietitian.,The dietitian loathed jam.,AI
63,Passive,Plausible,The jam was loathed by the dietitian.,The dietitian loathed jam.,AI
63,Passive,Implausible,The dietitian was loathed by the jam.,The dietitian loathed jam.,AI
64,Active,Plausible,The doctor closed the school.,The doctor closed the school.,AI
64,Active,Implausible,The school closed the doctor.,The doctor closed the school.,AI
64,Passive,Plausible,The school was closed by the doctor.,The doctor closed the school.,AI
64,Passive,Implausible,The doctor was closed by the school.,The doctor closed the school.,AI
65,Active,Plausible,The campaigner biased the ballot.,The ballot was biased by the campaigner.,AI
65,Active,Implausible,The ballot biased the campaigner.,The ballot was biased by the campaigner.,AI
65,Passive,Plausible,The ballot was biased by the campaigner.,The ballot was biased by the campaigner.,AI
65,Passive,Implausible,The campaigner was biased by the ballot.,The ballot was biased by the campaigner.,AI
66,Active,Plausible,The activist prejudiced the vote.,The vote was prejudiced by the activist.,AI
66,Active,Implausible,The vote prejudiced the activist.,The vote was prejudiced by the activist.,AI
66,Passive,Plausible,The vote was prejudiced by the activist.,The vote was prejudiced by the activist.,AI
66,Passive,Implausible,The activist was prejudiced by the vote.,The vote was prejudiced by the activist.,AI
67,Active,Plausible,The designer suggested the drapes.,The designer suggested the drapes.,AI
67,Active,Implausible,The drapes suggested the designer.,The designer suggested the drapes.,AI
67,Passive,Plausible,The drapes was suggested by the designer.,The designer suggested the drapes.,AI
67,Passive,Implausible,The designer was suggested by the drapes.,The designer suggested the drapes.,AI
68,Active,Plausible,The decorator recommended the curtains.,The decorator recommended the curtains.,AI
68,Active,Implausible,The curtains recommended the decorator.,The decorator recommended the curtains.,AI
68,Passive,Plausible,The curtains was recommended by the decorator.,The decorator recommended the curtains.,AI
68,Passive,Implausible,The decorator was recommended by the curtains.,The decorator recommended the curtains.,AI
69,Active,Plausible,The congressman delivered the speech.,The speech was delivered by the congressman.,AI
69,Active,Implausible,The speech delivered the congressman.,The speech was delivered by the congressman.,AI
69,Passive,Plausible,The speech was delivered by the congressman.,The speech was delivered by the congressman.,AI
69,Passive,Implausible,The congressman was delivered by the speech.,The speech was delivered by the congressman.,AI
70,Active,Plausible,The representative gave the address.,The address was given by the representative.,AI
70,Active,Implausible,The address gave the representative.,The address was given by the representative.,AI
70,Passive,Plausible,The address was given by the representative.,The address was given by the representative.,AI
70,Passive,Implausible,The representative was given by the address.,The address was given by the representative.,AI
71,Active,Plausible,The servant wiped the sink.,The servant wiped the sink.,AI
71,Active,Implausible,The sink wiped the servant.,The servant wiped the sink.,AI
71,Passive,Plausible,The sink was wiped by the servant.,The servant wiped the sink.,AI
71,Passive,Implausible,The servant was wiped by the sink.,The servant wiped the sink.,AI
72,Active,Plausible,The domestic cleaned the basin.,The domestic cleaned the wash basin.,AI
72,Active,Implausible,The basin cleaned the domestic.,The domestic cleaned the wash basin.,AI
72,Passive,Plausible,The basin was cleaned by the domestic.,The domestic cleaned the wash basin.,AI
72,Passive,Implausible,The domestic was cleaned by the basin.,The domestic cleaned the wash basin.,AI
73,Active,Plausible,The comedian confirmed the itinerary.,The itinerary was confirmed by the comedian.,AI
73,Active,Implausible,The itinerary confirmed the comedian.,The itinerary was confirmed by the comedian.,AI
73,Passive,Plausible,The itinerary was confirmed by the comedian.,The itinerary was confirmed by the comedian.,AI
73,Passive,Implausible,The comedian was confirmed by the itinerary.,The itinerary was confirmed by the comedian.,AI
74,Active,Plausible,The humorist verified the schedule.,The schedule was verified by the humorist.,AI
74,Active,Implausible,The schedule verified the humorist.,The schedule was verified by the humorist.,AI
74,Passive,Plausible,The schedule was verified by the humorist.,The schedule was verified by the humorist.,AI
74,Passive,Implausible,The humorist was verified by the schedule.,The schedule was verified by the humorist.,AI
75,Active,Plausible,The friend donned the pullover.,The friend donned the pullover.,AI
75,Active,Implausible,The pullover donned the friend.,The friend donned the pullover.,AI
75,Passive,Plausible,The pullover was donned by the friend.,The friend donned the pullover.,AI
75,Passive,Implausible,The friend was donned by the pullover.,The friend donned the pullover.,AI
76,Active,Plausible,The townsperson farmed the grain.,The grain was farmed by the townsperson.,AI
76,Active,Implausible,The grain farmed the townsperson.,The grain was farmed by the townsperson.,AI
76,Passive,Plausible,The grain was farmed by the townsperson.,The grain was farmed by the townsperson.,AI
76,Passive,Implausible,The townsperson was farmed by the grain.,The grain was farmed by the townsperson.,AI
77,Active,Plausible,The villager cultivated the crop.,The crop was cultivated by the villager.,AI
77,Active,Implausible,The crop cultivated the villager.,The crop was cultivated by the villager.,AI
77,Passive,Plausible,The crop was cultivated by the villager.,The crop was cultivated by the villager.,AI
77,Passive,Implausible,The villager was cultivated by the crop.,The crop was cultivated by the villager.,AI
78,Active,Plausible,The man drank the soda.,The man drank the soda.,AI
78,Active,Implausible,The soda drank the man.,The man drank the soda.,AI
78,Passive,Plausible,The soda was drunk by the man.,The man drank the soda.,AI
78,Passive,Implausible,The man was drunk by the soda.,The man drank the soda.,AI
79,Active,Plausible,The logger felled the tree.,The pine tree was felled by the logger.,AI
79,Active,Implausible,The tree felled the logger.,The pine tree was felled by the logger.,AI
79,Passive,Plausible,The tree was felled by the logger.,The pine tree was felled by the logger.,AI
79,Passive,Implausible,The logger was felled by the tree.,The pine tree was felled by the logger.,AI
80,Active,Plausible,The woodworker skimmed the brochure.,The woodworker skimmed the brochure.,AI
80,Active,Implausible,The brochure skimmed the woodworker.,The woodworker skimmed the brochure.,AI
80,Passive,Plausible,The brochure was skimmed by the woodworker.,The woodworker skimmed the brochure.,AI
80,Passive,Implausible,The woodworker was skimmed by the brochure.,The woodworker skimmed the brochure.,AI
81,Active,Plausible,The guide reached the target.,The target was reached by the guide.,AI
81,Active,Implausible,The target reached the guide.,The target was reached by the guide.,AI
81,Passive,Plausible,The target was reached by the guide.,The target was reached by the guide.,AI
81,Passive,Implausible,The guide was reached by the target.,The target was reached by the guide.,AI
82,Active,Plausible,The mortician arraged the burial.,The burial was arranged by the mortician.,AI
82,Active,Implausible,The burial arraged the mortician.,The burial was arranged by the mortician.,AI
82,Passive,Plausible,The burial was arraged by the mortician.,The burial was arranged by the mortician.,AI
82,Passive,Implausible,The mortician was arraged by the burial.,The burial was arranged by the mortician.,AI
83,Active,Plausible,The tycoon ran the company.,The tycoon ran the company.,AI
83,Active,Implausible,The company ran the tycoon.,The tycoon ran the company.,AI
83,Passive,Plausible,The company was run by the tycoon.,The tycoon ran the company.,AI
83,Passive,Implausible,The tycoon was run by the company.,The tycoon ran the company.,AI
84,Active,Plausible,The mogul governed the corporation.,The mogul governed the corporation.,AI
84,Active,Implausible,The corporation governed the mogul.,The mogul governed the corporation.,AI
84,Passive,Plausible,The corporation was governed by the mogul.,The mogul governed the corporation.,AI
84,Passive,Implausible,The mogul was governed by the corporation.,The mogul governed the corporation.,AI
85,Active,Plausible,The stewardess pulled the suitcase.,The suitcase was pulled by the stewardess.,AI
85,Active,Implausible,The suitcase pulled the stewardess.,The suitcase was pulled by the stewardess.,AI
85,Passive,Plausible,The suitcase was pulled by the stewardess.,The suitcase was pulled by the stewardess.,AI
85,Passive,Implausible,The stewardess was pulled by the suitcase.,The suitcase was pulled by the stewardess.,AI
86,Active,Plausible,The flight-attendant dragged the luggage.,The luggage was dragged by the flight-attendant.,AI
86,Active,Implausible,The luggage dragged the flight-attendant.,The luggage was dragged by the flight-attendant.,AI
86,Passive,Plausible,The luggage was dragged by the flight-attendant.,The luggage was dragged by the flight-attendant.,AI
86,Passive,Implausible,The flight-attendant was dragged by the luggage.,The luggage was dragged by the flight-attendant.,AI
87,Active,Plausible,The sheriff inspected the estate.,The sheriff inspected the estate.,AI
87,Active,Implausible,The estate inspected the sheriff.,The sheriff inspected the estate.,AI
87,Passive,Plausible,The estate was inspected by the sheriff.,The sheriff inspected the estate.,AI
87,Passive,Implausible,The sheriff was inspected by the estate.,The sheriff inspected the estate.,AI
88,Active,Plausible,The constable examined the property.,The constable examined the property.,AI
