"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"syntax.PPMI","(Intercept)",0.265083466086627,0.00594745338912333,504.880109754374,44.5709194747806,3.90517296220666e-177,"baselines",3.90517296220666e-177,"***","<0.001"
"syntax.PPMI","PlausibilityImplausible",-0.0205693095241711,0.0041603842939857,400.155474587807,-4.94408883186738,1.12757462446158e-06,"baselines",1.12757462446158e-06,"***","<0.001"
"syntax.PPMI","agent_freq_norm",8.01161891962385e-05,0.00899155768680131,421.756638639428,0.0089101568367671,0.992895030494558,"baselines",0.992895030494558,"","0.993"
"syntax.PPMI","patient_freq_norm",0.0180035504631883,0.00675234365418634,579.921105661153,2.66626691193752,0.00788382504993148,"baselines",0.00788382504993148,"**","0.008"
"syntax.PPMI","verb_freq_norm",-0.021936007335862,0.0061411510011239,404.505564992607,-3.57197003165164,0.000396969628389449,"baselines",0.000793939256778898,"***","<0.001"
"syntax.PPMI","sentence_freq_norm",-0.0600639664868707,0.0110835196166783,438.042618249883,-5.41921416338608,9.90191552428108e-08,"baselines",1.98038310485622e-07,"***","<0.001"
"SDM","(Intercept)",0.615177388342007,0.00592765565530315,793.34086120316,103.780891488128,0,"baselines",0,"***","<0.001"
"SDM","PlausibilityImplausible",-0.153504212163898,0.00829777553016007,403.622333872732,-18.4994413991984,8.87452872889074e-56,"baselines",1.77490574577815e-55,"***","<0.001"
"SDM","agent_freq_norm",0.00501263851353082,0.00692533647695089,400.430801652072,0.723811547671949,0.469604068820735,"baselines",0.939208137641471,"","0.939"
"SDM","patient_freq_norm",0.0381189496705681,0.0063830906658806,599.689873643389,5.97186404923316,4.01953662978359e-09,"baselines",8.03907325956719e-09,"***","<0.001"
"SDM","verb_freq_norm",-0.0140707437199333,0.00469207274860787,399.397478628155,-2.99883323934141,0.00287973073653437,"baselines",0.00287973073653437,"**","0.003"
"SDM","sentence_freq_norm",-0.00248919133207752,0.00860629195956367,402.557653582471,-0.289229245739384,0.772554846280878,"baselines",0.772554846280878,"","0.773"
