Sentence,TrialType,SynonymPair,NumSyn
The dressmaker attired the ballerina.,AAN,67,Version2
The principal scolded the child.,AAN,68,Version1
The headmaster reprimanded the kid.,AAN,68,Version2
The lord named the heir.,AAN,69,Version1
The baron chose the successor.,AAN,69,Version2
The cop restrained the rioter.,AAN,70,Version1
The policeman subdued the rabble-rouser.,AAN,70,Version2
The dad coddled the baby.,AAN,71,Version1
The father pampered the infant.,AAN,71,Version2
The king exiled the rebel.,AAN,72,Version1
The monarch banished the insurgent.,AAN,72,Version2
The thief robbed the manufacturer.,AAN,73,Version1
The robber burgled the industrialist.,AAN,73,Version2
The pessimist discouraged the contestant.,AAN,74,Version1
The cynic dissuaded the participant.,AAN,74,Version2
The loudmouth tormented the loner.,AAN,75,Version1
The windbag taunted the recluse.,AAN,75,Version2
The imitator fooled the investigator.,AAN,76,Version1
The impersonator conned the inspector.,AAN,76,Version2
The pyromaniac unnerved the shopkeeper.,AAN,77,Version1
The arsonist alarmed the vendor.,AAN,77,Version2
The professional supported the beginner.,AAN,78,Version1
The master encouraged the rookie.,AAN,78,Version2
The magician hypnotized the crowd.,AAN,79,Version1
The illusionist entranced the viewers.,AAN,79,Version2
The businessman employed the expert.,AAN,80,Version1
The entrepreneur hired the specialist.,AAN,80,Version2
The terrorist petrified the first lady.,AAN,81,Version1
The hijacker terrified the president's wife.,AAN,81,Version2
The judge praised the gold medalist.,AAN,82,Version1
The panelist congratulated the winner.,AAN,82,Version2
The liar emulated the victor.,AAN,83,Version1
The deceiver imitated the conqueror.,AAN,83,Version2
The environmentalist cautioned the tobacconist.,AAN,84,Version1
The ecologist warned the cigar-maker.,AAN,84,Version2
The peasant idolized the ancestors.,AAN,85,Version1
The serf worshipped the forefathers.,AAN,85,Version2
The alcoholic hassled the guest.,AAN,86,Version1
The drunk bothered the visitor.,AAN,86,Version2
The commentator vexed the athlete.,AAR,87,Version1
The sportscaster peeved the jock.,AAR,87,Version2
The preacher hugged the churchgoer.,AAR,88,Version1
The pastor embraced the parishioner.,AAR,88,Version2
The maniac mocked the clown.,AAR,89,Version1
The lunatic ridiculed the jester.,AAR,89,Version2
The archivist contacted the inventor.,AAR,90,Version1
The historian approached the innovator.,AAR,90,Version2
The janitor called the landscaper.,AAR,91,Version1
The custodian phoned the gardener.,AAR,91,Version2
The drummer annoyed the weatherman.,AAR,92,Version1
The percussionist displeased the meteorologist.,AAR,92,Version2
The go-between belittled the defendant.,AAR,93,Version1
The intermediary deprecated the felon.,AAR,93,Version2
The valet entertained the envoy.,AAR,94,Version1
The manservant amused the emissary.,AAR,94,Version2
The acrobat pushed the stranger.,AAR,95,Version1
The gymnast shoved the outsider.,AAR,95,Version2
The benefactor calmed the architect.,AAR,96,Version1
The patron soothed the draftsman.,AAR,96,Version2
The therapist lauded the hairdresser.,AAR,97,Version1
The psychologist extolled the hairstylist.,AAR,97,Version2
The nobleman married the baroness.,AAR,98,Version1
The aristocrat wed the countess.,AAR,98,Version2
The actuary assuaged the creditor.,AAR,99,Version1
The analyst relieved the investor.,AAR,99,Version2
The sailor frightened the psychic.,AAR,100,Version1
The mariner scared the fortune-teller.,AAR,100,Version2
The assistant flattered the auditor.,AAR,101,Version1
The helper complimented the appraiser.,AAR,101,Version2
The immigrant believed the trooper.,AAR,102,Version1
The foreigner trusted the patrolman.,AAR,102,Version2
The mapmaker affronted the farmer.,AAR,103,Version1
The cartographer insulted the rancher.,AAR,103,Version2
The poet awed the entertainer.,AAR,104,Version1
The lyricist dazzled the performer.,AAR,104,Version2
The peddler tested the manager.,AAR,105,Version1
The traveling salesman challenged the executive.,AAR,105,Version2
The musician admired the diva.,AAR,106,Version1
The instrumentalist adored the prima donna.,AAR,106,Version2
The general welcomed the hero.,AAR,107,Version1
The commander greeted the champion.,AAR,107,Version2
The cobbler disdained the stonecutter.,AAR,108,Version1
The shoemaker scorned the mason.,AAR,108,Version2
The postman noticed the chaplain.,AAR,109,Version1
The mailman saw the minister.,AAR,109,Version2
The composer begrudged the playwright.,AAR,110,Version1
The songwriter envied the dramatist.,AAR,110,Version2
The dictator angered the residents.,AAR,111,Version1
The despot enraged the townspeople.,AAR,111,Version2
The missionary baffled the oracle.,AAR,112,Version1
The evangelist mystified the soothsayer.,AAR,112,Version2
The trespasser choked the fighter.,AAR,113,Version1
The encroacher strangled the warrior.,AAR,113,Version2
The broker introduced the donor.,AAR,114,Version1
The dealer presented the sponsor.,AAR,114,Version2
The shrink commended the dean.,AAR,115,Version1
The psychiatrist applauded the provost.,AAR,115,Version2
The refugee provoked the homeless person.,AAR,116,Version1
The asylum seeker goaded the vagrant.,AAR,116,Version2
The interpreter swindled the messenger.,AAR,117,Version1
The translator deceived the courier.,AAR,117,Version2
The gangster hated the governor.,AAR,118,Version1
The hoodlum abhorred the chancellor.,AAR,118,Version2
The planner convinced the customer.,AAR,119,Version1
The organizer persuaded the buyer.,AAR,119,Version2
The wizard protected the gnome.,AAR,120,Version1
The sorcerer defended the dwarf.,AAR,120,Version2
The runner encountered the co-worker.,AAR,121,Version1
The jogger met the colleague.,AAR,121,Version2
The student befuddled the professor.,AAR,122,Version1
The scholar confused the lecturer.,AAR,122,Version2
The invader spotted the sentry.,AAR,123,Version1
The intruder sighted the watchman.,AAR,123,Version2
The supplier reimbursed the merchant.,AAR,124,Version1
The wholesaler compensated the trader.,AAR,124,Version2
The accuser confronted the vandal.,AAR,125,Version1
The plaintiff accosted the thug.,AAR,125,Version2
The trickster bemused the idiot.,AAR,126,Version1
The swindler puzzled the fool.,AAR,126,Version2
The protestor quoted the leader.,AAR,127,Version1
The striker cited the chief.,AAR,127,Version2
The postal worker repulsed the taxi-driver.,AAR,128,Version1
The letter carrier disgusted the cabbie.,AAR,128,Version2
The competitor agitated the rival.,AAR,129,Version1
The contender flustered the opponent.,AAR,129,Version2
The officer alerted the authorities.,AAR,130,Version1
The deputy notified the higher-ups.,AAR,130,Version2
The culprit betrayed the hunter.,AAR,131,Version1
The perpetrator exposed the poacher.,AAR,131,Version2
The botanist respected the partner.,AAR,132,Version1
The flora specialist esteemed the collaborator.,AAR,132,Version2
The pacifist placated the zealot.,AAR,133,Version1
The peace-lover mollified the fanatic.,AAR,133,Version2
The scoundrel beat the protagonist.,AAR,134,Version1
The rogue defeated the main character.,AAR,134,Version2
