,ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
34,9,passive,plausible,The burial was arranged by the mortician.,The mortician arranged the burial.,AI
35,9,passive,implausible,The mortician was arranged by the burial.,The mortician arranged the burial.,AI
36,10,active,plausible,The supervisor supplied the liquor.,The supervisor supplied the liquor.,AI
37,10,active,implausible,The liquor supplied the supervisor.,The supervisor supplied the liquor.,AI
38,10,passive,plausible,The liquor was supplied by the supervisor.,The supervisor supplied the liquor.,AI
39,10,passive,implausible,The supervisor was supplied by the liquor.,The supervisor supplied the liquor.,AI
40,11,active,plausible,The overseer provided the alcohol.,The overseer provided the alcohol.,AI
41,11,active,implausible,The alcohol provided the overseer.,The overseer provided the alcohol.,AI
42,11,passive,plausible,The alcohol was provided by the overseer.,The overseer provided the alcohol.,AI
43,11,passive,implausible,The overseer was provided by the alcohol.,The overseer provided the alcohol.,AI
44,12,active,plausible,The troublemaker crashed the car.,The troublemaker crashed the car.,AI
45,12,active,implausible,The car crashed the troublemaker.,The troublemaker crashed the car.,AI
46,12,passive,plausible,The car was crashed by the troublemaker.,The troublemaker crashed the car.,AI
47,12,passive,implausible,The troublemaker was crashed by the car.,The troublemaker crashed the car.,AI
48,13,active,plausible,The hooligan wrecked the vehicle.,The hooligan wrecked the vehicle.,AI
49,13,active,implausible,The vehicle wrecked the hooligan.,The hooligan wrecked the vehicle.,AI
50,13,passive,plausible,The vehicle was wrecked by the hooligan.,The hooligan wrecked the vehicle.,AI
51,13,passive,implausible,The hooligan was wrecked by the vehicle.,The hooligan wrecked the vehicle.,AI
52,14,active,plausible,The repairman fixed the tap.,The repairman fixed the tap.,AI
53,14,active,implausible,The tap fixed the repairman.,The repairman fixed the tap.,AI
54,14,passive,plausible,The tap was fixed by the repairman.,The repairman fixed the tap.,AI
55,14,passive,implausible,The repairman was fixed by the tap.,The repairman fixed the tap.,AI
56,15,active,plausible,The handyman repaired the faucet.,The handyman repaired the faucet.,AI
57,15,active,implausible,The faucet repaired the handyman.,The handyman repaired the faucet.,AI
58,15,passive,plausible,The faucet was repaired by the handyman.,The handyman repaired the faucet.,AI
59,15,passive,implausible,The handyman was repaired by the faucet.,The handyman repaired the faucet.,AI
60,16,active,plausible,The secretary organized the desk.,The secretary organized the desk.,AI
61,16,active,implausible,The desk organized the secretary.,The secretary organized the desk.,AI
62,16,passive,plausible,The desk was organized by the secretary.,The secretary organized the desk.,AI
63,16,passive,implausible,The secretary was organized by the desk.,The secretary organized the desk.,AI
64,17,active,plausible,The receptionist tidied the table.,The receptionist tidied the table.,AI
65,17,active,implausible,The table tidied the receptionist.,The receptionist tidied the table.,AI
66,17,passive,plausible,The table was tidied by the receptionist.,The receptionist tidied the table.,AI
67,17,passive,implausible,The receptionist was tidied by the table.,The receptionist tidied the table.,AI
68,18,active,plausible,The pilot steered the airplane.,The pilot steered the airplane.,AI
69,18,active,implausible,The airplane steered the pilot.,The pilot steered the airplane.,AI
70,18,passive,plausible,The airplane was steered by the pilot.,The pilot steered the airplane.,AI
71,18,passive,implausible,The pilot was steered by the airplane.,The pilot steered the airplane.,AI
72,19,active,plausible,The aviator maneuvered the jet.,The aviator maneuvered the jet.,AI
73,19,active,implausible,The jet maneuvered the aviator.,The aviator maneuvered the jet.,AI
74,19,passive,plausible,The jet was maneuvered by the aviator.,The aviator maneuvered the jet.,AI
75,19,passive,implausible,The aviator was maneuvered by the jet.,The aviator maneuvered the jet.,AI
76,20,active,plausible,The chef sauteed the squid.,The chef sautéed the squid.,AI
77,20,active,implausible,The squid sauteed the chef.,The chef sautéed the squid.,AI
78,20,passive,plausible,The squid was sauteed by the chef.,The chef sautéed the squid.,AI
79,20,passive,implausible,The chef was sauteed by the squid.,The chef sautéed the squid.,AI
80,21,active,plausible,The cook grilled the octopus.,The cook grilled the octopus.,AI
81,21,active,implausible,The octopus grilled the cook.,The cook grilled the octopus.,AI
82,21,passive,plausible,The octopus was grilled by the cook.,The cook grilled the octopus.,AI
83,21,passive,implausible,The cook was grilled by the octopus.,The cook grilled the octopus.,AI
84,22,active,plausible,The ship captain promised the triumph.,The ship captain promised a triumph.,AI
85,22,active,implausible,The triumph promised the ship captain.,The ship captain promised a triumph.,AI
86,22,passive,plausible,The triumph was promised by the ship captain.,The ship captain promised a triumph.,AI
87,22,passive,implausible,The ship captain was promised by the triumph.,The ship captain promised a triumph.,AI
88,23,active,plausible,The skipper guaranteed the victory.,The skipper guaranteed a victory.,AI
89,23,active,implausible,The victory guaranteed the skipper.,The skipper guaranteed a victory.,AI
90,23,passive,plausible,The victory was guaranteed by the skipper.,The skipper guaranteed a victory.,AI
91,23,passive,implausible,The skipper was guaranteed by the victory.,The skipper guaranteed a victory.,AI
92,24,active,plausible,The milliner adorned the fedora.,The milliner adorned the fedora.,AI
93,24,active,implausible,The fedora adorned the milliner.,The milliner adorned the fedora.,AI
94,24,passive,plausible,The fedora was adorned by the milliner.,The milliner adorned the fedora.,AI
95,24,passive,implausible,The milliner was adorned by the fedora.,The milliner adorned the fedora.,AI
96,25,active,plausible,The hatter decorated the bowler.,The hatter decorated the bowler.,AI
97,25,active,implausible,The bowler decorated the hatter.,The hatter decorated the bowler.,AI
98,25,passive,plausible,The bowler was decorated by the hatter.,The hatter decorated the bowler.,AI
99,25,passive,implausible,The hatter was decorated by the bowler.,The hatter decorated the bowler.,AI
100,26,active,plausible,The serviceman hoisted the flag.,The serviceman hoisted the flag.,AI
101,26,active,implausible,The flag hoisted the serviceman.,The serviceman hoisted the flag.,AI
102,26,passive,plausible,The flag was hoisted by the serviceman.,The serviceman hoisted the flag.,AI
103,26,passive,implausible,The serviceman was hoisted by the flag.,The serviceman hoisted the flag.,AI
104,27,active,plausible,The soldier raised the banner.,The soldier raised the banner.,AI
105,27,active,implausible,The banner raised the soldier.,The soldier raised the banner.,AI
106,27,passive,plausible,The banner was raised by the soldier.,The soldier raised the banner.,AI
107,27,passive,implausible,The soldier was raised by the banner.,The soldier raised the banner.,AI
108,28,active,plausible,The agent failed the mission.,The agent failed the mission.,AI
109,28,active,implausible,The mission failed the agent.,The agent failed the mission.,AI
110,28,passive,plausible,The mission was failed by the agent.,The agent failed the mission.,AI
111,28,passive,implausible,The agent was failed by the mission.,The agent failed the mission.,AI
112,29,active,plausible,The operative blew the assignment.,The operative blew the assignment.,AI
113,29,active,implausible,The assignment blew the operative.,The operative blew the assignment.,AI
114,29,passive,plausible,The assignment was blown by the operative.,The operative blew the assignment.,AI
115,29,passive,implausible,The operative was blown by the assignment.,The operative blew the assignment.,AI
116,30,active,plausible,The anchorman garbled the expression.,The anchorman garbled the expression.,AI
117,30,active,implausible,The expression garbled the anchorman.,The anchorman garbled the expression.,AI
118,30,passive,plausible,The expression was garbled by the anchorman.,The anchorman garbled the expression.,AI
119,30,passive,implausible,The anchorman was garbled by the expression.,The anchorman garbled the expression.,AI
120,31,active,plausible,The announcer mispronounced the word.,The announcer mispronounced the word.,AI
121,31,active,implausible,The word mispronounced the announcer.,The announcer mispronounced the word.,AI
122,31,passive,plausible,The word was mispronounced by the announcer.,The announcer mispronounced the word.,AI
123,31,passive,implausible,The announcer was mispronounced by the word.,The announcer mispronounced the word.,AI
124,32,active,plausible,The author finished the novel.,The author finished the novel.,AI
125,32,active,implausible,The novel finished the author.,The author finished the novel.,AI
126,32,passive,plausible,The novel was finished by the author.,The author finished the novel.,AI
127,32,passive,implausible,The author was finished by the novel.,The author finished the novel.,AI
128,33,active,plausible,The writer completed the book.,The writer completed the book.,AI
129,33,active,implausible,The book completed the writer.,The writer completed the book.,AI
130,33,passive,plausible,The book was completed by the writer.,The writer completed the book.,AI
131,33,passive,implausible,The writer was completed by the book.,The writer completed the book.,AI
132,34,active,plausible,The financier sponsored the project.,The financier sponsored the project.,AI
133,34,active,implausible,The project sponsored the financier.,The financier sponsored the project.,AI
134,34,passive,plausible,The project was sponsored by the financier.,The financier sponsored the project.,AI
135,34,passive,implausible,The financier was sponsored by the project.,The financier sponsored the project.,AI
136,35,active,plausible,The banker funded the program.,The banker funded the program.,AI
137,35,active,implausible,The program funded the banker.,The banker funded the program.,AI
138,35,passive,plausible,The program was funded by the banker.,The banker funded the program.,AI
139,35,passive,implausible,The banker was funded by the program.,The banker funded the program.,AI
140,36,active,plausible,The tourist exited the bus.,The tourist exited the bus.,AI
141,36,active,implausible,The bus exited the tourist.,The tourist exited the bus.,AI
142,36,passive,plausible,The bus was exited by the tourist.,The tourist exited the bus.,AI
143,36,passive,implausible,The tourist was exited by the bus.,The tourist exited the bus.,AI
144,37,active,plausible,The vacationer left the shuttle.,The vacationer left the shuttle.,AI
145,37,active,implausible,The shuttle left the vacationer.,The vacationer left the shuttle.,AI
146,37,passive,plausible,The shuttle was left by the vacationer.,The vacationer left the shuttle.,AI
147,37,passive,implausible,The vacationer was left by the shuttle.,The vacationer left the shuttle.,AI
148,38,active,plausible,The dietitian loathed the jam.,The dietitian loathed jam.,AI
149,38,active,implausible,The jam loathed the dietitian.,The dietitian loathed jam.,AI
150,38,passive,plausible,The jam was loathed by the dietitian.,The dietitian loathed jam.,AI
151,38,passive,implausible,The dietitian was loathed by the jam.,The dietitian loathed jam.,AI
152,39,active,plausible,The nutritionist detested the marmalade.,The nutritionist detested marmalade.,AI
153,39,active,implausible,The marmalade detested the nutritionist.,The nutritionist detested marmalade.,AI
154,39,passive,plausible,The marmalade was detested by the nutritionist.,The nutritionist detested marmalade.,AI
155,39,passive,implausible,The nutritionist was detested by the marmalade.,The nutritionist detested marmalade.,AI
156,40,active,plausible,The scientist discovered the cure.,The scientist discovered the cure.,AI
157,40,active,implausible,The cure discovered the scientist.,The scientist discovered the cure.,AI
158,40,passive,plausible,The cure was discovered by the scientist.,The scientist discovered the cure.,AI
159,40,passive,implausible,The scientist was discovered by the cure.,The scientist discovered the cure.,AI
160,41,active,plausible,The researcher found the remedy.,The researcher found the remedy.,AI
161,41,active,implausible,The remedy found the researcher.,The researcher found the remedy.,AI
162,41,passive,plausible,The remedy was found by the researcher.,The researcher found the remedy.,AI
163,41,passive,implausible,The researcher was found by the remedy.,The researcher found the remedy.,AI
164,42,active,plausible,The doctor closed the school.,The doctor closed the school.,AI
165,42,active,implausible,The school closed the doctor.,The doctor closed the school.,AI
166,42,passive,plausible,The school was closed by the doctor.,The doctor closed the school.,AI
167,42,passive,implausible,The doctor was closed by the school.,The doctor closed the school.,AI
168,43,active,plausible,The maid lifted the cushion.,The maid lifted the cushion.,AI
169,43,active,implausible,The cushion lifted the maid.,The maid lifted the cushion.,AI
170,43,passive,plausible,The cushion was lifted by the maid.,The maid lifted the cushion.,AI
171,43,passive,implausible,The maid was lifted by the cushion.,The maid lifted the cushion.,AI
172,44,active,plausible,The designer suggested the drapes.,The designer suggested the drapes.,AI
173,44,active,implausible,The drapes suggested the designer.,The designer suggested the drapes.,AI
174,44,passive,plausible,The drapes were suggested by the designer.,The designer suggested the drapes.,AI
175,44,passive,implausible,The designer were suggested by the drapes.,The designer suggested the drapes.,AI
176,45,active,plausible,The decorator recommended the curtains.,The decorator recommended the curtains.,AI
177,45,active,implausible,The curtains recommended the decorator.,The decorator recommended the curtains.,AI
178,45,passive,plausible,The curtains were recommended by the decorator.,The decorator recommended the curtains.,AI
179,45,passive,implausible,The decorator were recommended by the curtains.,The decorator recommended the curtains.,AI
180,46,active,plausible,The builder washed the pants.,The builder washed the pants.,AI
181,46,active,implausible,The pants washed the builder.,The builder washed the pants.,AI
182,46,passive,plausible,The pants were washed by the builder.,The builder washed the pants.,AI
183,46,passive,implausible,The builder were washed by the pants.,The builder washed the pants.,AI
184,47,active,plausible,The contractor laundered the trousers.,The contractor laundered the trousers.,AI
185,47,active,implausible,The trousers laundered the contractor.,The contractor laundered the trousers.,AI
186,47,passive,plausible,The trousers were laundered by the contractor.,The contractor laundered the trousers.,AI
187,47,passive,implausible,The contractor were laundered by the trousers.,The contractor laundered the trousers.,AI
188,48,active,plausible,The servant wiped the sink.,The servant wiped the sink.,AI
189,48,active,implausible,The sink wiped the servant.,The servant wiped the sink.,AI
190,48,passive,plausible,The sink was wiped by the servant.,The servant wiped the sink.,AI
191,48,passive,implausible,The servant was wiped by the sink.,The servant wiped the sink.,AI
192,49,active,plausible,The domestic cleaned the wash basin.,The domestic cleaned the wash basin.,AI
193,49,active,implausible,The wash basin cleaned the domestic.,The domestic cleaned the wash basin.,AI
194,49,passive,plausible,The wash basin was cleaned by the domestic.,The domestic cleaned the wash basin.,AI
195,49,passive,implausible,The domestic was cleaned by the wash basin.,The domestic cleaned the wash basin.,AI
196,50,active,plausible,The friend donned the pullover.,The friend donned the pullover.,AI
197,50,active,implausible,The pullover donned the friend.,The friend donned the pullover.,AI
198,50,passive,plausible,The pullover was donned by the friend.,The friend donned the pullover.,AI
199,50,passive,implausible,The friend was donned by the pullover.,The friend donned the pullover.,AI
200,51,active,plausible,The convalescent took the pill.,The convalescent took the pill.,AI
201,51,active,implausible,The pill took the convalescent.,The convalescent took the pill.,AI
202,51,passive,plausible,The pill was taken by the convalescent.,The convalescent took the pill.,AI
203,51,passive,implausible,The convalescent was taken by the pill.,The convalescent took the pill.,AI
204,52,active,plausible,The patient swallowed the medicine.,The patient swallowed the medicine.,AI
205,52,active,implausible,The medicine swallowed the patient.,The patient swallowed the medicine.,AI
206,52,passive,plausible,The medicine was swallowed by the patient.,The patient swallowed the medicine.,AI
207,52,passive,implausible,The patient was swallowed by the medicine.,The patient swallowed the medicine.,AI
208,53,active,plausible,The hoarder hid the stash.,The hoarder hid the stash.,AI
209,53,active,implausible,The stash hid the hoarder.,The hoarder hid the stash.,AI
210,53,passive,plausible,The stash was hidden by the hoarder.,The hoarder hid the stash.,AI
211,53,passive,implausible,The hoarder was hidden by the stash.,The hoarder hid the stash.,AI
212,54,active,plausible,The packrat concealed the stockpile.,The packrat concealed the stockpile.,AI
213,54,active,implausible,The stockpile concealed the packrat.,The packrat concealed the stockpile.,AI
214,54,passive,plausible,The stockpile was concealed by the packrat.,The packrat concealed the stockpile.,AI
215,54,passive,implausible,The packrat was concealed by the stockpile.,The packrat concealed the stockpile.,AI
216,55,active,plausible,The reporter abandoned the story.,The reporter abandoned the story.,AI
217,55,active,implausible,The story abandoned the reporter.,The reporter abandoned the story.,AI
218,55,passive,plausible,The story was abandoned by the reporter.,The reporter abandoned the story.,AI
219,55,passive,implausible,The reporter was abandoned by the story.,The reporter abandoned the story.,AI
220,56,active,plausible,The journalist ditched the article.,The journalist ditched the article.,AI
221,56,active,implausible,The article ditched the journalist.,The journalist ditched the article.,AI
222,56,passive,plausible,The article was ditched by the journalist.,The journalist ditched the article.,AI
223,56,passive,implausible,The journalist was ditched by the article.,The journalist ditched the article.,AI
224,57,active,plausible,The carnivore ate the steak.,The carnivore ate the steak.,AI
225,57,active,implausible,The steak ate the carnivore.,The carnivore ate the steak.,AI
226,57,passive,plausible,The steak was eaten by the carnivore.,The carnivore ate the steak.,AI
227,57,passive,implausible,The carnivore was eaten by the steak.,The carnivore ate the steak.,AI
228,58,active,plausible,The meat-eater devoured the filet.,The meat-eater devoured the filet.,AI
229,58,active,implausible,The filet devoured the meat-eater.,The meat-eater devoured the filet.,AI
230,58,passive,plausible,The filet was devoured by the meat-eater.,The meat-eater devoured the filet.,AI
231,58,passive,implausible,The meat-eater was devoured by the filet.,The meat-eater devoured the filet.,AI
232,59,active,plausible,The man drank the soda.,The man drank the soda.,AI
233,59,active,implausible,The soda drank the man.,The man drank the soda.,AI
234,59,passive,plausible,The soda was drunk by the man.,The man drank the soda.,AI
235,59,passive,implausible,The man was drunk by the soda.,The man drank the soda.,AI
236,60,active,plausible,The teacher bought the laptop.,The teacher bought the laptop.,AI
237,60,active,implausible,The laptop bought the teacher.,The teacher bought the laptop.,AI
238,60,passive,plausible,The laptop was bought by the teacher.,The teacher bought the laptop.,AI
239,60,passive,implausible,The teacher was bought by the laptop.,The teacher bought the laptop.,AI
240,61,active,plausible,The instructor purchased the computer.,The instructor purchased the computer.,AI
241,61,active,implausible,The computer purchased the instructor.,The instructor purchased the computer.,AI
242,61,passive,plausible,The computer was purchased by the instructor.,The instructor purchased the computer.,AI
243,61,passive,implausible,The instructor was purchased by the computer.,The instructor purchased the computer.,AI
244,62,active,plausible,The lady cooked the supper.,The lady cooked the supper.,AI
245,62,active,implausible,The supper cooked the lady.,The lady cooked the supper.,AI
246,62,passive,plausible,The supper was cooked by the lady.,The lady cooked the supper.,AI
247,62,passive,implausible,The lady was cooked by the supper.,The lady cooked the supper.,AI
248,63,active,plausible,The woman prepared the dinner.,The woman prepared the dinner.,AI
249,63,active,implausible,The dinner prepared the woman.,The woman prepared the dinner.,AI
250,63,passive,plausible,The dinner was prepared by the woman.,The woman prepared the dinner.,AI
251,63,passive,implausible,The woman was prepared by the dinner.,The woman prepared the dinner.,AI
252,64,active,plausible,The traveler lost the souvenir.,The traveler lost the souvenir.,AI
253,64,active,implausible,The souvenir lost the traveler.,The traveler lost the souvenir.,AI
254,64,passive,plausible,The souvenir was lost by the traveler.,The traveler lost the souvenir.,AI
255,64,passive,implausible,The traveler was lost by the souvenir.,The traveler lost the souvenir.,AI
256,65,active,plausible,The sightseer misplaced the memento.,The sightseer misplaced the memento.,AI
257,65,active,implausible,The memento misplaced the sightseer.,The sightseer misplaced the memento.,AI
258,65,passive,plausible,The memento was misplaced by the sightseer.,The sightseer misplaced the memento.,AI
259,65,passive,implausible,The sightseer was misplaced by the memento.,The sightseer misplaced the memento.,AI
260,66,active,plausible,The comedian confirmed the itinerary.,The comedian confirmed the itinerary.,AI
261,66,active,implausible,The itinerary confirmed the comedian.,The comedian confirmed the itinerary.,AI
262,66,passive,plausible,The itinerary was confirmed by the comedian.,The comedian confirmed the itinerary.,AI
263,66,passive,implausible,The comedian was confirmed by the itinerary.,The comedian confirmed the itinerary.,AI
264,67,active,plausible,The humorist verified the schedule.,The humorist verified the schedule.,AI
265,67,active,implausible,The schedule verified the humorist.,The humorist verified the schedule.,AI
266,67,passive,plausible,The schedule was verified by the humorist.,The humorist verified the schedule.,AI
267,67,passive,implausible,The humorist was verified by the schedule.,The humorist verified the schedule.,AI
268,68,active,plausible,The woodworker skimmed the brochure.,The woodworker skimmed the brochure.,AI
269,68,active,implausible,The brochure skimmed the woodworker.,The woodworker skimmed the brochure.,AI
270,68,passive,plausible,The brochure was skimmed by the woodworker.,The woodworker skimmed the brochure.,AI
271,68,passive,implausible,The woodworker was skimmed by the brochure.,The woodworker skimmed the brochure.,AI
272,69,active,plausible,The guide reached the target.,The guide reached the target.,AI
273,69,active,implausible,The target reached the guide.,The guide reached the target.,AI
274,69,passive,plausible,The target was reached by the guide.,The guide reached the target.,AI
275,69,passive,implausible,The guide was reached by the target.,The guide reached the target.,AI
276,70,active,plausible,The townsperson farmed the grain.,The townsperson farmed the grain.,AI
277,70,active,implausible,The grain farmed the townsperson.,The townsperson farmed the grain.,AI
278,70,passive,plausible,The grain was farmed by the townsperson.,The townsperson farmed the grain.,AI
279,70,passive,implausible,The townsperson was farmed by the grain.,The townsperson farmed the grain.,AI
280,71,active,plausible,The villager cultivated the crop.,The villager cultivated the crop.,AI
281,71,active,implausible,The crop cultivated the villager.,The villager cultivated the crop.,AI
282,71,passive,plausible,The crop was cultivated by the villager.,The villager cultivated the crop.,AI
283,71,passive,implausible,The villager was cultivated by the crop.,The villager cultivated the crop.,AI
284,72,active,plausible,The mentor revised the manuscript.,The mentor revised the manuscript.,AI
285,72,active,implausible,The manuscript revised the mentor.,The mentor revised the manuscript.,AI
286,72,passive,plausible,The manuscript was revised by the mentor.,The mentor revised the manuscript.,AI
287,72,passive,implausible,The mentor was revised by the manuscript.,The mentor revised the manuscript.,AI
288,73,active,plausible,The advisor edited the paper.,The advisor edited the paper.,AI
289,73,active,implausible,The paper edited the advisor.,The advisor edited the paper.,AI
290,73,passive,plausible,The paper was edited by the advisor.,The advisor edited the paper.,AI
291,73,passive,implausible,The advisor was edited by the paper.,The advisor edited the paper.,AI
292,74,active,plausible,The accountant made the chart.,The accountant made the chart.,AI
293,74,active,implausible,The chart made the accountant.,The accountant made the chart.,AI
294,74,passive,plausible,The chart was made by the accountant.,The accountant made the chart.,AI
295,74,passive,implausible,The accountant was made by the chart.,The accountant made the chart.,AI
296,75,active,plausible,The bookkeeper created the graph.,The bookkeeper created the graph.,AI
297,75,active,implausible,The graph created the bookkeeper.,The bookkeeper created the graph.,AI
298,75,passive,plausible,The graph was created by the bookkeeper.,The bookkeeper created the graph.,AI
299,75,passive,implausible,The bookkeeper was created by the graph.,The bookkeeper created the graph.,AI
300,76,active,plausible,The logger felled the pine tree.,The logger felled the pine tree.,AI
301,76,active,implausible,The pine tree felled the logger.,The logger felled the pine tree.,AI
302,76,passive,plausible,The pine tree was felled by the logger.,The logger felled the pine tree.,AI
303,76,passive,implausible,The logger was felled by the pine tree.,The logger felled the pine tree.,AI
304,77,active,plausible,The tycoon ran the company.,The tycoon ran the company.,AI
305,77,active,implausible,The company ran the tycoon.,The tycoon ran the company.,AI
306,77,passive,plausible,The company was run by the tycoon.,The tycoon ran the company.,AI
307,77,passive,implausible,The tycoon was run by the company.,The tycoon ran the company.,AI
308,78,active,plausible,The mogul governed the corporation.,The mogul governed the corporation.,AI
309,78,active,implausible,The corporation governed the mogul.,The mogul governed the corporation.,AI
310,78,passive,plausible,The corporation was governed by the mogul.,The mogul governed the corporation.,AI
311,78,passive,implausible,The mogul was governed by the corporation.,The mogul governed the corporation.,AI
312,79,active,plausible,The campaigner biased the ballot.,The campaigner biased the ballot.,AI
313,79,active,implausible,The ballot biased the campaigner.,The campaigner biased the ballot.,AI
314,79,passive,plausible,The ballot was biased by the campaigner.,The campaigner biased the ballot.,AI
315,79,passive,implausible,The campaigner was biased by the ballot.,The campaigner biased the ballot.,AI
316,80,active,plausible,The activist prejudiced the vote.,The activist prejudiced the vote.,AI
317,80,active,implausible,The vote prejudiced the activist.,The activist prejudiced the vote.,AI
318,80,passive,plausible,The vote was prejudiced by the activist.,The activist prejudiced the vote.,AI
319,80,passive,implausible,The activist was prejudiced by the vote.,The activist prejudiced the vote.,AI
320,81,active,plausible,The stewardess pulled the suitcase.,The stewardess pulled the suitcase.,AI
321,81,active,implausible,The suitcase pulled the stewardess.,The stewardess pulled the suitcase.,AI
322,81,passive,plausible,The suitcase was pulled by the stewardess.,The stewardess pulled the suitcase.,AI
323,81,passive,implausible,The stewardess was pulled by the suitcase.,The stewardess pulled the suitcase.,AI
324,82,active,plausible,The flight-attendant dragged the luggage.,The flight-attendant dragged the luggage.,AI
325,82,active,implausible,The luggage dragged the flight-attendant.,The flight-attendant dragged the luggage.,AI
326,82,passive,plausible,The luggage was dragged by the flight-attendant.,The flight-attendant dragged the luggage.,AI
327,82,passive,implausible,The flight-attendant was dragged by the luggage.,The flight-attendant dragged the luggage.,AI
328,83,active,plausible,The congressman delivered the speech.,The congressman delivered the speech.,AI
329,83,active,implausible,The speech delivered the congressman.,The congressman delivered the speech.,AI
330,83,passive,plausible,The speech was delivered by the congressman.,The congressman delivered the speech.,AI
331,83,passive,implausible,The congressman was delivered by the speech.,The congressman delivered the speech.,AI
332,84,active,plausible,The representative gave the address.,The representative gave the address.,AI
333,84,active,implausible,The address gave the representative.,The representative gave the address.,AI
334,84,passive,plausible,The address was given by the representative.,The representative gave the address.,AI
335,84,passive,implausible,The representative was given by the address.,The representative gave the address.,AI
336,85,active,plausible,The sheriff inspected the estate.,The sheriff inspected the estate.,AI
337,85,active,implausible,The estate inspected the sheriff.,The sheriff inspected the estate.,AI
338,85,passive,plausible,The estate was inspected by the sheriff.,The sheriff inspected the estate.,AI
339,85,passive,implausible,The sheriff was inspected by the estate.,The sheriff inspected the estate.,AI
340,86,active,plausible,The constable examined the property.,The constable examined the property.,AI
341,86,active,implausible,The property examined the constable.,The constable examined the property.,AI
342,86,passive,plausible,The property was examined by the constable.,The constable examined the property.,AI
343,86,passive,implausible,The constable was examined by the property.,The constable examined the property.,AI
344,87,active,plausible,The celebrity signed the photograph.,The celebrity signed the photograph.,AI
345,87,active,implausible,The photograph signed the celebrity.,The celebrity signed the photograph.,AI
346,87,passive,plausible,The photograph was signed by the celebrity.,The celebrity signed the photograph.,AI
347,87,passive,implausible,The celebrity was signed by the photograph.,The celebrity signed the photograph.,AI
348,88,active,plausible,The star autographed the picture.,The star autographed the picture.,AI
349,88,active,implausible,The picture autographed the star.,The star autographed the picture.,AI
350,88,passive,plausible,The picture was autographed by the star.,The star autographed the picture.,AI
351,88,passive,implausible,The star was autographed by the picture.,The star autographed the picture.,AI
352,89,active,plausible,The nanny tutored the boy.,The nanny tutored the boy.,AAN
353,89,active,implausible,The boy tutored the nanny.,The nanny tutored the boy.,AAN
354,89,passive,plausible,The boy was tutored by the nanny.,The nanny tutored the boy.,AAN
355,89,passive,implausible,The nanny was tutored by the boy.,The nanny tutored the boy.,AAN
356,90,active,plausible,The governess instructed the lad.,The governess instructed the lad.,AAN
357,90,active,implausible,The lad instructed the governess.,The governess instructed the lad.,AAN
