ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
67,active,implausible,The schedule verified the humorist.,The humorist verified the schedule.,AI
67,passive,plausible,The schedule was verified by the humorist.,The humorist verified the schedule.,AI
67,passive,implausible,The humorist was verified by the schedule.,The humorist verified the schedule.,AI
68,active,plausible,The woodworker skimmed the brochure.,The woodworker skimmed the brochure.,AI
68,active,implausible,The brochure skimmed the woodworker.,The woodworker skimmed the brochure.,AI
68,passive,plausible,The brochure was skimmed by the woodworker.,The woodworker skimmed the brochure.,AI
68,passive,implausible,The woodworker was skimmed by the brochure.,The woodworker skimmed the brochure.,AI
69,active,plausible,The guide reached the target.,The guide reached the target.,AI
69,active,implausible,The target reached the guide.,The guide reached the target.,AI
69,passive,plausible,The target was reached by the guide.,The guide reached the target.,AI
69,passive,implausible,The guide was reached by the target.,The guide reached the target.,AI
70,active,plausible,The townsperson farmed the grain.,The townsperson farmed the grain.,AI
70,active,implausible,The grain farmed the townsperson.,The townsperson farmed the grain.,AI
70,passive,plausible,The grain was farmed by the townsperson.,The townsperson farmed the grain.,AI
70,passive,implausible,The townsperson was farmed by the grain.,The townsperson farmed the grain.,AI
71,active,plausible,The villager cultivated the crop.,The villager cultivated the crop.,AI
71,active,implausible,The crop cultivated the villager.,The villager cultivated the crop.,AI
71,passive,plausible,The crop was cultivated by the villager.,The villager cultivated the crop.,AI
71,passive,implausible,The villager was cultivated by the crop.,The villager cultivated the crop.,AI
72,active,plausible,The mentor revised the manuscript.,The mentor revised the manuscript.,AI
72,active,implausible,The manuscript revised the mentor.,The mentor revised the manuscript.,AI
72,passive,plausible,The manuscript was revised by the mentor.,The mentor revised the manuscript.,AI
72,passive,implausible,The mentor was revised by the manuscript.,The mentor revised the manuscript.,AI
73,active,plausible,The advisor edited the paper.,The advisor edited the paper.,AI
73,active,implausible,The paper edited the advisor.,The advisor edited the paper.,AI
73,passive,plausible,The paper was edited by the advisor.,The advisor edited the paper.,AI
73,passive,implausible,The advisor was edited by the paper.,The advisor edited the paper.,AI
74,active,plausible,The accountant made the chart.,The accountant made the chart.,AI
74,active,implausible,The chart made the accountant.,The accountant made the chart.,AI
74,passive,plausible,The chart was made by the accountant.,The accountant made the chart.,AI
74,passive,implausible,The accountant was made by the chart.,The accountant made the chart.,AI
75,active,plausible,The bookkeeper created the graph.,The bookkeeper created the graph.,AI
75,active,implausible,The graph created the bookkeeper.,The bookkeeper created the graph.,AI
75,passive,plausible,The graph was created by the bookkeeper.,The bookkeeper created the graph.,AI
75,passive,implausible,The bookkeeper was created by the graph.,The bookkeeper created the graph.,AI
76,active,plausible,The logger felled the pine tree.,The logger felled the pine tree.,AI
76,active,implausible,The pine tree felled the logger.,The logger felled the pine tree.,AI
76,passive,plausible,The pine tree was felled by the logger.,The logger felled the pine tree.,AI
76,passive,implausible,The logger was felled by the pine tree.,The logger felled the pine tree.,AI
77,active,plausible,The tycoon ran the company.,The tycoon ran the company.,AI
77,active,implausible,The company ran the tycoon.,The tycoon ran the company.,AI
77,passive,plausible,The company was run by the tycoon.,The tycoon ran the company.,AI
77,passive,implausible,The tycoon was run by the company.,The tycoon ran the company.,AI
78,active,plausible,The mogul governed the corporation.,The mogul governed the corporation.,AI
78,active,implausible,The corporation governed the mogul.,The mogul governed the corporation.,AI
78,passive,plausible,The corporation was governed by the mogul.,The mogul governed the corporation.,AI
78,passive,implausible,The mogul was governed by the corporation.,The mogul governed the corporation.,AI
79,active,plausible,The campaigner biased the ballot.,The campaigner biased the ballot.,AI
79,active,implausible,The ballot biased the campaigner.,The campaigner biased the ballot.,AI
79,passive,plausible,The ballot was biased by the campaigner.,The campaigner biased the ballot.,AI
79,passive,implausible,The campaigner was biased by the ballot.,The campaigner biased the ballot.,AI
80,active,plausible,The activist prejudiced the vote.,The activist prejudiced the vote.,AI
80,active,implausible,The vote prejudiced the activist.,The activist prejudiced the vote.,AI
80,passive,plausible,The vote was prejudiced by the activist.,The activist prejudiced the vote.,AI
80,passive,implausible,The activist was prejudiced by the vote.,The activist prejudiced the vote.,AI
81,active,plausible,The stewardess pulled the suitcase.,The stewardess pulled the suitcase.,AI
81,active,implausible,The suitcase pulled the stewardess.,The stewardess pulled the suitcase.,AI
81,passive,plausible,The suitcase was pulled by the stewardess.,The stewardess pulled the suitcase.,AI
81,passive,implausible,The stewardess was pulled by the suitcase.,The stewardess pulled the suitcase.,AI
82,active,plausible,The flight-attendant dragged the luggage.,The flight-attendant dragged the luggage.,AI
82,active,implausible,The luggage dragged the flight-attendant.,The flight-attendant dragged the luggage.,AI
82,passive,plausible,The luggage was dragged by the flight-attendant.,The flight-attendant dragged the luggage.,AI
82,passive,implausible,The flight-attendant was dragged by the luggage.,The flight-attendant dragged the luggage.,AI
83,active,plausible,The congressman delivered the speech.,The congressman delivered the speech.,AI
83,active,implausible,The speech delivered the congressman.,The congressman delivered the speech.,AI
83,passive,plausible,The speech was delivered by the congressman.,The congressman delivered the speech.,AI
83,passive,implausible,The congressman was delivered by the speech.,The congressman delivered the speech.,AI
84,active,plausible,The representative gave the address.,The representative gave the address.,AI
84,active,implausible,The address gave the representative.,The representative gave the address.,AI
84,passive,plausible,The address was given by the representative.,The representative gave the address.,AI
84,passive,implausible,The representative was given by the address.,The representative gave the address.,AI
85,active,plausible,The sheriff inspected the estate.,The sheriff inspected the estate.,AI
85,active,implausible,The estate inspected the sheriff.,The sheriff inspected the estate.,AI
85,passive,plausible,The estate was inspected by the sheriff.,The sheriff inspected the estate.,AI
85,passive,implausible,The sheriff was inspected by the estate.,The sheriff inspected the estate.,AI
86,active,plausible,The constable examined the property.,The constable examined the property.,AI
86,active,implausible,The property examined the constable.,The constable examined the property.,AI
86,passive,plausible,The property was examined by the constable.,The constable examined the property.,AI
86,passive,implausible,The constable was examined by the property.,The constable examined the property.,AI
87,active,plausible,The celebrity signed the photograph.,The celebrity signed the photograph.,AI
87,active,implausible,The photograph signed the celebrity.,The celebrity signed the photograph.,AI
87,passive,plausible,The photograph was signed by the celebrity.,The celebrity signed the photograph.,AI
87,passive,implausible,The celebrity was signed by the photograph.,The celebrity signed the photograph.,AI
88,active,plausible,The star autographed the picture.,The star autographed the picture.,AI
88,active,implausible,The picture autographed the star.,The star autographed the picture.,AI
88,passive,plausible,The picture was autographed by the star.,The star autographed the picture.,AI
88,passive,implausible,The star was autographed by the picture.,The star autographed the picture.,AI
89,active,plausible,The nanny tutored the boy.,The nanny tutored the boy.,AAN
89,active,implausible,The boy tutored the nanny.,The nanny tutored the boy.,AAN
89,passive,plausible,The boy was tutored by the nanny.,The nanny tutored the boy.,AAN
89,passive,implausible,The nanny was tutored by the boy.,The nanny tutored the boy.,AAN
90,active,plausible,The governess instructed the lad.,The governess instructed the lad.,AAN
90,active,implausible,The lad instructed the governess.,The governess instructed the lad.,AAN
90,passive,plausible,The lad was instructed by the governess.,The governess instructed the lad.,AAN
90,passive,implausible,The governess was instructed by the lad.,The governess instructed the lad.,AAN
91,active,plausible,The blackmailer threatened the senator.,The blackmailer threatened the senator.,AAN
91,active,implausible,The senator threatened the blackmailer.,The blackmailer threatened the senator.,AAN
91,passive,plausible,The senator was threatened by the blackmailer.,The blackmailer threatened the senator.,AAN
91,passive,implausible,The blackmailer was threatened by the senator.,The blackmailer threatened the senator.,AAN
92,active,plausible,The extortionist menaced the legislator.,The extortionist menaced the legislator.,AAN
92,active,implausible,The legislator menaced the extortionist.,The extortionist menaced the legislator.,AAN
92,passive,plausible,The legislator was menaced by the extortionist.,The extortionist menaced the legislator.,AAN
92,passive,implausible,The extortionist was menaced by the legislator.,The extortionist menaced the legislator.,AAN
93,active,plausible,The artist portrayed the philosopher.,The artist portrayed the philosopher.,AAN
93,active,implausible,The philosopher portrayed the artist.,The artist portrayed the philosopher.,AAN
93,passive,plausible,The philosopher was portrayed by the artist.,The artist portrayed the philosopher.,AAN
93,passive,implausible,The artist was portrayed by the philosopher.,The artist portrayed the philosopher.,AAN
94,active,plausible,The painter depicted the thinker.,The painter depicted the thinker.,AAN
94,active,implausible,The thinker depicted the painter.,The painter depicted the thinker.,AAN
94,passive,plausible,The thinker was depicted by the painter.,The painter depicted the thinker.,AAN
94,passive,implausible,The painter was depicted by the thinker.,The painter depicted the thinker.,AAN
