WorkerId,na.pct,n,implausible,plausible,diff,Answer.English,Answer.country,profcheck,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,filler.left,filler.right
A19WXS1CLVLEEX,0,54,1.4,7,5.6,yes,USA,yes,"When I was younger, I would go to school and learn reading and math.","It's raining tomorrow, so I will take an umbrella.",550,{},37YYO3NWHDQTKSWDDFRPK30ZIR7CCX,6,1
A19ZWBQT8A3LIR,0,54,1.5,7,5.5,yes,USA,yes,"When I was younger, I would go to school and talk with all of my friends.","It's raining tomorrow, so I will dress warm and take an umbrella.",656,{},3QX22DUVOOH2SNE4HLG8DRT0XJKMVV,7,1
A1A7HKFWGH77QH,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and play on the playground.","It's raining tomorrow, so you better wear a jacket.",636,{},3RZS0FBRWKACEH5HIKDV43Z6HHFCPI,7,1
A1AL6YXN76OLGW,0,54,6.7,6.1,-0.6,yes,USA,,"When I was younger, I would go to school and tuition.","It's raining tomorrow, so tomorrow plan is cancelled.",1153,really enjoyed and very useful survey,3VGET1QSZ0ZWM97M3PJFGBFO93R7WF,7,1
A1AZLJ3R5FQ9B7,0,54,1.6,6.9,5.3,yes,USA,yes,"When I was younger, I would go to school and play at recess with my friends.","It's raining tomorrow, so I will be sure and wear my raincoat.",294,{},3RIHDBQ1NEYXAMJKCWZ4YQ2RP49HM0,7,1
A1BIJGB7XA0GME,0,54,1,6.125,5.125,yes,USA,yes,"When I was younger, I would go to school and learn math and spelling.","It's raining tomorrow, so I better wear a rain coat.",1737,none,3MG8450X2OA80BMH4BYVY9LCOHMUPA,7,1
A1BNR1ZAF1QGWG,0,54,1.25,5.5,4.25,yes,USA,yes,"When I was younger, I would go to school and learn subjects like math and history","It's raining tomorrow, so I should bring my umbrella when walking to work",846,{},3RWB1RTQDJNA2EF418XQ2H3NRQUP8P,7,1
A1BUNT3VJFLXD0,0,54,1.375,7,5.625,yes,USA,yes,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I will wear a raincoat.",1282,{},3XQ4XW3OD9CWTRT7D8SJNVVVSA9S25,7,1
A1C5T9VNTCXU44,0,54,1.25,6.875,5.625,yes,UK,yes,"When I was younger, I would go to school and study really hard.","It's raining tomorrow, so it'll be wet.",2149,{},3087LXLJ6MGGTCL7S1O6X8J16MVF0P,7,1
A1DCG37N0Y8BN0,0,54,2.25,6.875,4.625,yes,USA,yes,"When I was younger, I would go to school and learn many different things.","It's raining tomorrow, so I will take a nap then.",3001,{},3JUDR1D0D6RKGBEUL43ESVGUAMO2QQ,7,1
A1DD23J1WBGQUU,0.018518519,54,1.25,6,4.75,yes,USA,yes,"When I was younger, I would go to school and look forward to seeing my friends.","It's raining tomorrow, so I'll be sure to carry my umbrella.",2394,{},391JB9X4ZY8OCCKSIH21BIIJHLDMK9,6,1
A1DKVUTOBPQH11,0,54,1.1,6.3,5.2,yes,USA,yes,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I'll most likely stay at home.",966,N/A -- Thank You!,3JTPR5MTZSCQ45ZMQILFUG7XVQNK5H,7,1
A1DMXEJGJY02E1,0,54,1.375,7,5.625,yes,USA,yes,"When I was younger, I would go to school and listen to my teachers.","It's raining tomorrow, so I will not go outside.",506,{},3PUV2Q8SV44KFFALZBQ5TPCZLDCDBY,7,1
A1DZMZTXWOM9MR,0,54,1.125,7,5.875,yes,USA,yes,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I'll be staying inside for the day.",3277,n/a,3W0KKJIARR99RNIOOGSI60HOXGOK8J,7,1
A1EZVLVKE9AZNM,0,54,5.625,5.375,-0.25,yes,USA,,"When I was younger, I would go to school and attend my class","It's raining tomorrow, so i would take leave",2831,It was good to complete this study,3RKHNXPHGWW7PKP1RJTN2SZDU7GKUZ,7,1
A1F9KLZGHE9DTA,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and study as hard as I could.","It's raining tomorrow, so I'd better remember to bring my umbrella.",2019,There were a few of these that were quite tricky but please know that I did the best I could and went with my gut as instructed.  Thanks for the HIT!,3N5YJ55YXG3OIHW6IR4CUJ4NHZTNAV,7,1
A1FKRZKU1H9YFC,0,54,1,6.25,5.25,yes,USA,yes,"When I was younger, I would go to school and always be the first one done on work.","It's raining tomorrow, so I will likely stay home and work.",862,N/A,335HHSX8CD5U6SD7Z301F0FXGQHHDI,7,1
A1FVXS8IM5QYO8,0,54,1.125,6.75,5.625,yes,UK,yes,"When I was younger, I would go to school and study mathematics, english, and history.","It's raining tomorrow, so I will stay indoors and read a book.",2242,Really interesting survey,3FCO4VKOZ4D259LVIPP9U58O2ZM7EZ,7,1
A1H198MRIM37T1,0,54,1.25,7,5.75,yes,USA,yes,"When I was younger, I would go to school and try to get along with others.","It's raining tomorrow, so I will bring my umbrella.",1054,None,36U4VBVNQODTCO2WH32K34LRPZAUR2,7,1
A1H6DME332958N,0,54,4.375,4.375,0,yes,USA,,"When I was younger, I would go to school and play ground with my friends","It's raining tomorrow, so i am not go to the school",841,very nice survey,30Y6N4AHYPW7VMRAV8CVT4H33ZFDRB,7,1
A1HVSOJC13XEK1,0,54,3.875,4,0.125,yes,USA,,"When I was younger, I would go to school and attend the class","It's raining tomorrow, so i don't go outside",673,i would like to work on this study,3MNJFORX8B4FOJ78P7UIE3FSNU6F5A,7,NA
A1I5YNJ60UATA4,0,54,1.75,2.5,0.75,yes,USA,,"When I was younger, I would go to school and reading the book.","It's raining tomorrow, so understanding.",2511,good,3U18MJKL1UMCBWT425030EUBH2ENCX,7,2
A1I72NHC21347A,0.018518519,54,2,6,4,yes,USA,yes,"When I was younger, I would go to school and try to improve my math","It's raining tomorrow, so I need to stay home from the park",381,{},3JYPJ2TAYI8JHTPR9M3WC9K9EU7PF6,7,1
A1IC1DQ0QQBOOZ,0,108,5.833333333,6,0.166666667,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so school leave",3059,good,3ZXV7Q5FJBO0N4GN4HHQS9L2FBSFCI,7,NA
A1IC1DQ0QQBOOZ,0,108,5.833333333,6,0.166666667,yes,USA,,"When I was younger, I would go to school and stady","It's raining tomorrow, so school",3115,good,3SZYX62S5G029QS27OW6QB2BP6N57W,7,2
A1IKK576F8WY0N,0,54,1,6.8,5.8,yes,USA,yes,"When I was younger, I would go to school and learn many new things.","It's raining tomorrow, so I will remember to take my umbrella with me.",586,Thank you!,3L60IFZKF3IBI8I9LZJR6LUV8IAHHR,7,2
A1IL2HYSSL4ZMV,0.055555556,54,1.7,7,5.3,yes,USA,yes,"When I was younger, I would go to school and do my best to pay attention.","It's raining tomorrow, so I don't think I will work in the garden.",1003,{},3UEDKCTP9VQ5R9D5EB0CS0LTMWI7KJ,7,1
A1JJYY622DGE5L,0.018518519,54,2.125,3.5,1.375,yes,USA,yes,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so I will take an umbrella.",1510,{},3GONHBMNHVYJ17JEII5BYX6WLTPZM5,7,2
A1K42W7BKJDVB,0,54,3.875,6.375,2.5,,USA,no,"When I was younger, I would go to school and learn to draw and paint.","It's raining tomorrow, so was it yesterday",2178,none,3Y40HMYLL1ID9KO8Q28CSM7FQGVUXY,7,1
A1K8QNLYYYX21W,0,54,1.1,5.2,4.1,yes,USA,yes,"When I was younger, I would go to school and learn about match and science","It's raining tomorrow, so i will not be able to go hiking",2543,{},386T3MLZLNV7EXBKKNI0NG2FJII801,7,1
A1K8VUKRL53OX,0,54,2.875,6.25,3.375,yes,USA,yes,"When I was younger, I would go to school and carry some food with me.","It's raining tomorrow, so I will use my heavy jacket.",2726,none,3M0556243SKJE8DET7Q48KFEEF6FN0,7,1
A1KWC8TW8ANBQ8,0,54,1.75,7,5.25,yes,USA,yes,"When I was younger, I would go to school and play basketball or kickball during recess.","It's raining tomorrow, so I am going to dress for the occasion with boots, raincoat and umbrella.",1587,none,32FESTC2NHQP6MDDZ6CPE9M5PY7CUE,7,1
A1LB8HVSXK66U0,0,54,1.75,4.625,2.875,yes,USA,yes,"When I was younger, I would go to school and learn all sorts of things.","It's raining tomorrow, so I'm going to stay inside.",1504,{},3TX9T2ZCB91F6JDSMKBY7V8NJV3ZWW,7,1
A1LSI693NIAOY9,0,54,3.625,4.125,0.5,yes,USA,,"When I was younger, I would go to school and play with my friends","It's raining tomorrow, so I take leave",1702,it was simply good,35F6NGNVM8J4US3S8KE4TR8P5997TP,7,1
A1LZWU72K42V92,0.037037037,54,2.5,5.125,2.625,yes,USA,yes,"When I was younger, I would go to school and learn and eat lunch.","It's raining tomorrow, so I will stay home.",1053,{},3R868ACW4SCJ9XNS7F7GLSMZP8EGZH,7,1
A1MM8TSLCHVMNK,0,54,3,6.875,3.875,yes,USA,yes,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I will make sure to pack my umbrella.",1364,{},3GKAWYFRAPTMJ9BVIG86O9HO2HRDPJ,7,1
A1N16ZU0FNQEY6,0,54,1.125,7,5.875,yes,USA,yes,"When I was younger, I would go to school and learn how to do math problems","It's raining tomorrow, so I will be sure to pack an umbrella",1009,Thank you!,3HEA4ZVWVDMNMMEJJVH9SROFY0S55H,7,1
A1N7BQTP2HR0QN,0,54,4,4,0,yes,USA,,"When I was younger, I would go to school and i am older in going to collage","It's raining tomorrow, so school is leave",574,good survey,3K3IX1W4S6ROL28JY6H4Y89IHEUAPE,7,1
A1NDMFN9A5G25G,0,54,1.875,5.5,3.625,yes,USA,yes,"When I was younger, I would go to school and get in to lots of trouble.","It's raining tomorrow, so please bring your umbrella.",1502,{},356TQKY9XFXLW8B45M392VC2RWO871,7,1
A1NGABF082HR2P,0.018518519,54,2.5,7,4.5,yes,USA,yes,"When I was younger, I would go to school and come home at the end of the day.","It's raining tomorrow, so I will not be taking the trip after all.",474,NA,3VW0145YLYCT1SEA0W2PA3I62WDMJA,7,1
A1O57XVTTB1PNZ,0,54,1,6,5,yes,USA,yes,"When I was younger, I would go to school and couldn't wait to see my friends and play at break time.","It's raining tomorrow, so I plan to wear a warm sweater and hooded jacket.",987,{},36QZ6V1589D5D329WS2PTEQNB1TUSQ,7,1
A1ODA3Q5H6HTDQ,0,54,1.6,5.8,4.2,yes,USA,yes,"When I was younger, I would go to school and play outside with my friends.","It's raining tomorrow, so I need to remember an umbrella.",2937,{},3TRB893CSJA0PNHMOKFXU8T0FF17GG,7,1
A1OQIXAU1SEJ4P,0,54,1,6.6,5.6,yes,USA,yes,"When I was younger, I would go to school and play on the playground.","It's raining tomorrow, so I have to take an umbrella.",411,{},3N5YJ55YXG3OIHW6IR4CUJ4NHZTANI,7,1
A1OW27AZS122X2,0,54,1.6,5.8,4.2,yes,USA,yes,"When I was younger, I would go to school and improved my math skills.","It's raining tomorrow, so I will stay at home.",1662,None,3X4Q1O9UBHMOH0YKC3S5ZH2261S7O3,7,1
A1P6OXEJ86HQRM,0,54,1,6.6,5.6,yes,USA,yes,"When I was younger, I would go to school and pay attention in class.","It's raining tomorrow, so I will not be going to the baseball game.",1526,{},3CVBMEMMXBGEPJCX8QXFF851UFE7HF,7,1
A1PM5PFLOT46GN,0,54,5.9,5.8,-0.1,yes,USA,,"When I was younger, I would go to school and improve my knowledge.","It's raining tomorrow, so i was take leave.",2510,Nice experiment,34XASH8KLQMPN3H8V9797Z4IBVJMPA,7,1
A1PR74OHURJNTO,0.018518519,54,1.25,5.25,4,yes,USA,yes,"When I was younger, I would go to school and learn about the world.","It's raining tomorrow, so I am staying at home.",395,{},3EN4YVUOUCS4V4DEE34YLKY490XJXR,7,1
A1PTH9KTRO06EG,0,54,1.25,6.375,5.125,yes,USA,yes,"When I was younger, I would go to school and play football for the school.","It's raining tomorrow, so i think practice may be canceled.",637,{},3ULIZ0H1VA5OY4D0I8FXP1BYMKN51Z,7,1
A1Q0G8JA5EZ8EI,0.018518519,54,2,6.125,4.125,yes,USA,no,"When I was younger, I would go to school and learnt many subjects","It's raining tomorrow, so carry ab umbrella",1226,{},3V8JSVE8YYQLKTHW5YF97ISL6YVEY7,7,1
A1Q56N80RJLQ7S,0,54,1,5.25,4.25,yes,USA,yes,"When I was younger, I would go to school and always learn something new.","It's raining tomorrow, so I'm going to plan errands for another day.",1966,"Thank you for allowing me to participate! Tried using the instructions of what is plausible of commonly occurring but some of the examples stumped me. Many were very clear though. Ones such as the president pardoned the traitor, might be viewed by many as not common, but as of recently especially in the past few years, others may say it is indeed common.",37G6BXQPLQLCBRQAEOYFUWPJ7PEEQ4,7,1
A1QGG767E07WBA,0.037037037,54,2,6.25,4.25,yes,USA,yes,"When I was younger, I would go to school and play with all of my friends.","It's raining tomorrow, so I will enjoy the day by watching movies on the couch.",2088,Thanks!,375VMB7D4JJU2NOR5LIMFCGCG3WDI7,7,1
A1QT7BQZVOBSY0,0,54,2.375,6.75,4.375,yes,USA,yes,"When I was younger, I would go to school and play, during recess, with my friends.","It's raining tomorrow, so I will probably stay inside and do some housecleaning.",897,{},3XT3KXP24ZYVHE9CVYA8966KZH9I6K,7,1
A1QW58B3BITNKY,0,54,4,6.25,2.25,no,USA,yes,"When I was younger, I would go to school and have fun with my friends.","It's raining tomorrow, so I better put a coat on.",1880,This was fun!,3OID399FXG7ASWM14DC1CF3K0B4DFG,7,1
A1R37XA9QPSIAN,0,54,2.625,7,4.375,yes,USA,yes,"When I was younger, I would go to school and study with my friends.","It's raining tomorrow, so I better bring an umbrella",474,Some things may have been plausible but they were highly unlikely.,373L46LKP76YB4E7FKP9VQQ2DRIKJ3,7,1
A1R8A8BK2VN7RH,0,54,1.25,4.5,3.25,yes,USA,yes,"When I was younger, I would go to school and do all my homework","It's raining tomorrow, so I will bring an umbrella",401,{},3LG268AV386CNS5AR3NFZMZO3BGER5,7,1
A1S88VQY8G8CNC,0,54,1,6.8,5.8,yes,USA,yes,"When I was younger, I would go to school and look forward to the end of the school day.","It's raining tomorrow, so I will spend the entire day indoors.",973,{},3FHTJGYT8N0PVTLMK69EUUKLF97PG5,7,1
A1SHLWKA0UH1IS,0,54,1.6,6.9,5.3,yes,USA,yes,"When I was younger, I would go to school and enjoy seeing my friends.","It's raining tomorrow, so I will carry my umbrella.",1518,Thanks!,34HEO7RUG6U9XFOYBYLT339XIWIAR6,7,1
A1SIUJEL2LS8UO,0,54,1.25,6.5,5.25,yes,USA,yes,"When I was younger, I would go to school and talk with my friends.","It's raining tomorrow, so I purchased an umbrella.",2828,{},31D0ZWOD0AZLXL4ZHL2EJ78A96IA07,7,1
A1SN0UU3V61IIM,0.018518519,54,1,6.4,5.4,yes,USA,yes,"When I was younger, I would go to school and get a good education.","It's raining tomorrow, so I will remain indoors.",558,{},3GL25Y6843UUWCJZH0HQ1CQLDUSMXY,7,1
A1SX8IVV82M0LW,0,54,2.625,6.125,3.5,yes,USA,yes,"When I was younger, I would go to school and try to finish some last minute homework.","It's raining tomorrow, so I should plan to bring an umbrella with me.",3186,{},32TMVRKDGNYODLTL3O52ZJSS0UY84H,7,1
A1TARNH07A75CG,0,54,1,6.5,5.5,yes,USA,yes,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I'll make sure to bring an umbrella.",860,{},3SSN80MU8COZ6OJWWO4AMZYHOPXKXR,7,1
A1TLNLB9D87H6,0,54,1.3,4.9,3.6,yes,USA,yes,"When I was younger, I would go to school and put my books in my locker.","It's raining tomorrow, so I need to carry an umbrella.",1137,Some of the words I didn't know and had to Google.,3S8APUMBJXJHDZOHQHLVHPFKXQSFBB,7,1
A1TRO537S2U7QV,0.018518519,54,3.875,5.428571429,1.553571429,yes,USA,yes,"When I was younger, I would go to school and I learnt many things.","It's raining tomorrow, so we have to carry our umbrella with us.",2219,The survey is really confusing as well as interesting.,3OEWW2KGQJB4Y9ZU3GVRZ9CYSCVDO2,7,1
A1TZ9YVT2ILX01,0.018518519,54,4.4,4.9,0.5,yes,USA,,"When I was younger, I would go to school and N","It's raining tomorrow, so",426,NONE,3JU8CV4BRLCDN62K8PMMZ3TN6VYPOS,7,1
A1U4DNYKF6YUY3,0.037037037,54,2.75,7,4.25,yes,USA,yes,"When I was younger, I would go to school and learn math, play games on the playground and eat lunch.","It's raining tomorrow, so I am going to stay inside and read books all day.",3063,{},3EQVJH0T40L1NH94LT0GK4XJJC5HT1,7,1
A1U69QDM8UIXZ5,0,54,2.25,6.5,4.25,yes,USA,yes,"When I was younger, I would go to school and sit staring at a chalkboard each day.","It's raining tomorrow, so I need to get my arruns done today.",963,"It seems like this should have been yes or no questions instead of a scale, but because it was a scale I tried using more that 1 or 7. Please know I tried on this and needed the dictionary to look up some words.",3X0EMNLXEPP8DQBH9180UVNV2OVPVU,7,1
A1U8RH67FLZW87,0,54,1.875,5.875,4,yes,USA,yes,"When I was younger, I would go to school and learn new concepts in math.","It's raining tomorrow, so I am going to watch a few movies.",1633,{},33KMQD9OFJEHWU6LVHB3OVG7GCI77D,7,1
A1USR9JCAMDGM3,0.018518519,54,2.5,3.25,0.75,yes,USA,,"When I was younger, I would go to school and sometimes get good grades.","It's raining tomorrow, so I made sure to bring the plants inside.",961,{},356ZPKYPUHHPHK6MECVK1URPK5XPY3,7,1
A1V2H0UF94ATWY,0,54,2.125,7,4.875,,,yes,"When I was younger, I would go to school and talk with my friends at lunch.","It's raining tomorrow, so we better carry our umbrellas.",2028,{},3S37Y8CWI80Z3MP31RL8DZVEI114WS,7,1
A1VKGII4PKKS3T,0,54,5,4.8,-0.2,yes,USA,,"When I was younger, I would go to school and goes to music class.","It's raining tomorrow, so school leave announced.",781,Good,3OYHVNTV5TYCCF54VXHE3M7OCLSKOM,7,6
A1VMPZVVVZUCS4,0,54,1.6,7,5.4,yes,USA,yes,"When I was younger, I would go to school and play in the playground at recess.","It's raining tomorrow, so I think I'll stay indoors and clean the house.",501,"I'm not sure about the sentences with the spirits/ghosts: those make sense grammatically and would make sense in context (e.g., a novel about the paranormal), but they're not plausible in the sense that ghosts aren't real. I wasn't sure how we were supposed to rate those questions.",3D06DR5225JI0ZB66QPCH4FNC9JAMI,7,1
A1VRG5HKZC0H0C,0,54,1.25,6.875,5.625,yes,USA,yes,"When I was younger, I would go to school and head straight to my locker.","It's raining tomorrow, so I will plan to stay inside.",1681,N/A,3EQPA8A374WT0ZDTFLSJI5EFH0VJZO,7,1
