WorkerId,AssignmentId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,21,7,AAN,active,plausible,353,The channeler sensed the ghost.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,22,1,AI,active,implausible,57,The steak ate the carnivore.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,23,7,AAN,passive,plausible,153,The insurgent was banished by the monarch.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,24,7,AAN,active,plausible,125,The biker defied the trainer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,25,1,AI,active,implausible,15,The faucet repaired the handyman.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,26,7,AAN,passive,plausible,361,The newsagent was promoted by the TV station head.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,27,6,AAR,active,plausible1,237,The donor introduced the broker.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,28,7,AAR,active,plausible1,185,The churchgoer hugged the preacher.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,29,7,AAN,active,plausible,161,The impersonator conned the inspector.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,30,1,AI,active,implausible,293,The rules emphasized the counselor.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,31,6,AAN,passive,implausible,147,The baron was chosen by the successor.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,32,1,AI,active,implausible,73,The paper edited the advisor.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,33,1,AI,passive,implausible,49,The domestic was cleaned by the wash basin.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,34,7,AAN,passive,implausible,163,The pyromaniac was unnerved by the shopkeeper.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,35,7,AI,passive,plausible,7,The beverage was requested by the adventurer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,36,7,AI,active,plausible,59,The man drank the soda.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,37,7,AAN,active,implausible,177,The tobacconist cautioned the environmentalist.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,38,7,AAR,passive,plausible0,259,The vandal was confronted by the accuser.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,39,7,AAR,passive,plausible1,415,The plumber was devastated by the foreman.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,40,7,AAR,active,plausible0,221,The musician admired the diva.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,41,5,AI,active,plausible,47,The contractor laundered the trousers.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,42,7,AI,active,plausible,301,The bookworm recited the poem.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,43,7,AAN,active,plausible,329,The exorcist vanquished the spirit.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,45,1,AI,passive,implausible,23,The skipper was guaranteed by the victory.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,46,2,AAN,active,implausible,155,The industrialist burgled the robber.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,47,7,AI,passive,plausible,53,The stash was hidden by the hoarder.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,48,1,AI,passive,implausible,85,The sheriff was inspected by the estate.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,49,2,AAN,passive,implausible,331,The paparazzi was stalked by the pop star.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,50,4,AAN,active,implausible,343,The Olympian weighed the personal trainer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,51,7,AI,active,plausible,21,The cook grilled the octopus.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,52,1,AI,active,implausible,321,The pipe smoked the crackhead.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,53,7,AI,passive,plausible,87,The photograph was signed by the celebrity.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,54,7,AI,active,plausible,81,The stewardess pulled the suitcase.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,1,5,AAN,passive,plausible,163,The shopkeeper was unnerved by the pyromaniac.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,2,1,AAN,passive,implausible,353,The channeler was sensed by the ghost.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,3,2,AI,passive,implausible,81,The stewardess was pulled by the suitcase.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,4,7,AI,active,plausible,73,The advisor edited the paper.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,5,4,AAN,active,implausible,153,The insurgent banished the monarch.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,6,1,AI,passive,implausible,59,The man was drunk by the soda.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,7,6,AAR,passive,plausible1,259,The accuser was confronted by the vandal.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,8,6,AAR,passive,plausible0,375,The barrister was paid by the photographer.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,9,7,AAN,active,implausible,173,The gold medalist praised the judge.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,10,7,AAR,passive,plausible0,237,The donor was introduced by the broker.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,12,7,AAN,active,plausible,105,The admirer badgered the director.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,13,7,AI,active,plausible,321,The crackhead smoked the pipe.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,14,6,AAR,passive,plausible1,197,The valet was entertained by the envoy.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,15,1,AI,passive,implausible,47,The contractor were laundered by the trousers.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,17,7,AAN,active,implausible,361,The newsagent promoted the TV station head.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,18,7,AAN,active,plausible,155,The robber burgled the industrialist.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,19,7,AAR,active,plausible1,221,The diva admired the musician.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,20,1,AI,passive,implausible,21,The cook was grilled by the octopus.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,21,1,AI,active,implausible,7,The beverage requested the adventurer.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,22,2,AAN,passive,implausible,329,The exorcist was vanquished by the spirit.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,23,7,AI,passive,plausible,309,The gun was loaded by the minuteman.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,24,1,AI,active,implausible,53,The stash hid the hoarder.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,25,1,AI,active,implausible,31,The word mispronounced the announcer.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,26,3,AAR,passive,plausible1,379,The fashionista was humiliated by the mode.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,27,1,AI,passive,implausible,301,The bookworm was recited by the poem.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,28,7,AI,passive,plausible,23,The victory was guaranteed by the skipper.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,29,7,AI,active,plausible,57,The carnivore ate the steak.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,30,7,AI,passive,plausible,49,The wash basin was cleaned by the domestic.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,31,7,AAR,active,plausible0,207,The actuary assuaged the creditor.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,32,7,AAR,active,plausible1,183,The athlete vexed the commentator.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,33,5,AAR,active,plausible0,415,The plumber devastated the foreman.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,34,7,AAN,passive,plausible,331,The pop star was stalked by the paparazzi.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,35,7,AAR,passive,plausible1,407,The cinematographer was favored by the movie star.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,36,7,AAR,active,plausible0,383,The neighbor snubbed the newcomer.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,37,6,AAN,active,implausible,341,The cadet supervised the colonel.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,38,7,AAR,active,plausible0,263,The protestor quoted the leader.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,39,6,AAR,active,plausible1,265,The taxi-driver repulsed the postal worker.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,40,7,AAN,active,plausible,343,The personal trainer weighed the Olympian.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,41,7,AAN,passive,plausible,147,The successor was chosen by the baron.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,42,7,AI,passive,plausible,85,The estate was inspected by the sheriff.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,43,6,AAN,passive,implausible,161,The impersonator was conned by the inspector.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,44,7,AI,active,plausible,293,The counselor emphasized the rules.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,45,7,AAN,passive,implausible,125,The biker was defied by the trainer.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,46,7,AAR,passive,plausible0,399,The retailer was harassed by the claims adjuster.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,47,7,AI,active,plausible,15,The handyman repaired the faucet.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,48,1,AI,active,implausible,87,The photograph signed the celebrity.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,49,1,AI,active,implausible,285,The button pressed the attendant.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,50,7,AAR,passive,plausible0,185,The churchgoer was hugged by the preacher.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,51,7,AI,passive,plausible,63,The dinner was prepared by the woman.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,52,7,AAR,active,plausible1,397,The loyalist upset the infantryman.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,53,7,AAN,passive,plausible,357,The ruffian was released by the bailiff.
A270HX8LH9LJ8W,3VNL7UK1XFJJV5GRG5HH63GSO0HFTO,54,6,AAN,active,plausible,177,The environmentalist cautioned the tobacconist.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,1,7,AI,passive,plausible,45,The curtains were recommended by the decorator.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,2,1,AI,active,implausible,75,The graph created the bookkeeper.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,3,5,AAN,active,implausible,327,The actress cast the producer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,4,2,AI,passive,implausible,65,The sightseer was misplaced by the memento.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,5,1,AI,active,implausible,289,The umbrella forgot the couch-potato.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,6,7,AI,active,plausible,61,The instructor purchased the computer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,7,7,AAN,active,plausible,335,The streetwalker undercharged the seaman.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,8,7,AAN,active,plausible,151,The father pampered the infant.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,9,4,AAN,active,implausible,145,The kid reprimanded the headmaster.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,10,7,AI,active,plausible,291,The hacker memorized the password.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,11,1,AI,passive,implausible,297,The fisherman was emptied by the trashcan.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,12,7,AAN,passive,plausible,363,The tribesman was studied by the anthropologist.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,13,7,AAN,passive,plausible,123,The apprentice was trained by the artisan.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,14,7,AI,passive,plausible,27,The banner was raised by the soldier.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,15,1,AAN,passive,implausible,359,The president was pardoned by the traitor.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,16,5,AI,active,plausible,11,The overseer provided the alcohol.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,18,1,AAN,passive,implausible,337,The jury was acquitted by the economist.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,19,7,AI,passive,plausible,67,The schedule was verified by the humorist.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,20,7,AAR,active,plausible0,387,The baker mentioned the miller.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,21,1,AI,active,implausible,51,The pill took the convalescent.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,22,4,AAN,active,implausible,89,The boy tutored the nanny.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,23,7,AAN,active,plausible,131,The smuggler bribed the bureaucrat.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,24,7,AAR,active,plausible1,193,The weatherman annoyed the drummer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,25,7,AAR,passive,plausible1,403,The physicist was nagged by the mathematician.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,26,7,AAN,active,plausible,107,The paramedic revived the youth.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,27,1,AI,active,implausible,315,The fund established the supremacist.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,28,7,AAR,passive,plausible0,395,The swimmer was impressed by the surfer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,29,7,AI,active,plausible,323,The charlatan burned the contract.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,30,7,AAN,passive,implausible,159,The windbag was taunted by the recluse.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,31,6,AAR,passive,plausible1,271,The culprit was betrayed by the hunter.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,33,7,AAN,active,implausible,349,The chiropractor thanked the tennis player.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,34,7,AAR,passive,plausible1,233,The missionary was baffled by the oracle.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,35,7,AAN,passive,plausible,141,The inmate was caught by the warden.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,36,6,AAR,active,plausible1,215,The farmer affronted the mapmaker.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,37,1,AI,passive,implausible,17,The receptionist was tidied by the table.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,38,7,AAR,passive,plausible1,199,The acrobat was pushed by the stranger.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,39,7,AAR,passive,plausible0,249,The gnome was protected by the wizard.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,40,7,AAR,passive,plausible0,217,The entertainer was awed by the poet.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,41,6,AAR,active,plausible1,391,The fieldworker misled the sharecropper.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,42,4,AAN,passive,implausible,139,The driver was transported by the ambassador.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,43,3,AAN,passive,plausible,347,The tour-guide was chased by the lion.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,44,7,AI,passive,plausible,307,The passport was photocopied by the travel-agent.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,45,4,AAN,active,implausible,129,The cousin shocked the genius.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,46,7,AAR,active,plausible1,243,The messenger swindled the interpreter.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,47,7,AAN,passive,implausible,109,The prankster was duped by the marketer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,48,6,AAR,passive,plausible0,195,The defendant was belittled by the go-between.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,49,7,AAR,active,plausible0,205,The nobleman married the baroness.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,50,7,AAR,active,plausible0,409,The bricklayer outraged the crane operator.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,51,5,AAR,active,plausible0,239,The shrink commended the dean.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,52,1,AI,passive,implausible,39,The nutritionist was detested by the marmalade.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,53,6,AAN,active,plausible,355,The huntsman trapped the deer.
A3R5OJR60C6004,3MTMREQS4VIGRV3D0U00FMC0VEMAWW,54,7,AAN,passive,plausible,171,The first lady was petrified by the terrorist.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,1,2,AI,active,plausible,289,The couch-potato forgot the umbrella.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,2,1,AI,active,implausible,27,The banner raised the soldier.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,3,1,AI,passive,implausible,61,The instructor was purchased by the computer.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,4,7,AI,passive,plausible,297,The trashcan was emptied by the fisherman.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,5,3,AI,passive,implausible,323,The charlatan was burnt by the contract.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,6,7,AI,passive,plausible,39,The marmalade was detested by the nutritionist.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,7,7,AI,active,plausible,75,The bookkeeper created the graph.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,8,5,AAN,passive,implausible,355,The huntsman was trapped by the deer.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,10,7,AAN,active,plausible,327,The producer cast the actress.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,11,7,AI,active,plausible,51,The convalescent took the pill.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,13,5,AAN,active,implausible,347,The tour-guide chased the lion.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,14,6,AAR,active,plausible0,403,The physicist nagged the mathematician.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,15,7,AAR,passive,plausible1,249,The wizard was protected by the gnome.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,16,5,AAR,passive,plausible0,193,The weatherman was annoyed by the drummer.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,17,7,AAR,passive,plausible0,243,The messenger was swindled by the interpreter.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,18,1,AI,passive,implausible,11,The overseer was provided by the alcohol.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,19,7,AAN,active,plausible,145,The headmaster reprimanded the kid.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,20,6,AI,active,implausible,67,The schedule verified the humorist.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,21,2,AAN,passive,implausible,107,The paramedic was revived by the youth.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,22,3,AAN,active,implausible,171,The first lady petrified the terrorist.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,23,1,AAN,passive,implausible,151,The father was pampered by the infant.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,24,7,AI,passive,plausible,17,The table was tidied by the receptionist.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,25,6,AAR,passive,plausible0,391,The fieldworker was misled by the sharecropper.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,26,6,AAR,passive,plausible1,217,The poet was awed by the entertainer.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,27,2,AAR,passive,plausible1,195,The go-between was belittled by the defendant.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,28,5,AAR,passive,plausible0,215,The farmer was affronted by the mapmaker.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,29,5,AAR,active,plausible1,409,The crane operator outraged the bricklayer.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,30,2,AAR,active,plausible0,233,The missionary baffled the oracle.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,31,2,AAN,active,implausible,141,The inmate caught the warden.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,32,1,AI,active,implausible,307,The passport photocopied the travel-agent.
AU2RMH9IZP60M,3QY5DC2MXRKYVIVGGA7RBZ2U7EOFUF,33,7,AAN,active,plausible,349,The tennis player thanked the chiropractor.
