WorkerId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,AssignmentStatus,AssignmentId,filler.left,filler.right,diff,Use
A13ASIJ31D76UN,0,108,3.4375,3.4375,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",1109,good,3HFWPF5AK9JLE9PQH86O650NYO9S3G,Rejected,3U8YCDAGXPGF6L99WJ41YRI1YCTQ0N,7,1,0,
A2EELTS09HUTSF,0.037037037,108,3.6875,5.3125,yes,USA,"When I was younger, I would go to school and","It's raining tomorrow, so",526,{},3I6NF2WGIGWL2J330R00WOF4O965GZ,Rejected,3KIBXJ1WD5UEYZ3XLZMFS62AX9HKOF,7,1,1.625,TRUE
A2EELTS09HUTSF,0.037037037,108,3.6875,5.3125,yes,USA,"When I was younger, I would go to school and eat my own lunch","It's raining tomorrow, so it will become wet.",2309,{},3X55NP42EOGO1H9YPR2UB0VCB42P3X,Approved,3ZWFC4W1UU76FQ3ZCGCM6OFA03OFRR,7,1,1.625,TRUE
AFC8SYXW9UZUC,0,54,3.9,5.6,yes,USA,"When I was younger, I would go to school and playground","It's raining tomorrow, so cannot come office",947,{},37PGLWGSJT62GTU1X249JPB20CTKIR,Rejected,3TK8OJTYM1LAZA9AZ3D1JFIHNCKPVN,7,1,1.7,TRUE
A13YTGRLTS80MU,0,54,4.9,4.8,yes,USA,"When I was younger, I would go to school and come back home by school bus.","It's raining tomorrow, so i might fail to go to work.",1611,Thank you.,34R3P23QHS1TFYDYGY5R7O4IN6NHWR,Rejected,33C7UALJVLY976UV68R1Q5GB9YG18T,7,1,-0.1,
A3RYI5HXC2MJLN,0,54,3,4.75,yes,USA,"When I was younger, I would go to school and learn to read and write while trying to make new friends.","It's raining tomorrow, so I will need to bring an umbrella with me too work tomorrow.",3461,{},3126F2F5F83RBFPVEBJQURZ92TSEPD,Rejected,35DR22AR5DKVWA9I1KHCUXC1YR0X3M,7,1,1.75,TRUE
A1WJ54G7U8B57Y,0,54,4.75,6.625,yes,USA,"When I was younger, I would go to school and learn new things with other pupils","It's raining tomorrow, so I have to carry my umbrella along",1750,Very good survey,3RWO3EJELH9SREVJ2NOBN7GFDKOP15,Approved,35LDD5557A4QYWIL8J7202D5292KM0,7,1,1.875,TRUE
A147VU5FL0JL70,0,54,6,6.25,yes,USA,"When I was younger, I would go to school and boy","It's raining tomorrow, so much",857,nice,3EPG8DX9LKQRFWW23AQNQXTWP0TP5N,Rejected,3C2NJ6JBKAH1ZYZVVEGYDLGBQZQN2H,7,1,0.25,
A351P2O6QGTCS,0,54,2.5,4.375,yes,USA,"When I was younger, I would go to school and do homework at lunch.","It's raining tomorrow, so I will just stay inside",809,{},3MD8CKRQZZNKY8R254Y6W2CG8JCJRV,Rejected,3WEV0KO0OMSLILPG0ZH18YHLAPNSD7,7,1,1.875,TRUE
A77K8W55MJEKX,0,54,4,5.875,,,"When I was younger, I would go to school and learn to write.","It's raining tomorrow, so carry an umbrella.",720,{},3OEWW2KGQJB4Y9ZU3GVRZ9CYSCVDO2,Approved,34J10VATJFYQDGQP09T74VIXK99QIN,7,1,1.875,
A2CM5OMFQ6OUIU,0.018518519,54,3.142857143,5.125,yes,USA,"When I was younger, I would go to school and learning the subject.","It's raining tomorrow, so i am so happy.",1366,good survey,33W1NHWFYHLNE29YRF6NKB1OF1LZT6,Approved,3EFVCAY5L39G2NAZWXX7U5CX3ID8J7,7,1,1.982142857,TRUE
A14QFRGIYIMNHN,0,54,6.75,6.75,yes,USA,"When I was younger, I would go to school and STUDY","It's raining tomorrow, sOI cannot go to school",922,good,33W1NHWFYHLNE29YRF6NKB1OF1LZT6,Rejected,35L9RVQFCOII9EMMB0VREKE7NE1UHY,7,1,0,
A6R88PQFFSNI9,0,54,3.75,5.75,yes,USA,"When I was younger, I would go to school and now slowly I am getting used to the idea that school reopening and that I will hopefully go back one day.","It's raining tomorrow, so, My clothes are wet from the rain.",2429,It is a Interesting Study.,3KI0JD2ZU1IYSUSGC76BIHGBL1Y76E,Approved,30LSNF239UV9LXO4YY368DKU40X2IH,7,1,2,TRUE
A14Y7FZ3ENKKQ6,0.018518519,54,4.4,4.2,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so holidaty",1708,good one,3BAWBGQGYLZJ7K7HDFEJU9WA2UP7V5,Rejected,34S9DKFK73PR0JS2OZNTMPHG5HKNY3,7,1,-0.2,
A15A618QS7DD79,0,108,6.75,6.9375,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant school",78,good,3O71U79SRBPM0VX0NQB3249TYFQMSQ,Rejected,3E1QT0TDFP9K7CQTEFC7I4XXQ0OI8Z,7,1,0.1875,
A15A618QS7DD79,0,108,6.75,6.9375,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so  I cant school",195,good,32XN26MTXZJ2T4V3ECR4SLOL3IHL00,Rejected,33CID57104T0WGSTN1EOJ3HERIQL3O,7,1,0.1875,
A15VCG7KA6V73R,0,54,5.875,6.25,yes,USA,"When I was younger, I wwould go to school and college","It's raining tomorrow, so happy",1080,thanks given this survey.,3MIVREZQVHYFXRIKAA9ISR2ORMAKQU,Rejected,3M81GAB8A0JGQ8CJUZ1QI8EKPGQQB9,7,1,0.375,
AKZQ6L29QQ0R3,0,54,3.125,5.125,yes,USA,"When I was younger, I would go to school and play with my friends and classmates.","It's raining tomorrow, so I'll just stay inside and binge watch Netflix.",386,{},3TY2U1TEB7A30K8PXZPXUBQPY2IJJ3,Rejected,3IGI0VL647KF65O0ICEVKYJER7LONT,7,1,2,TRUE
A16539W8GX3NLN,0.018518519,54,6,6.625,yes,USA,"When I was younger, I would go to school and I meet my freidns","It's raining tomorrow, so don't go to school",1480,{},3TKXBROM5TA759OJFH4XIABPLNTJIR,Rejected,3JPSL1DZ5SZQ41UZ8T9DJ3Z92NJANC,7,1,0.625,
A16TN5X2SAPVCA,0,54,5.5,5.875,yes,USA,"When I was younger, I would go to school and","It's raining tomorrow, so",934,very well,371Q3BEXDH9MZ2WJ2F1XA652DI7ZSH,Rejected,37QW5D2ZRGM91QTPJR6LM63KZYQS81,7,1,0.375,
AXQQBHFXMWR26,0,54,2.875,4.875,yes,USA,"When I was younger, I would go to school and learn some lessons.","It's raining tomorrow, so I felt very happy.",514,{},39WSF6KUV2L9QFDUZB6B5RUJSOWEOW,Approved,3U5JL4WY5K9GE6SM1YMV4247CRX4XF,7,1,2,TRUE
A1QW58B3BITNKY,0,54,4,6.25,no,USA,"When I was younger, I would go to school and have fun with my friends.","It's raining tomorrow, so I better put a coat on.",1880,This was fun!,3OID399FXG7ASWM14DC1CF3K0B4DFG,Approved,340UGXU9DY1NRFH6GPCVTL5GVTCUVO,7,1,2.25,
A179LPB3NPSEF8,0,108,3.4375,3.6875,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",590,good,3AJA9FLWSCYR072NWRDC3CJXSGCFIK,Rejected,3GA6AFUKOOOYAK93WGZQRBO7A1KH3G,7,1,0.25,
A179LPB3NPSEF8,0,108,3.4375,3.6875,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",736,good,3CVBMEMMXBGEPJCX8QXFF851UFEH7P,Rejected,3NKQQ8O39Y51XYHKP4C1NZZ9VM8UDP,7,1,0.25,
A1Z27X99F97JSR,0,54,2.625,4.875,yes,USA,"When I was younger, I would go to school and learning the subject","It's raining tomorrow, so i am so happy",2197,good,35O6H0UNLSGVTLT48XL3T17KG1N5J3,Approved,324G5B4FB385034U0KVVY016TP1075,7,1,2.25,TRUE
A20NLJPYP65LNU,0,54,2,4.25,,USA,"When I was younger, I would go to school and study very well","It's raining tomorrow, so I'll be home",641,good survey,3P7RGTLO6EDNABB3LECW2RNJN4OAKD,Approved,3WSELTNVR32OZEZJ5PVPS251R55ATD,7,7,2.25,
A4R66ZHYXG17N,0.037037037,54,3,5.375,yes,USA,"When I was younger, I would go to school and play the volleyball with my classmates.","It's raining tomorrow, so we are unable to go out.",3294,{},3SZYX62S5G029QS27OW6QB2BP6N57W,Approved,3NQL1CS15R848O1BQQ9KW6BTRKMVYS,7,1,2.375,TRUE
ACON9O9NMFOHE,0,54,2.875,5.25,yes,USA,"When I was younger, I would go to school and learn about my favorite subjects.","It's raining tomorrow, so hopefully the plants outside will grow.",2361,{},3LCXHSGDLT6OO75N6SNKPW4KPDZSE7,Approved,358010RM5ETF8JB1LUNIDS4KPBTXVJ,7,1,2.375,TRUE
A1K42W7BKJDVB,0,54,3.875,6.375,,USA,"When I was younger, I would go to school and learn to draw and paint.","It's raining tomorrow, so was it yesterday",2178,none,3Y40HMYLL1ID9KO8Q28CSM7FQGVUXY,Approved,3TEM0PF1Q5XLHC54RXYHYSB2FX5D06,7,1,2.5,
A31JM0OGO39IRZ,0,54,1,3.5,yes,USA,"When I was younger, I would go to school and learn to write the alphabet on the chalkboard.","It's raining tomorrow, so I will stay at home instead of driving to town.",377,{},3MNJFORX8B4FOJ78P7UIE3FSNU6F5A,Approved,3IAEQB9FMEKEP26PK4R25NK6G5JDWD,7,1,2.5,TRUE
A36A2JLZUOPNUM,0,54,2.5,5,yes,USA,"When I was younger, I would go to school and gain more knowledge everyday.","It's raining tomorrow, so i need to go there today.",1463,{},3R5LWXWHR08U42ND6XJVO76OH8GGXK,Approved,3DZQRBDBSLFN0TNJ7ABPVPV9JCYS39,7,6,2.5,
ATP2BJPDK4K2B,0,54,4,6.5,yes,USA,"When I was younger, I would go to school and go to my classes for the day.","It's raining tomorrow, so I brought an umbrella.",2297,"Not sure where to put the code.

Red Forest",3DGDV62G7O9ZGZDFLROPSQQK5Q2P2M,Rejected,3X66WABAJWIKAOESCAH86BC6V153G1,7,1,2.5,TRUE
AVEJOYXMU4K25,0,54,2.125,4.625,yes,USA,"When I was younger, I would go to school and have so much fun during recess.","It's raining tomorrow, so I will work on cutting some mosaic tiles.",547,{},3MIVREZQVHYFXRIKAA9ISR2ORMAKQU,Approved,3VD82FOHKQOWF1R9TM5H4NP2S37OCB,7,1,2.5,TRUE
AWKJJC3QFU9VW,0,54,3,5.5,yes,USA,"When I was younger, I would go to school and learn about penguins.","It's raining tomorrow, so don't forget your umbrella.",2767,{},3QI9WAYOGQBKBSC80A4MD8C78FBS6M,Approved,33FBRBDW6OZTU94TM5GL71Z2DYAC83,7,1,2.5,TRUE
A1LZWU72K42V92,0.037037037,54,2.5,5.125,yes,USA,"When I was younger, I would go to school and learn and eat lunch.","It's raining tomorrow, so I will stay home.",1053,{},3R868ACW4SCJ9XNS7F7GLSMZP8EGZH,Approved,3UOUJI6MTDEFV4M1G4DDH621B4KXUU,4,1,2.625,
A25KM5DM1Z09ZN,0,54,2.75,5.375,yes,USA,"When I was younger, I would go to school and have fun playing during recess with my friends.","It's raining tomorrow, so I'd better bring a raincoat and a umbrella.",3178,I truly love these types of studies and also thank you sincerely for your generosity. All the best!,30Y6N4AHYPW7VMRAV8CVT4H33ZFDRB,Approved,3PWWM24LHSYGWRCRPCRFVOQG17V82O,7,1,2.625,TRUE
A3C2X1L5PVNNLV,0,54,2.625,5.25,,USA,"When I was younger, I would go to school and learn about history","It's raining tomorrow, so don't expect me",2555,{},31KPKEKW4ADQGV9RNZ2AEISGRO3B03,Approved,39O5D9O87TS7TCYNAOLPGKRRX9D3CR,7,1,2.625,
A6HDSE80LQPR8,0,54,3.375,6,yes,USA,"When I was younger, I would go to school and try to get good grades.","It's raining tomorrow, so I have remember to take an umbrella with me when going out.",1080,none,38DCH97KHH2KM7C2SP96RC2BCXAJQU,Approved,3PQ8K71NHXKJKI0AZP48XXF93GKAAS,7,2,2.625,TRUE
A1AAMCV6OSQFC3,0,54,5.375,5.875,yes,USA,"When I was younger, I would go to school and learn how to socialize and take instructions from someone.","It's raining tomorrow, so we can't play tennis tomorrow.",1851,Good and Interesting,3X55NP42EOGO1H9YPR2UB0VCB42P3X,Rejected,3AMYWKA6YBM7ZKI8JVSEINXSWHWO6J,7,1,0.5,
A1AL6YXN76OLGW,0,54,6.7,6.1,yes,USA,"When I was younger, I would go to school and tuition.","It's raining tomorrow, so tomorrow plan is cancelled.",1153,really enjoyed and very useful survey,3VGET1QSZ0ZWM97M3PJFGBFO93R7WF,Rejected,36TFCYNS44AAQIGHG56EYRDBHWIXHT,7,1,-0.6,
A2MYLV7DGUL42B,0,54,2.375,5.125,yes,USA,"When I was younger, I would go to school and sit at my desk by the window.","It's raining tomorrow, so I will go to the park today.",433,{},3Y7LTZE0YTM2EFONRKWXP7NQYFSZUX,Approved,3S0TNUHWKTI3Z1A7M1BWR7HKYYKD82,7,1,2.75,TRUE
A2QX2B50DM45E2,0,54,2.375,5.125,yes,USA,"When I was younger, I would go to school and go to lunch and eat with friends.","It's raining tomorrow, so I will stay inside.",3431,{},3R16PJFTS3R88MVMCD25PO1JVUSK4C,Approved,3PQMUDRV7R6DWI26N1OYVTRBTWUII8,7,1,2.75,TRUE
A2VTUR86NML1F8,0,54,3.25,6,yes,USA,"When I was younger, I would go to school and learn the various subjects","It's raining tomorrow, so we will shop today itself",726,none,30Z7M1Q8UYK3FA92CPFTCMESS4UA8U,Approved,3IAS3U3I0FGZYPAYSOBPMQGH9AFB2J,7,1,2.75,TRUE
A1LB8HVSXK66U0,0,54,1.75,4.625,yes,USA,"When I was younger, I would go to school and learn all sorts of things.","It's raining tomorrow, so I'm going to stay inside.",1504,{},3TX9T2ZCB91F6JDSMKBY7V8NJV3ZWW,Approved,3U5NZHP4LR25H9EQUEWX4ER8FX9PHX,7,1,2.875,TRUE
A38VFGL477QDJC,0,54,3,5.875,,OTHER,"When I was younger, I would go to school and read my books in the library","It's raining tomorrow, so I need to get an umbrella",2152,{},36818Z1KV3DHED3W08KXL56HCI2A32,Approved,3RANCT1ZVFH8I1J0B8LVS9B9S1WUBI,NA,1,2.875,
A39K5MR4MCSC56,0,54,2.5,5.375,yes,USA,"When I was younger, I would go to school and do my homework before class started.","It's raining tomorrow, so I'm going to stay inside if I can.",1779,neat. thanks,3PR3LXCWSFZFPS05SRDLWQK1DVL9XM,Approved,3I3WADAZ9Q4BGGIUECI9QHJS0MQ5OP,7,1,2.875,TRUE
ALSMH6OVJJZ12,0,54,2.75,5.625,yes,USA,"When I was younger, I would go to school and take a quiz each morning.","It's raining tomorrow, so I'll skip running in the morning",347,{},3XWUWJ18TLQLSGUDLXXP8F8BWYEUU6,Approved,3W2LOLRXLBFHVCVDDR3JM17F8Z5KRY,7,1,2.875,TRUE
A1VIP6S8H2XXH7,0,54,2.125,5.125,yes,USA,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I need to remember a jacket.",1085,n/a thanks!,366FYU4PTGPQ0OSF1JEIYADA8JMEKC,Approved,3UN61F00HWPEDTAA64ZDKCOXB95R5F,7,2,3,TRUE
A2MM8RN9555ZNJ,0,54,2,5,yes,USA,"When I was younger, I would go to school and done home work","It's raining tomorrow, so take care of your health",2739,{},3PEG1BH7AERSTLGVRSCSX27P5M9KBI,Approved,3MB8LZR5BFT6SE00876N0PYG24CKLY,7,1,3,TRUE
A1CFPCFL70TG90,0,54,4.125,4.125,yes,USA,"When I was younger, I would go to school and enjoy the day with friends","It's raining tomorrow, so i won't go out and enjoy the rainy day",1587,{},3Y7LTZE0YTM2EFONRKWXP7NQYFSZUX,Rejected,39OWYR0EPKRFCRFLQB4GEK873QZYF8,7,1,0,
A3I2PT6W0FP7BR,0,54,1.875,4.875,,USA,"When I was younger, I would go to school and study very hard","It's raining tomorrow, so 
I won't go",493,{},3126F2F5F83RBFPVEBJQURZ92TSEPD,Approved,3NC5L260MOM3IDBJKOVICTA5PGZOFM,7,1,3,
A98S1WLZ7NJL0,0.018518519,54,2.625,5.625,yes,USA,"When I was younger, I would go to school and spend my leisure at library.","It's raining tomorrow, so I'm not gonna make any shopping.",2615,its pretty fun to take and enjoyed a lot!,3QD8LUVX4XYWO5YTP104KAFZRY1X5G,Approved,3S06PH7KSR4LO1QMNG2HCXUCKSA1D2,7,1,3,TRUE
AEBY6S5MX5O8R,0,54,2.25,5.25,yes,USA,"When I was younger, I would go to school and i would read and eat with my friends","It's raining tomorrow, so i will take my umbrella to work",1077,{},3N3WJQXELSQ9PEYHTZVIB9H00G12L1,Approved,3SUWZRL0MYDLNT5JPHPIDB3ESCU6EV,7,1,3,TRUE
AMV1E7FFPVAW4,0.018518519,54,1,4,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so we cannot go and play outside.",915,{},3XU9MCX6VOCKSCTUYJSEXLQZ68Q2RR,Approved,3DHE4R9OCWBVP6I98A33N17EPN52GP,7,1,3,TRUE
A1R8A8BK2VN7RH,0,54,1.25,4.5,yes,USA,"When I was younger, I would go to school and do all my homework","It's raining tomorrow, so I will bring an umbrella",401,{},3LG268AV386CNS5AR3NFZMZO3BGER5,Approved,3Q5C1WP23M1QKOBT8AKYEL6K78D51T,7,6,3.25,
A2JZQHB8N6LS7T,0,54,2.5,5.75,yes,USA,"When I was younger, I would go to school and learn math and reading.","It's raining tomorrow, so I will purchase an umbrella.",1188,{},3WJGKMRWVI93PK2RDBM049IH3YCDC5,Approved,354P56DE9K351CO69MEF867POHKS7K,7,1,3.25,TRUE
A3ROADR7T6811,0,54,2,5.25,yes,USA,"When I was younger, I would go to school and spend my day playing","It's raining tomorrow, so remember to wear the raincoat",1792,{},3UUSLRKAUL3XD37VMUEPONQ32NL7D6,Approved,3LRKMWOKB5HVGNDEY2RS88NK0D22ZH,7,1,3.25,TRUE
A1EZVLVKE9AZNM,0,54,5.625,5.375,yes,USA,"When I was younger, I would go to school and attend my class","It's raining tomorrow, so i would take leave",2831,It was good to complete this study,3RKHNXPHGWW7PKP1RJTN2SZDU7GKUZ,Rejected,39K0FND3AHFKMJ9ZWSUD6OA9XX9AMC,7,1,-0.25,
A4J4GGMKJ68L0,0,54,2.625,5.875,yes,USA,"When I was younger, I would go to school and come back home to relax.","It's raining tomorrow, so expect traffic to be rather slow.",3150,{},3AA88CN98P3O6T961KQC5D5QQVRKYX,Approved,39GAF6DQWR07IIQ8E12BIJ0JKWEV1P,7,1,3.25,TRUE
A3GLUDQZGEJL5G,0.444444444,54,3,6.333333333,yes,USA,"When I was younger, I would go to school and","It's raining tomorrow, so",2314,{},3DGDV62G7O9ZGZDFLROPSQQK5Q22PZ,Rejected,3WMOAN2SRBXAWPXXJO09FQDMNXJNVP,7,1,3.333333333,
A1K8VUKRL53OX,0,54,2.875,6.25,yes,USA,"When I was younger, I would go to school and carry some food with me.","It's raining tomorrow, so I will use my heavy jacket.",2726,none,3M0556243SKJE8DET7Q48KFEEF6FN0,Approved,3PW9OPU9PQKYLRS6QRI0GE38NYM12O,7,1,3.375,TRUE
A1XQOZV8LQDM22,0,54,2.375,5.75,yes,USA,"When I was younger, I would go to school and play with my friends","It's raining tomorrow, so I will be expecting your message very early.",2315,N/A,3MXX6RQ9EV59JDS2P57DL5NIP4YP4I,Approved,3BDCF01OGXU1CJPHCM7E9XDR0JPYLB,7,1,3.375,TRUE
A2CEGS0NVDBCPT,0,54,2.5,5.875,yes,USA,"When I was younger, I would go to school and play basketball on the playground with my friends.","It's raining tomorrow, so i will probably need to bring my umbrella to work.",1465,{},32ZCLEW0BZKZMVBNSCUHR7C171OJP3,Approved,3TAYZSBPLL8YFBR03AXKCFQHDYYS2Y,7,1,3.375,TRUE
A1H5M4C4YK2TTT,0.018518519,54,4,3.75,yes,USA,"When I was younger, I would go to school and to feel nervous and fear because teachers will scold and they give punishments also.","It's raining tomorrow, so i feel warm and enjoy the rainy day",1087,{},3IKDQS3DQE0KXVID5PNBV6YUV3KCI6,Rejected,3QRYMNZ7FYHVJXT8ET0UE8P1QF2NTE,7,1,-0.25,
A1H6DME332958N,0,108,4.5,4.3125,yes,USA,"When I was younger, I would go to school and play ground with my friends","It's raining tomorrow, so i am not go to the school",841,very nice survey,30Y6N4AHYPW7VMRAV8CVT4H33ZFDRB,Rejected,31HQ4X3T3SA4GXD8DGFPRBPQJYPSLN,7,1,-0.1875,
A1H6DME332958N,0,108,4.5,4.3125,yes,USA,"When I was younger, I would go to school and some music class","It's raining tomorrow, so not go to the school and music class",2495,very nice survey,35F6NGNVM8J4US3S8KE4TR8P5997TP,Rejected,3IFS6Q0HJIJ2QW52SDICZVXY2XUSIE,7,1,-0.1875,
A1HVSOJC13XEK1,0,54,3.875,4,yes,USA,"When I was younger, I would go to school and attend the class","It's raining tomorrow, so i don't go outside",673,i would like to work on this study,3MNJFORX8B4FOJ78P7UIE3FSNU6F5A,Rejected,3DEL4X4EL6LWCD66Q5A2KR8E7SVXYS,7,1,0.125,
A2V4DP31BEVABF,0,54,3.5,6.875,no,IND,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will take an umbrella.",920,Thanks.,3OID399FXG7ASWM14DC1CF3K0B4FDI,Approved,3L2IS5HSFAIAJA8XEYQ4J4B39QAUN7,7,1,3.375,
A1I5YNJ60UATA4,0,54,1.75,2.5,yes,USA,"When I was younger, I would go to school and reading the book.","It's raining tomorrow, so understanding.",2511,good,3U18MJKL1UMCBWT425030EUBH2ENCX,Rejected,3RXPCZQMQPBO0L0DP63PIIX9XHV1GB,7,1,0.75,
A3EG4C9T4F5DUR,0,54,2.5,5.875,yes,USA,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I am staying inside.",3390,{},3566S7OX5DJ3L8RJ61UUNLPUDQI71G,Approved,3X66WABAJWIKAOESCAH86BC6V17G3G,7,1,3.375,TRUE
A1IC1DQ0QQBOOZ,0,108,5.833333333,6,yes,USA,"When I was younger, I would go to school and study","It's raining tomorrow, so school leave",3059,good,3ZXV7Q5FJBO0N4GN4HHQS9L2FBSFCI,Rejected,3I02618YA06AMVKAUD3WNTGY95BPUY,7,1,0.166666667,
