WorkerId,HITId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,AssignmentStatus,AssignmentId,filler.left,filler.right,diff,profcheck,good_data
A18SXC3JEN1O0U,3UY4PIS8QRLSOTJ6M8BJJIBKE7D1NG,0,108,1.1875,6.875,yes,USA,"When I was younger, I would go to school and listen to my lessons.","It's raining tomorrow, so I'll stay at home.",512,{},Approved,3DIP6YHAPCS8R7O7IWMGXPZ5Z0OE8G,7,1,5.6875,yes,yes
A18SXC3JEN1O0U,3XEDXEGFX3OR9YDLTCF3DLB6EICK0W,0,108,1.1875,6.875,yes,USA,"When I was younger, I would go to school and learn with my classmates.","It's raining tomorrow, so let's do it today.",597,{},Approved,3CPLWGV3MOZCZIKUGNVDN8OPW50N99,7,1,5.6875,yes,yes
A18XFOKU5G1OL1,3AQN9REUTFGGSN3W934P10A07OJYDS,0,54,3.125,5.25,yes,USA,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so dad is off early.",2577,{},Approved,3NPI0JQDAO5VMI5LU8DMIXUWRKBTP5,6,1,2.125,NA,no
A198MSVO1VTAT5,3P458N04Q1H4P8F67IY6M3CN8R12XI,0,54,1,6.8,yes,USA,"When I was younger, I would go to school and study for my tests so that I would get an A.","It's raining tomorrow, so we won't be going on the field trip.",3190,{},Approved,36V4Q8R5ZK0C9ZGGLORZWOPE280QMR,7,1,5.8,yes,yes
A19HMCT6V15WRU,3NI0WFPPI9GKAJSWR8L2326OEPI608,0,54,4,5,yes,USA,"When I was younger, I would go to school and study with friends","It's raining tomorrow, so i wont go to office",269,{},Approved,3NKQQ8O39Y51XYHKP4C1NZZ9WFFDU2,7,1,1,yes,yes
A19LJABXVNJTOB,31ODACBENUFDLAVSFJIKJDTY9ICQSB,0,54,4.6,4.9,yes,USA,"When I was younger, I would go to school and learning","It's raining tomorrow, so don't went outing",862,nice,Approved,3GDTJDAPVUB63VGKZUAZAX4E82F8MZ,7,4,0.3,NA,no
A1AYQ8E01NSY5Z,3OYHVNTV5TYCCF54VXHE3M7ODNHOKK,0,54,4.75,6.25,yes,USA,"When I was younger, I would go to school and also visit my close friends.","It's raining tomorrow, so I decided to do my laundry today.",2322,This is an interesting study.,Approved,3HPZF4IVNMT89FVBZ9EF6EN473EYCL,7,1,1.5,yes,yes
A1BOOZ7XOIIKJE,388FBO7JZRTPEZU9YXISX5MULSLNYZ,0,54,5.7,5.9,yes,USA,"When I was younger, I would go to school and study with friends","It's raining tomorrow, so i wont go outside",520,{},Approved,3S0TNUHWKTI3Z1A7M1BWR7HKZOND8M,7,1,0.2,NA,no
A1C5T9VNTCXU44,3KLL7H3EGD1G09DTQO0VLML4HZAVHP,0,108,1.166666667,6.944444444,yes,UK,"When I was younger, I would go to school and pay close attention to the teachers","It's raining tomorrow, so I need to remember an umbrella",3264,{},Approved,33FBRBDW6OZTU94TM5GL71Z2EOB8CH,7,1,5.777777778,NA,no
A1C5T9VNTCXU44,3087LXLJ6MGGTCL7S1O6X8J16MVF0P,0,108,1.166666667,6.944444444,yes,UK,"When I was younger, I would go to school and study really hard.","It's raining tomorrow, so it'll be wet.",2149,{},Approved,3I0BTBYZAXLOFN0VNTLVBDL3XLB0Y1,7,1,5.777777778,yes,no
A1CEO8RFPXMO5W,3WGCNLZJKF8J2HSTXEXGNDZQ03B1DY,0,54,4.625,6.125,yes,USA,"When I was younger, I would go to school and work","It's raining tomorrow, so will be hard",456,nothing,Approved,39GHHAVOMFRFJMNXKU7UDTWS2MOJ4Z,7,1,1.5,no,no
A1CMWA0L8FTSXA,3M47JKRKCX12S8XZMCYHWHC6XNU68V,0,54,1.625,6.375,yes,USA,"When I was younger, I would go to school and eat snacks with the other students.","It's raining tomorrow, so I'm going to bring an umbrella.",2993,thank you,Approved,3OHYZ19UGC58MMUB989QYSZETQWAOM,7,1,4.75,yes,yes
A1E77HZO63E334,3QQUBC64ZEE0EU4ZT1WQERFLJMRNXT,0,54,1,7,yes,USA,"When I was younger, I would go to school and learn math and history.","It's raining tomorrow, so I will not go outside.",474,{},Approved,3S06PH7KSR4LO1QMNG2HCXUCLIH1DQ,7,1,6,yes,yes
A1EDMN0J522ATZ,3JMNNNO3B14P08AGXD2KKKYGZPV2WP,0,54,2.4,6.7,yes,USA,"When I was younger, I would go to school and smoke in the bathroom.","It's raining tomorrow, so I will study.",568,Nice.,Approved,3J2UYBXQQLCMW3QPHAQ3SM1AZ4Q602,7,1,4.3,yes,yes
A1ESLDCYJIENVI,3XH7ZM9YX2UVSWETJS7T78YDDGPR92,0,54,3,5.875,yes,USA,"When I was younger, I would go to school and do my schoolwork.","It's raining tomorrow, so I'll stay inside.",3180,{},Approved,3FTOP5WARFOYKY5W1TKS1Q6FLA8J0J,4,1,2.875,NA,no
A1EUBMQ86K32XE,3ZURAPD288NG016POKS6BD2BCGR1F9,0,54,2.625,4.5,yes,USA,"When I was younger, I would go to school and learn something new.","It's raining tomorrow, so I'll take my umbrella.",860,fun,Approved,3JPSL1DZ5SZQ41UZ8T9DJ3Z93GRAN7,7,1,1.875,yes,yes
A1F2APQMJSQVFK,39O0SQZVJN7REDQ04V99TC77IQ1R7Q,0,54,2.5,5.375,yes,USA,"When I was younger, I would go to school and meet up with my friends","It's raining tomorrow, so i am not sure i will be coming",1599,{},Approved,3FFJ6VRIL1O2PNLQJBZSPPRF8VL0IQ,7,1,2.875,yes,yes
A1FBI9CPTNYMMR,35U0MRQMUJ7QSQZGU1VL5VI5TLOVOD,0,54,1.4,6.4,yes,USA,"When I was younger, I would go to school and listen to my teachers.","It's raining tomorrow, so I will just stay inside.",909,{},Approved,3LKC68YZ3A35TZXEAD5IGHW5L9ZOWB,7,1,5,yes,yes
A1FKRZKU1H9YFC,32CXT5U14G3NUJN0IUWKCNQM09C8UZ,0,162,1.166666667,6.291666667,yes,USA,"When I was younger, I would go to school and read many books.","It's raining tomorrow, so I will stay inside.",234,{},Approved,3ZOTGHDK5IBCMIG5Q8VHJSTKFW1OSU,7,1,5.125,yes,yes
A1FKRZKU1H9YFC,335HHSX8CD5U6SD7Z301F0FXGQHHDI,0,162,1.166666667,6.291666667,yes,USA,"When I was younger, I would go to school and always be the first one done on work.","It's raining tomorrow, so I will likely stay home and work.",862,N/A,Approved,3G0WWMR1UVKIRH1GXP6Z93EE654NQV,7,1,5.125,yes,yes
A1FKRZKU1H9YFC,3RKHNXPHGWW7PKP1RJTN2SZDU7GKUZ,0,162,1.166666667,6.291666667,yes,USA,"When I was younger, I would go to school and learn many new things.","It's raining tomorrow, so I will likely stay home.",425,{},Approved,3A0EX8ZRN8OPZA35L9IKVUHMOS6YBP,7,1,5.125,yes,yes
A1FR4S8V4MNRVM,33TGB4G0LPHY979JQXI2NQLD84DXT4,0,54,3.875,6.375,yes,USA,"When I was younger, I would go to school and to make a new friend.","It's raining tomorrow, so expect to school leave",3336,GOOD,Approved,3LKC68YZ3A35TZXEAD5IGHW5L9XOW9,7,1,2.5,no,no
A1FULFCTOFA4L8,38O9DZ0A62NR6TVA6VPGMQZ3BN262S,0,54,1.5,6,,,"When I was younger, I would go to school and spend time in library.","It's raining tomorrow, so come with umbrella without fail.",2298,{},Approved,3GU1KF0O4I1VQWB4UMM1I3OALDBBPX,7,1,4.5,NA,no
A1FXJNN3XFZJ5S,341H3G5YF0EMYTC7TDID00ZJJTF0ZT,0.009259259,108,6.0625,6.133333333,yes,USA,"When I was younger, I would go to school and home","It's raining tomorrow, so today ?",830,good,Approved,3NPFYT4IZC4WQML6WZOWDR1A3PCGX7,7,1,0.070833333,NA,no
A1FXJNN3XFZJ5S,3I4E7AFQ2KZXEN4U9T31WHDYX6YTJC,0.009259259,108,6.0625,6.133333333,yes,USA,"When I was younger, I would go to school and home","It's raining tomorrow, so today ?",354,good,Approved,3WYP994K17RJTYMAPI1CKEVUBH36Y1,7,1,0.070833333,NA,no
A1G38F99VKAPRI,3HEM8MA6H9CG8IF0N2EQO8ONMY5QPV,0,54,4.4,5.5,yes,USA,"When I was younger, I would go to school and acquire more knowledge and also I have earned many friends.","It's raining tomorrow, so please don't go out and be prepared for everything.",1317,It was a meaningful one.,Approved,3WR9XG3T63BMZRMVJLIXA3RJBRQ47F,7,6,1.1,NA,no
A1GA3IAD4UFXG9,35YHTYFL1G3WMDMNVYCVI19R1KXVFR,0,54,5.7,5.4,yes,USA,"When I was younger, I would go to school and studying very well. Enjoying with my friends.","It's raining tomorrow, so be carefully to go outside.",627,{},Approved,3HVVDCPGTESPVWXMLV95VON8VPDYT3,7,1,-0.3,NA,no
A1GK1QN27VJGCW,3XEDXEGFX3OR9YDLTCF3DLB6FK20K7,0,54,4.375,4.875,yes,USA,"When I was younger, I would go to school and home, playing ground and Family.","It's raining tomorrow, so Going Tour for family and friends.",1883,This survey was very satisfied.,Approved,33C7UALJVLY976UV68R1Q5GBARK81R,7,1,0.5,NA,no
A1GTYHV8OYQQLV,363A7XIFV4M1QM5FKIQ340Y044KVAE,0,54,1,6.75,yes,USA,"When I was younger, I would go to school and see all my friends.","It's raining tomorrow, so we are likely to get wet when we go outside.",1304,{},Approved,37UQDCYH6XVLT45A3HJKJTRWOBMV7H,7,1,5.75,yes,yes
A1IFIK8J49WBER,371DNNCG4428U68BIP6A7R4KHV4T8S,0,54,1,6.6,yes,USA,"When I was younger, I would go to school and work hard in class.","It's raining tomorrow, so we have to cancel our picnic.",2172,{},Approved,33CUSNVVNNCRI6EG5T0G5F3JOXQ88B,7,1,5.6,yes,yes
A1IS0218RVG60K,3YO4AH2FPDKDK1BG6HZ097NFEQU0QZ,0,54,1.2,6.5,yes,USA,"When I was younger, I would go to school and talk with my friends.","It's raining tomorrow, so make sure to bring an umbrella.",2410,{},Approved,3JV9LGBJWTE9WD7EV810UEAHRL7OGA,7,1,5.3,yes,yes
A1K8VUKRL53OX,3TZ0XG8CBUKPARZXKJ1TGR38NO2989,0.009259259,108,3.133333333,5.5,yes,USA,"When I was younger, I would go to school and play football","It's raining tomorrow, so I will not go to the mall",2784,none,Approved,308Q0PEVB8DKLH93J7ILI0S8BZD9I9,7,1,2.366666667,yes,yes
A1K8VUKRL53OX,3M0556243SKJE8DET7Q48KFEEF6FN0,0.009259259,108,3.133333333,5.5,yes,USA,"When I was younger, I would go to school and carry some food with me.","It's raining tomorrow, so I will use my heavy jacket.",2726,none,Approved,3PW9OPU9PQKYLRS6QRI0GE38NYM12O,7,1,2.366666667,yes,yes
A1KGCOR8OXYR72,386659BNTLHP3XRZL29L86F76E2105,0,54,2.25,6.625,yes,USA,"When I was younger, I would go to school and hang out with my friends.","It's raining tomorrow, so I cancelled my plans to go hiking.",2229,{},Approved,39OWYR0EPKRFCRFLQB4GEK874G7YFX,7,1,4.375,yes,yes
A1KLAGM9CCOFBN,38VTL6WC4ADLOAO3UXM63OM8U7M5YS,0,54,1.625,5.375,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so no after school work.",2435,{},Approved,3BF51CHDTVA2TSA6DTH7PDQ08I4H0C,7,1,3.75,yes,yes
A1KOBLL83SICGQ,3TLFH2L6Y9OX8R6M28X9X0RHVVD2TZ,0,54,3.4,6.6,,,"When I was younger, I would go to school and also go to church to warship God","It's raining tomorrow, so I will need to prepare myself against it",2549,Very educating and knowledgeable project.,Approved,33L7PJKHCGYAGQ648RBBWBZ62AB8T0,7,1,3.2,NA,no
A1LW7S3NBOSJPA,3HY86PZXPYIOUN6TT980TVHB0FC1ER,0.018518519,54,6.25,6.375,yes,USA,"When I was younger, I would go to school and kids","It's raining tomorrow, so leave",306,thanks,Approved,3CPLWGV3MOZCZIKUGNVDN8OPXY79NP,7,1,0.125,NA,no
A1M24593XO5Z3C,389A2A304OI9Q01X1ZY5P2YYABT0CU,0.009259259,108,1.5,5.625,yes,USA,"When I was younger, I would go to school and learn about history.","It's raining tomorrow, so I will spend the day inside.",3439,{},Approved,339ANSOTR5242DSUN49A896OMTPIKC,7,1,4.125,yes,yes
A1M24593XO5Z3C,324N5FAHSXB72ZE1W93SYE1W8EPKVO,0.009259259,108,1.5,5.625,yes,USA,"When I was younger, I would go to school and go to softball practice right after.","It's raining tomorrow, so we should have a lazy day and watch movies.",3128,Thanks for letting me participate.,Approved,3Z3ZLGNNSIUBND86F6MK0PG81RI3Q6,7,1,4.125,yes,yes
A1MMLN9XGYXF7M,3KTZHH2ONIF4HBIR9S5YLD9SNN98M7,0.055555556,54,2.375,6.285714286,yes,USA,"When I was younger, I would go to school and i play happily","It's raining tomorrow, so i won't go anywhere",1104,{},Approved,3KB8R4ZV1E7PDJI5R3WEOUAIKMOBGT,7,1,3.910714286,yes,yes
A1MWYO3RFZW051,3I6NF2WGIGWL2J330R00WOF4PBW5GU,0,54,1.6,5,yes,USA,"When I was younger, I would go to school and face my studies","It's raining tomorrow, so the weather will be so cold",1528,none,Approved,38SKSKU7R1XFMJAC84LBN9J3BTUILF,7,1,3.4,yes,yes
A1NLW5ZS2WQR35,3XU9MCX6VOCKSCTUYJSEXLQZ7AG2RM,0,54,1.75,7,yes,USA,"When I was younger, I would go to school and play with my friends at recess.","It's raining tomorrow, so I won't be doing any yard work.",610,{},Approved,3TUI152ZZBNFDAURS281CW1B4X7Q1L,7,1,5.25,yes,yes
A1NRWXWPCAXDYP,3CO05SML7V5DW2QGJWO0EXXKACW0R0,0,54,1.7,6.7,yes,USA,"When I was younger, I would go to school and try my best to learn.","It's raining tomorrow, so I will plan to bring an umbrella.",1230,{},Approved,3X08E93BHVIHAEC4JZ6K1NB1C7C663,7,1,5,yes,yes
A1OM5NWYYYJKQW,3VGET1QSZ0ZWM97M3PJFGBFOA5GW7Y,0,54,2.625,7,yes,USA,"When I was younger, I would go to school and lose my lunch bag.","It's raining tomorrow, so I will take the fireplace ashes out",2212,I appreciate the dark font/ text,Approved,324G5B4FB385034U0KVVY016UF8700,7,1,4.375,yes,yes
A1OW27AZS122X2,3538U0YQ1FUCA4K4BO6PZ6H8A053F3,0,108,1.777777778,4.944444444,yes,USA,"When I was younger, I would go to school and learned how to play guitar.","It's raining tomorrow, so I will stay home.",1420,None,Approved,3F6KKYWMNB1O28XBS30F947FOJODNC,7,1,3.166666667,yes,yes
A1OW27AZS122X2,3X4Q1O9UBHMOH0YKC3S5ZH2261S7O3,0,108,1.777777778,4.944444444,yes,USA,"When I was younger, I would go to school and improved my math skills.","It's raining tomorrow, so I will stay at home.",1662,None,Approved,3K3R2QNK8B3PU843DO7Z13GJ41TU98,7,1,3.166666667,yes,yes
A1P0XSCJ9XAV74,302U8RURJZ18A5Z4TMV8Q6I03BJVNY,0,54,1.1,6.8,yes,USA,"When I was younger, I would go to school and play on the slide.","It's raining tomorrow, so I can't go swimming.",1916,{},Approved,3S3AMIZX3U55B40K3DR1TTD3PF8DCS,7,1,5.7,yes,yes
A1PF01FF85HUY4,3E24UO25QZQ5D0KFTTNDT326CSXO6F,0,54,1.625,7,yes,USA,"When I was younger, I would go to school and study all day long.","It's raining tomorrow, so I better pack an umbrella.",669,{},Approved,3KAKFY4PGU2Y6FKN2YHBRNPMB75I33,5,5,5.375,NA,no
A1PJLZSOUQ4MIL,3P7QK0GJ3TLTU3FL80MRJOSYGRZ2ZF,0,54,2.7,7,yes,USA,"When I was younger, I would go to school and count the hours until school was over.","It's raining tomorrow, so I hope I can find my umbrella.",2788,{},Approved,3J2UYBXQQLCMW3QPHAQ3SM1AZ4O600,4,1,4.3,NA,no
A1PMZUBGXFANCI,3E9VAUV7BWEIUG0KPTDNBZ2UMLMYAQ,0,54,1.75,6.25,yes,USA,"When I was younger, I would go to school and spend my time learning.","It's raining tomorrow, so I will not go outside.",584,{},Approved,3XC1O3LBOSM5VXQN2GKF1GLCMAALTZ,7,1,4.5,yes,yes
A1PR74OHURJNTO,3E9ZFLPWOYS80TT8WLJY9JJ4XNXXIN,0.009259259,108,1.125,5.8125,yes,USA,"When I was younger, I would go to school and read many books about history.","It's raining tomorrow, so I am going to stay at home.",2782,{},Approved,3X66WABAJWIKAOESCAH86BC6WUBG37,7,1,4.6875,yes,yes
A1PR74OHURJNTO,3EN4YVUOUCS4V4DEE34YLKY490XJXR,0.009259259,108,1.125,5.8125,yes,USA,"When I was younger, I would go to school and learn about the world.","It's raining tomorrow, so I am staying at home.",395,{},Approved,33NF62TLXJ20XOC05MUAKALOYF7KJW,7,1,4.6875,yes,yes
A1PTH9KTRO06EG,3IVEC1GSLPZW53SL7AJRQBU35N7J1T,0,108,1.3125,6.6875,yes,USA,"When I was younger, I would go to school and spend time with friends.","It's raining tomorrow, so better bring my jacket.",315,{},Approved,3YDTZAI2WXG8O57TU51O9T0685O41G,7,1,5.375,yes,yes
A1PTH9KTRO06EG,3ULIZ0H1VA5OY4D0I8FXP1BYMKN51Z,0,108,1.3125,6.6875,yes,USA,"When I was younger, I would go to school and play football for the school.","It's raining tomorrow, so i think practice may be canceled.",637,{},Approved,3A0EX8ZRN8OPZA35L9IKVUHMOP7YBK,7,1,5.375,yes,yes
