WorkerId,na.pct,n,implausible,plausible,Diff,<NA>,Answer.English,Answer.country,Answer.profcheck1,Answer.profcheck2,WorkTimeInSeconds,Answer.answer,filler.left,filler.right
A3DCMLNFISSIAW,0,54,6.277777778,6,-0.277777778,6,yes,USA,Yes,Yes,234,GOOD AND INTERESTING,7,1
A2QD7QFGCUNF5N,0,54,4.555555556,4.294117647,-0.261437908,4,yes,USA,Yes,Yes,1073,{},7,1
A13ASIJ31D76UN,0,108,3.53125,3.305555556,-0.225694444,4.25,yes,USA,Yes,Yes,1109,good,7,1
A13ASIJ31D76UN,0,108,3.53125,3.305555556,-0.225694444,4.25,yes,USA,Yes,Yes,167,good,7,1
A2S7M4RSX6ZF5Z,0,54,4.166666667,3.941176471,-0.225490196,4,yes,USA,Yes,Yes,966,Its best experience in this survey.,7,1
AL3K9E6X0U9MN,0.018518519,54,5.875,5.657142857,-0.217857143,4,yes,USA,Yes,Yes,1580,{},7,1
A1PM5PFLOT46GN,0,54,5.555555556,5.352941176,-0.202614379,4,yes,USA,Yes,Yes,2510,Nice experiment,7,1
A2D62KZUMKIA8K,0.018518519,54,5.444444444,5.242424242,-0.202020202,4,yes,USA,Yes,Yes,342,GOOD,7,1
A3JV54EH1LEK4H,0,54,6.888888889,6.705882353,-0.183006536,4.5,yes,USA,Yes,Yes,451,good,7,1
A3GOR38ZREUSKR,0.018518519,54,5.375,5.2,-0.175,4,yes,USA,Yes,Yes,2227,GOOD,7,1
A67Z8IR5X029C,0.018518519,54,6.1875,6.028571429,-0.158928571,6,yes,USA,Yes,Yes,974,very good survey,7,3
A1ZJLRH64XQTUV,0.037037037,54,4.5625,4.411764706,-0.150735294,4,yes,USA,Yes,Yes,1116,THE SURVEY IS VERY GOOD,7,1
A59E3FJSGRUKE,0,54,5.444444444,5.294117647,-0.150326797,4,yes,USA,Yes,Yes,1227,{},7,1
A2OD2CFXV8WT53,0,54,5.5,5.361111111,-0.138888889,4,yes,USA,Yes,Yes,229,{},7,1
ARWN6TT8EWCFJ,0.037037037,54,4.555555556,4.4375,-0.118055556,4,yes,USA,Yes,Yes,1243,{},7,1
A2R1O5M28TA0K4,0,54,4.222222222,4.117647059,-0.104575163,4,yes,USA,Yes,Yes,1515,GOOD,7,1
A1EZVLVKE9AZNM,0,54,5.25,5.166666667,-0.083333333,4,yes,USA,Yes,Yes,2831,It was good to complete this study,7,1
A22W4Y4UI182L2,0,54,4.666666667,4.588235294,-0.078431373,4,yes,USA,Yes,Yes,2350,{},7,1
A2DNAK7ZHXUL77,0,54,4.666666667,4.588235294,-0.078431373,4,yes,USA,Yes,Yes,1849,no negative things,7,1
A16539W8GX3NLN,0.018518519,54,6.133333333,6.055555556,-0.077777778,4,yes,USA,Yes,Yes,1480,{},7,1
A14QFRGIYIMNHN,0,54,6.875,6.805555556,-0.069444444,4,yes,USA,Yes,Yes,922,good,7,1
A2Q0JW4UWC2SKT,0.037037037,54,3.625,3.558823529,-0.066176471,4,,,Yes,Yes,2160,{},7,1
A16TN5X2SAPVCA,0,54,5.5625,5.5,-0.0625,4,yes,USA,Yes,Yes,934,very well,7,1
A2OVET58SDVSB2,0,54,6.0625,6,-0.0625,4,yes,USA,Yes,Yes,1630,{},7,1
AOU4SVB679704,0.018518519,54,7,6.942857143,-0.057142857,4,yes,USA,Yes,Yes,2546,good,7,1
A39WTL5BQTEI3X,0,54,7,6.944444444,-0.055555556,4,yes,USA,Yes,Yes,1133,GOOD,7,1
ASGL06ZNUZCRT,0.037037037,54,4.352941176,4.303030303,-0.049910873,4,yes,USA,Yes,Yes,802,well,7,1
A15A618QS7DD79,0,108,6.823529412,6.8,-0.023529412,4.25,yes,USA,Yes,Yes,195,good,7,1
A15A618QS7DD79,0,108,6.823529412,6.8,-0.023529412,4.25,yes,USA,Yes,Yes,78,good,7,1
A35LWWZHYTBJES,0,108,7,6.986111111,-0.013888889,4,yes,USA,Yes,Yes,558,good,7,1
A35LWWZHYTBJES,0,108,7,6.986111111,-0.013888889,4,yes,USA,Yes,Yes,1041,good,7,2
A1N7BQTP2HR0QN,0,54,4,4,0,4,yes,USA,Yes,Yes,574,good survey,7,1
A3M9ZOPLZIQ2A,0.018518519,54,5.117647059,5.117647059,0,4,yes,USA,Yes,Yes,2031,good,7,1
ACBPSLPGDTGEZ,0.037037037,54,6.375,6.382352941,0.007352941,4,,,Yes,Yes,548,good,7,1
AQY8URN1JQDC2,0.018518519,54,4.875,4.885714286,0.010714286,4,yes,USA,Yes,Yes,1084,good survey,7,1
A2CD4H68NVVC5A,0,54,6.125,6.138888889,0.013888889,4,yes,USA,Yes,Yes,262,well study,7,1
A2717S28QHY09K,0.018518519,162,3.074074074,3.101010101,0.026936027,4,yes,USA,Yes,Yes,648,good,7,2
A2717S28QHY09K,0.018518519,162,3.074074074,3.101010101,0.026936027,4,yes,USA,Yes,Yes,369,good,7,1
A2717S28QHY09K,0.018518519,162,3.074074074,3.101010101,0.026936027,4,yes,USA,Yes,Yes,293,good,7,1
ANTAJF0CKF25T,0,54,5,5.027777778,0.027777778,4,yes,USA,Yes,Yes,653,good survey,7,1
A2N39KH7N8TB3Z,0,54,6.75,6.777777778,0.027777778,7,yes,USA,Yes,Yes,640,good,7,1
A252T7WQTVJNR3,0,54,5.3125,5.361111111,0.048611111,5.5,yes,USA,Yes,Yes,380,GOOD,7,1
A2K3HEVVEWLUS4,0,54,5.5625,5.611111111,0.048611111,4,yes,USA,Yes,Yes,523,nice,7,1
A2TRFQJKZU9NB3,0,54,6.3125,6.361111111,0.048611111,4,yes,USA,Yes,Yes,3254,good,7,1
ALQDW7ERK5R4C,0.018518519,54,4.375,4.428571429,0.053571429,5,yes,USA,Yes,Yes,304,great,7,1
A147VU5FL0JL70,0,54,5.944444444,6,0.055555556,4,yes,USA,Yes,Yes,857,nice,7,1
A3OT9EHUD1UORR,0,54,6.944444444,7,0.055555556,4,yes,USA,Yes,Yes,1276,good,7,1
A2O4XAP7RMWJJ4,0,54,5.1875,5.25,0.0625,4,yes,USA,Yes,Yes,978,This is nice task.,7,1
A3O5X3P3N0KU7I,0,54,5.6875,5.75,0.0625,4,yes,USA,Yes,Yes,447,red forest,7,1
A3KK1BNF5H0N1Z,0.018518519,54,4.388888889,4.454545455,0.065656566,4,yes,USA,Yes,Yes,909,{},7,1
A3IDWLRXWYXBWN,0.055555556,54,6.8125,6.909090909,0.096590909,4.5,yes,USA,Yes,Yes,531,good,7,1
A15VCG7KA6V73R,0,54,6,6.111111111,0.111111111,4,yes,USA,Yes,Yes,1080,thanks given this survey.,4,1
A2ZLIHPKKU69QZ,0,54,5,5.117647059,0.117647059,4,yes,USA,Yes,Yes,3333,no comments,7,2
A28LMUIZO84GAX,0,54,5.9375,6.055555556,0.118055556,4,yes,USA,Yes,Yes,1166,NICE,7,1
AUCHGHY1IKZZK,0,54,5.4375,5.555555556,0.118055556,4,yes,USA,Yes,Yes,239,{},7,1
AAH6HJWRC4JD2,0,54,5.722222222,5.852941176,0.130718954,4,yes,USA,Yes,Yes,2529,good,7,1
A3HZFB2JLF3JMY,0.018518519,54,4.0625,4.2,0.1375,4,yes,USA,Yes,Yes,1402,n/a thanks!,7,1
A1IC1DQ0QQBOOZ,0,108,6.029411765,6.171428571,0.142016807,5.25,yes,USA,Yes,Yes,3059,good,7,NA
A1IC1DQ0QQBOOZ,0,108,6.029411765,6.171428571,0.142016807,5.25,yes,USA,Yes,Yes,3115,good,7,2
A6XAX4NBQK8W2,0.018518519,54,6.388888889,6.545454545,0.156565657,4,yes,USA,Yes,Yes,1537,{},7,1
A35DEXUQBSKQWF,0,54,3.5625,3.722222222,0.159722222,4,yes,USA,Yes,Yes,1716,great survey.,7,1
A1LSI693NIAOY9,0,54,3.8125,3.972222222,0.159722222,3.5,yes,USA,Yes,Yes,1702,it was simply good,7,1
A5MWDPP9SOROE,0.018518519,54,4.4375,4.6,0.1625,4,yes,USA,Yes,Yes,1015,{},7,1
A47HX1N4QM1XQ,0,54,4.5625,4.75,0.1875,4,yes,USA,Yes,Yes,3323,It was good to finished.,7,1
A13YTGRLTS80MU,0,54,4.722222222,4.911764706,0.189542484,4,yes,USA,Yes,Yes,1611,Thank you.,7,1
A2ZHBK2MDL2L51,0,54,3.5,3.694444444,0.194444444,4.5,yes,USA,Yes,Yes,275,no comments,7,1
A2M17UGPFZWXQW,0,54,4.75,4.944444444,0.194444444,4,yes,USA,Yes,Yes,1454,Red Forest,7,1
A179LPB3NPSEF8,0,108,3.352941176,3.557142857,0.204201681,4,yes,USA,Yes,Yes,590,good,7,1
A179LPB3NPSEF8,0,108,3.352941176,3.557142857,0.204201681,4,yes,USA,Yes,Yes,736,good,7,1
A2SXSU80ZWHAZO,0,54,5.5,5.735294118,0.235294118,4,yes,USA,Yes,Yes,1540,Nice and useful survey.Thanks for the opportunity.,7,1
A2EELTS09HUTSF,0.074074074,54,5.266666667,5.515151515,0.248484848,4,yes,USA,Yes,Yes,526,{},7,1
A1VKGII4PKKS3T,0,54,4.888888889,5.147058824,0.258169935,4.5,yes,USA,Yes,Yes,781,Good,7,6
A1HVSOJC13XEK1,0,54,4,4.294117647,0.294117647,4,yes,USA,Yes,Yes,673,i would like to work on this study,7,NA
A3E6CBPKULWOIH,0,54,5.5,5.805555556,0.305555556,4,yes,USA,Yes,Yes,3005,excellent,7,1
A1TZ9YVT2ILX01,0.018518519,54,4.5,4.818181818,0.318181818,3.5,yes,USA,Yes,Yes,426,NONE,7,1
A2PT18UI9FY7PC,0,54,3.875,4.194444444,0.319444444,4,yes,USA,Yes,Yes,2065,its good,7,1
AH7VF786B5UG4,0.037037037,54,5.466666667,5.8,0.333333333,2.5,yes,USA,Yes,Yes,653,great analysis,7,1
A33BYDSAFW6PK,0,54,4.1875,4.527777778,0.340277778,4,yes,USA,Yes,Yes,541,WELL,7,1
A3N6AAKMOMH1Q0,0,54,5.611111111,5.970588235,0.359477124,4.5,yes,USA,Yes,Yes,2331,Good survey,7,1
A2SAZ2K1V1WJ0V,0,54,5.666666667,6.029411765,0.362745098,4,yes,USA,Yes,Yes,3098,na,7,1
A25G5GC7IS14ZE,0.055555556,54,4.9375,5.303030303,0.365530303,4,yes,USA,Yes,Yes,1907,good,7,1
A3IRFD9O4M284F,0,54,5.388888889,5.764705882,0.375816993,4,yes,USA,Yes,Yes,1398,nice survey,7,1
A2DVJ6OMVVYTC7,0,54,4.0625,4.444444444,0.381944444,1,yes,USA,Yes,Yes,3341,{},7,2
ATPXLUQECTOD2,0,54,5.0625,5.472222222,0.409722222,4,yes,USA,Yes,Yes,1560,useful study,7,1
A2HGJV9XNBGTSZ,0.018518519,54,3.875,4.285714286,0.410714286,4,yes,USA,Yes,Yes,2366,Nice.,7,1
A1VWP7HOSGKATD,0,54,4.6875,5.166666667,0.479166667,4,yes,USA,Yes,Yes,874,{},6,1
A2I6ZALE49CVSC,0.018518519,54,4.066666667,4.555555556,0.488888889,4,yes,USA,Yes,Yes,1366,{},7,1
A2OR46JV43TOJV,0,54,2.388888889,2.911764706,0.522875817,4,yes,USA,No,Yes,2960,Nice task and thanks for the opportunity.,7,1
A3P57IUDHUKNCE,0,54,5.25,5.777777778,0.527777778,3,yes,USA,Yes,Yes,3242,{},7,1
A28VB70F9S8TJ9,0,54,3.8125,4.361111111,0.548611111,4,yes,USA,Yes,Yes,938,good survey,7,1
A3GLUDQZGEJL5G,0.444444444,54,4.4,5,0.6,4,yes,USA,Yes,Yes,2314,{},7,1
A2PN1H89SQF28M,0,54,5.25,5.944444444,0.694444444,4,yes,USA,Yes,Yes,2839,good,7,1
A65FDBSWHLIVX,0.018518519,54,3.666666667,4.361111111,0.694444444,4,yes,USA,Yes,Yes,986,The survey is very good,7,1
AFC8SYXW9UZUC,0,54,4.611111111,5.411764706,0.800653595,4.5,yes,USA,Yes,Yes,947,{},7,1
AXQQBHFXMWR26,0,54,3.5,4.472222222,0.972222222,4,yes,USA,Yes,Yes,514,{},7,1
A33T45FNLQC14X,0,54,3.222222222,4.235294118,1.013071895,4,yes,USA,Yes,Yes,1526,This is most attractive survey. this is most good.,7,1
AG9LMLEPXP2YC,0,54,3.611111111,4.794117647,1.183006536,4.5,yes,USA,Yes,Yes,1898,{},7,1
A133QG754CGS3I,0.018518519,54,4.1875,5.371428571,1.183928571,4,yes,USA,Yes,Yes,917,{},6,1
A6R88PQFFSNI9,0,54,3.8125,5,1.1875,4,yes,USA,Yes,Yes,2429,It is a Interesting Study.,7,1
A20NLJPYP65LNU,0,54,2.944444444,4.147058824,1.202614379,3.5,,USA,Yes,Yes,641,good survey,7,1
A1I5YNJ60UATA4,0,54,2.125,3.333333333,1.208333333,4,yes,USA,Yes,Yes,2511,good,7,2
A2VTUR86NML1F8,0,54,3.4375,4.666666667,1.229166667,4,yes,USA,Yes,Yes,726,none,7,1
A1SX8IVV82M0LW,0,54,4.3125,5.583333333,1.270833333,4,yes,USA,Yes,Yes,3186,{},7,1
A3RYI5HXC2MJLN,0,54,4.0625,5.416666667,1.354166667,4,yes,USA,Yes,Yes,3461,{},7,1
A1USR9JCAMDGM3,0.018518519,54,4.2,5.583333333,1.383333333,4,yes,USA,Yes,Yes,961,{},7,1
A3M97GKJ6PVL3A,0,54,2.666666667,4.058823529,1.392156863,4,yes,USA,Yes,Yes,987,{},7,1
A1QW58B3BITNKY,0,54,4.375,5.833333333,1.458333333,4,no,USA,Yes,Yes,1880,This was fun!,7,1
A36GU3OHGLDS8R,0,54,1.388888889,2.970588235,1.581699346,4,yes,USA,Yes,Yes,327,{},7,1
A1K8VUKRL53OX,0,54,3.9375,5.555555556,1.618055556,4,yes,USA,Yes,Yes,2726,none,7,1
ACKG8OU1KHKO2,0,54,4.375,6,1.625,4,yes,USA,Yes,Yes,1295,{},7,1
A1TRO537S2U7QV,0.018518519,54,3.1875,4.857142857,1.669642857,4,yes,USA,Yes,Yes,2219,The survey is really confusing as well as interesting.,7,1
ATP2BJPDK4K2B,0,54,4.5625,6.305555556,1.743055556,4,yes,USA,Yes,Yes,2297,"Not sure where to put the code.

Red Forest",6,1
A1I72NHC21347A,0.018518519,54,3.166666667,4.939393939,1.772727273,4,yes,USA,Yes,Yes,381,{},7,1
ABW8U1U74P8MI,0.055555556,54,3.4375,5.212121212,1.774621212,4,yes,USA,Yes,Yes,2382,{},7,1
A1PTH9KTRO06EG,0,54,4.388888889,6.176470588,1.787581699,4,yes,USA,Yes,Yes,637,{},7,1
A1LZWU72K42V92,0.037037037,54,2.529411765,4.333333333,1.803921569,4,yes,USA,Yes,Yes,1053,{},7,1
A2R0YYUAWNT7UD,0,54,4.0625,5.916666667,1.854166667,4,yes,USA,Yes,Yes,1465,{},7,1
A2V4DP31BEVABF,0,54,4.75,6.611111111,1.861111111,4,no,IND,Yes,Yes,920,Thanks.,7,1
A2MM8RN9555ZNJ,0,54,2,3.882352941,1.882352941,4,yes,USA,Yes,Yes,2739,{},7,1
A2CEHL1T8C927W,0.018518519,54,3.5,5.4,1.9,4,,,Yes,Yes,1576,{},7,1
ACGHHDT7RY1AH,0,54,4.666666667,6.588235294,1.921568627,4,yes,USA,Yes,Yes,535,{},7,1
A36A2JLZUOPNUM,0,54,3.125,5.055555556,1.930555556,4,yes,USA,Yes,Yes,1463,{},7,1
A3W341JMZSKATX,0,54,3.125,5.055555556,1.930555556,4,yes,USA,Yes,Yes,3597,{},7,1
A1BNR1ZAF1QGWG,0,54,2.777777778,4.735294118,1.95751634,4,yes,USA,Yes,Yes,846,{},7,1
A6KB4VHCZYTY2,0,54,3.3125,5.277777778,1.965277778,4,yes,USA,Yes,Yes,961,{},7,1
A1K42W7BKJDVB,0,54,4.6875,6.666666667,1.979166667,4,,USA,Yes,Yes,2178,none,7,1
A6HDSE80LQPR8,0,54,4.125,6.111111111,1.986111111,4,yes,USA,Yes,Yes,1080,none,7,1
A20N1NK5X5S88F,0,54,5,7,2,4,yes,USA,Yes,Yes,1146,{},7,1
AOAMTLMPOJ7P7,0,54,3.9375,5.972222222,2.034722222,4,yes,USA,Yes,Yes,843,{},7,1
A1WJ54G7U8B57Y,0,54,4.0625,6.111111111,2.048611111,4,yes,USA,Yes,Yes,1750,Very good survey,7,1
AD75IYA9OIIQF,0,54,3.25,5.305555556,2.055555556,4,yes,USA,Yes,Yes,421,{},4,1
ADVJB810K4OYR,0,54,3.5,5.558823529,2.058823529,4,yes,USA,Yes,Yes,1224,n/a,7,5
A22DTDEFYRTE45,0,54,4.3125,6.388888889,2.076388889,4.5,yes,USA,Yes,Yes,2776,{},7,1
ACON9O9NMFOHE,0,54,2.75,4.833333333,2.083333333,4,yes,USA,Yes,Yes,2361,{},7,1
A2JDYN6QM8M5UN,0,54,2.166666667,4.264705882,2.098039216,4,yes,USA,Yes,Yes,751,{},7,1
AEBY6S5MX5O8R,0,54,3.3125,5.416666667,2.104166667,4,yes,USA,Yes,Yes,1077,{},7,1
A3GK90X2QOFR53,0,54,3.375,5.5,2.125,4,yes,USA,Yes,Yes,2703,none,7,1
A2QX2B50DM45E2,0,54,3.388888889,5.529411765,2.140522876,4,yes,USA,Yes,Yes,3431,{},7,1
A1XQOZV8LQDM22,0,54,3.1875,5.361111111,2.173611111,4,yes,USA,Yes,Yes,2315,N/A,7,1
A2Y7RA3JIQXV6M,0,54,2.777777778,4.970588235,2.192810458,4,yes,USA,Yes,Yes,1133,{},7,1
A1LB8HVSXK66U0,0,54,2.5,4.694444444,2.194444444,4,yes,USA,Yes,Yes,1504,{},7,1
A1YSYI926BBOHW,0,54,4.75,6.944444444,2.194444444,4,yes,USA,Yes,Yes,2702,{},7,1
A2HSCKH5NKN5LP,0,54,4.444444444,6.647058824,2.202614379,4,yes,USA,Yes,Yes,429,"I rated the sorcerer/dwarf, as well as the pixie one implausible because the instructions say ""real world"" sorry if this is incorrect.",7,1
A2OU4N4VBIE91I,0,54,3.5,5.764705882,2.264705882,4,yes,USA,Yes,Yes,2916,{},7,1
A2IQ0QCTQ3KWLT,0,54,3.777777778,6.058823529,2.281045752,4,yes,USA,Yes,Yes,2067,{},7,1
A2RVFMCKSSEHDV,0,54,3.375,5.666666667,2.291666667,4,yes,USA,Yes,Yes,1612,none,7,1
A1QGG767E07WBA,0.037037037,54,3.333333333,5.628571429,2.295238095,4,yes,USA,Yes,Yes,2088,Thanks!,7,1
A1NGABF082HR2P,0.018518519,54,4.611111111,6.909090909,2.297979798,4,yes,USA,Yes,Yes,474,NA,7,1
A3QS96739O5M6F,0,54,2.666666667,5,2.333333333,4,yes,USA,Yes,Yes,2149,thanks,7,1
A1NDMFN9A5G25G,0,54,2.8125,5.166666667,2.354166667,4,yes,USA,Yes,Yes,1502,{},7,1
A37PUSY6CJ7TQ0,0,54,2.944444444,5.323529412,2.379084967,4,yes,USA,Yes,Yes,343,{},7,1
ASF5V3K4IFP4K,0,54,3.388888889,5.794117647,2.405228758,4.5,yes,USA,Yes,Yes,1415,{},7,1
A3UV55HC87DO9C,0,54,4.0625,6.472222222,2.409722222,4,yes,USA,Yes,Yes,2513,none! :),7,7
AQL24433IP0QQ,0,54,1.5,3.911764706,2.411764706,4,yes,USA,Yes,Yes,1801,{},7,1
A110KENBXU7SUJ,0,54,3.5,5.916666667,2.416666667,4,yes,USA,Yes,Yes,1328,"""Sentence: The toddler disciplined the mother.""  Unlikely but not impossible.",7,1
AMV1E7FFPVAW4,0.018518519,54,2,4.424242424,2.424242424,4,yes,USA,Yes,Yes,915,{},7,1
A30NGIKN7761QK,0,54,3.277777778,5.705882353,2.428104575,4.5,yes,USA,Yes,Yes,956,Engaging study,7,1
A33Z6BHAJUGCHY,0.018518519,54,3.722222222,6.151515152,2.429292929,4,yes,USA,Yes,Yes,904,{},6,1
A3RHJEMZ4EGY2U,0,54,3.5,5.941176471,2.441176471,4,yes,USA,Yes,Yes,3337,{},7,1
A3ROADR7T6811,0,54,2.055555556,4.5,2.444444444,4,yes,USA,Yes,Yes,1792,{},7,1
A2JRF141BH3W3Y,0,54,4.111111111,6.558823529,2.447712418,4,yes,USA,Yes,Yes,1957,{},7,1
A90G0G4SJ26BM,0.055555556,54,2.866666667,5.323529412,2.456862745,4,yes,USA,Yes,Yes,3514,{},7,1
AFDC9A6Z60W2Z,0.018518519,54,4.3125,6.771428571,2.458928571,4,yes,USA,Yes,Yes,1687,{},7,1
AJXIC6Q5EM76P,0,54,2,4.472222222,2.472222222,4,yes,USA,Yes,Yes,1297,{},7,1
A2541C8MY0BYV3,0,54,2.1875,4.694444444,2.506944444,4,yes,USA,Yes,Yes,3354,{},7,1
A38VFGL477QDJC,0,54,3.9375,6.444444444,2.506944444,4,,OTHER,Yes,Yes,2152,{},7,1
A3388HIWAKD3DV,0,54,4.166666667,6.676470588,2.509803922,4,yes,USA,Yes,Yes,638,"None, thank you!",7,2
A3C2X1L5PVNNLV,0,54,2.875,5.388888889,2.513888889,4,,USA,Yes,Yes,2555,{},7,1
A24B5UF6RMHYGX,0.018518519,54,2.666666667,5.194444444,2.527777778,4,yes,USA,Yes,Yes,2670,ty,7,1
A3HVID0VN8HV9T,0.018518519,54,3.411764706,5.941176471,2.529411765,4,,,Yes,Yes,2556,none.,7,1
AJ4T7PTRYNSUW,0,54,2.277777778,4.823529412,2.545751634,4,,,Yes,Yes,2100,{},7,1
A38BNV13AV0S8Y,0,54,2.625,5.194444444,2.569444444,4,yes,USA,Yes,Yes,787,{},7,1
A2PSR3CMNR1R9X,0,54,3.125,5.694444444,2.569444444,4,yes,USA,Yes,Yes,1760,{},7,4
A2WJMGV0HKQG3Z,0,54,2.777777778,5.352941176,2.575163399,4,yes,USA,Yes,Yes,1307,{},7,1
A2INXY39KBM92F,0,54,2.8125,5.388888889,2.576388889,4,yes,USA,Yes,Yes,467,{},7,1
A1MM8TSLCHVMNK,0,54,4.3125,6.888888889,2.576388889,4,yes,USA,Yes,Yes,1364,{},7,1
A3HOBJ4PJUOCUN,0,54,3.944444444,6.529411765,2.58496732,4,yes,USA,Yes,Yes,3022,{},7,1
AYDILOZLKOAS8,0,54,3.555555556,6.147058824,2.591503268,4,yes,USA,Yes,Yes,1432,{},7,1
A1FKRZKU1H9YFC,0,54,3.333333333,5.941176471,2.607843137,4,yes,USA,Yes,Yes,862,N/A,7,1
A33RBG4AB7LIPJ,0,54,3.5,6.111111111,2.611111111,4,yes,USA,Yes,Yes,1285,{},7,1
A3GZYWA9S6J0K9,0,54,2.5,5.117647059,2.617647059,4,yes,USA,Yes,Yes,798,{},7,1
A1R8A8BK2VN7RH,0,54,2.222222222,4.852941176,2.630718954,4,yes,USA,Yes,Yes,401,{},7,1
A11W7R2O4RQSSS,0,54,3.25,5.888888889,2.638888889,4,yes,USA,Yes,Yes,915,{},7,1
A3DUPRZSMU9W5R,0,54,3.0625,5.722222222,2.659722222,4,yes,USA,Yes,Yes,965,"Depending on the positions of the two subject nouns in the sentence, if one had a more prestigious position for example, I gave the sentence less likely or more likely to be credible depending upon who was helping whom. Thx",7,1
A2FGKKWP33DFWS,0,54,2.722222222,5.382352941,2.660130719,4,yes,USA,Yes,Yes,1483,{},7,1
A3HHDPKL3O3O7Y,0.018518519,54,3.125,5.8,2.675,4,yes,USA,Yes,Yes,822,{},7,1
A18LAR2IV3FHF9,0.018518519,54,2.888888889,5.575757576,2.686868687,4,yes,USA,Yes,Yes,968,Fascinating!,7,1
A1W7I6FN183I8F,0,54,2.5625,5.25,2.6875,4,yes,USA,Yes,Yes,2024,"Some of theses sentences were entirely implausible, while others gave me pause as they could in fact occur in real life. In any case, thank you for the experience, and good luck in your research.",7,1
A25FH7PXC446RG,0,54,2.6875,5.388888889,2.701388889,4,yes,USA,Yes,Yes,2193,thank you,7,1
AWE9A4ZOP9LNU,0,54,3.5625,6.277777778,2.715277778,4,yes,USA,Yes,Yes,2994,{},7,1
A3MD34XEB4H6JF,0.037037037,54,3.6875,6.411764706,2.724264706,4,yes,USA,Yes,Yes,2153,Thank you,7,1
A2OX8TSRCU6NKD,0,54,1.666666667,4.411764706,2.745098039,4,yes,USA,Yes,Yes,1896,{},7,6
AFN5VMMGYPF1I,0,54,3.277777778,6.029411765,2.751633987,4,yes,USA,Yes,Yes,597,I enjoyed this task,7,1
AXPZAP62ZYWP8,0,54,3.1875,5.944444444,2.756944444,4,yes,USA,Yes,Yes,579,some of the sentences were hard to comprehend,7,1
A3KK5FKG3L0Q66,0,54,2.625,5.388888889,2.763888889,4,yes,USA,Yes,Yes,1616,{},7,1
A2SD7GN80U31GW,0,54,3.625,6.388888889,2.763888889,4,yes,USA,Yes,Yes,1560,{},5,1
AW0MG225VXWCN,0,54,2.777777778,5.558823529,2.781045752,4,yes,USA,Yes,Yes,2074,{},7,1
A1TLNLB9D87H6,0,54,1.444444444,4.235294118,2.790849673,4,yes,USA,Yes,Yes,1137,Some of the words I didn't know and had to Google.,7,1
A2N9U74YIPDQ9F,0,54,2.125,4.916666667,2.791666667,4,yes,USA,Yes,Yes,393,{},7,1
A2R75YFKVALBXE,0,54,2.5,5.294117647,2.794117647,4,yes,USA,Yes,Yes,3519,"None, thanks!",4,1
A1R37XA9QPSIAN,0,54,4.125,6.944444444,2.819444444,4,yes,USA,Yes,Yes,474,Some things may have been plausible but they were highly unlikely.,7,1
AZ5ZYUCAQ0XDL,0,54,4.125,6.944444444,2.819444444,4,yes,USA,Yes,Yes,309,{},7,1
