"ItemNum","Sentence","Plausibility","Voice","SynonymPair","NumSyn"
19,"The jet maneuvered the aviator.","Implausible","active",10,"Version1"
19,"The jet was maneuvered by the aviator.","Plausible","passive",10,"Version1"
19,"The aviator was maneuvered by the jet.","Implausible","passive",10,"Version1"
20,"The chef sauteed the squid.","Plausible","active",10,"Version2"
20,"The squid sauteed the chef.","Implausible","active",10,"Version2"
20,"The squid was sauteed by the chef.","Plausible","passive",10,"Version2"
20,"The chef was sauteed by the squid.","Implausible","passive",10,"Version2"
21,"The cook grilled the octopus.","Plausible","active",11,"Version1"
21,"The octopus grilled the cook.","Implausible","active",11,"Version1"
21,"The octopus was grilled by the cook.","Plausible","passive",11,"Version1"
21,"The cook was grilled by the octopus.","Implausible","passive",11,"Version1"
22,"The ship captain promised the triumph.","Plausible","active",11,"Version2"
22,"The triumph promised the ship captain.","Implausible","active",11,"Version2"
22,"The triumph was promised by the ship captain.","Plausible","passive",11,"Version2"
22,"The ship captain was promised by the triumph.","Implausible","passive",11,"Version2"
23,"The skipper guaranteed the victory.","Plausible","active",12,"Version1"
23,"The victory guaranteed the skipper.","Implausible","active",12,"Version1"
23,"The victory was guaranteed by the skipper.","Plausible","passive",12,"Version1"
23,"The skipper was guaranteed by the victory.","Implausible","passive",12,"Version1"
24,"The milliner adorned the fedora.","Plausible","active",12,"Version2"
24,"The fedora adorned the milliner.","Implausible","active",12,"Version2"
24,"The fedora was adorned by the milliner.","Plausible","passive",12,"Version2"
24,"The milliner was adorned by the fedora.","Implausible","passive",12,"Version2"
25,"The hatter decorated the bowler.","Plausible","active",13,"Version1"
25,"The bowler decorated the hatter.","Implausible","active",13,"Version1"
25,"The bowler was decorated by the hatter.","Plausible","passive",13,"Version1"
25,"The hatter was decorated by the bowler.","Implausible","passive",13,"Version1"
26,"The serviceman hoisted the flag.","Plausible","active",13,"Version2"
26,"The flag hoisted the serviceman.","Implausible","active",13,"Version2"
26,"The flag was hoisted by the serviceman.","Plausible","passive",13,"Version2"
26,"The serviceman was hoisted by the flag.","Implausible","passive",13,"Version2"
27,"The soldier raised the banner.","Plausible","active",14,"Version1"
27,"The banner raised the soldier.","Implausible","active",14,"Version1"
27,"The banner was raised by the soldier.","Plausible","passive",14,"Version1"
27,"The soldier was raised by the banner.","Implausible","passive",14,"Version1"
28,"The agent failed the mission.","Plausible","active",14,"Version2"
28,"The mission failed the agent.","Implausible","active",14,"Version2"
28,"The mission was failed by the agent.","Plausible","passive",14,"Version2"
28,"The agent was failed by the mission.","Implausible","passive",14,"Version2"
29,"The operative blew the assignment.","Plausible","active",15,"Version1"
29,"The assignment blew the operative.","Implausible","active",15,"Version1"
29,"The assignment was blown by the operative.","Plausible","passive",15,"Version1"
29,"The operative was blown by the assignment.","Implausible","passive",15,"Version1"
30,"The anchorman garbled the expression.","Plausible","active",15,"Version2"
30,"The expression garbled the anchorman.","Implausible","active",15,"Version2"
30,"The expression was garbled by the anchorman.","Plausible","passive",15,"Version2"
30,"The anchorman was garbled by the expression.","Implausible","passive",15,"Version2"
31,"The announcer mispronounced the word.","Plausible","active",16,"Version1"
31,"The word mispronounced the announcer.","Implausible","active",16,"Version1"
31,"The word was mispronounced by the announcer.","Plausible","passive",16,"Version1"
31,"The announcer was mispronounced by the word.","Implausible","passive",16,"Version1"
32,"The author finished the novel.","Plausible","active",16,"Version2"
32,"The novel finished the author.","Implausible","active",16,"Version2"
32,"The novel was finished by the author.","Plausible","passive",16,"Version2"
32,"The author was finished by the novel.","Implausible","passive",16,"Version2"
33,"The writer completed the book.","Plausible","active",17,"Version1"
33,"The book completed the writer.","Implausible","active",17,"Version1"
33,"The book was completed by the writer.","Plausible","passive",17,"Version1"
33,"The writer was completed by the book.","Implausible","passive",17,"Version1"
34,"The financier sponsored the project.","Plausible","active",17,"Version2"
34,"The project sponsored the financier.","Implausible","active",17,"Version2"
34,"The project was sponsored by the financier.","Plausible","passive",17,"Version2"
34,"The financier was sponsored by the project.","Implausible","passive",17,"Version2"
35,"The banker funded the program.","Plausible","active",18,"Version1"
35,"The program funded the banker.","Implausible","active",18,"Version1"
35,"The program was funded by the banker.","Plausible","passive",18,"Version1"
35,"The banker was funded by the program.","Implausible","passive",18,"Version1"
36,"The tourist exited the bus.","Plausible","active",18,"Version2"
36,"The bus exited the tourist.","Implausible","active",18,"Version2"
36,"The bus was exited by the tourist.","Plausible","passive",18,"Version2"
36,"The tourist was exited by the bus.","Implausible","passive",18,"Version2"
37,"The vacationer left the shuttle.","Plausible","active",19,"Version1"
37,"The shuttle left the vacationer.","Implausible","active",19,"Version1"
37,"The shuttle was left by the vacationer.","Plausible","passive",19,"Version1"
37,"The vacationer was left by the shuttle.","Implausible","passive",19,"Version1"
38,"The dietitian loathed the jam.","Plausible","active",19,"Version2"
38,"The jam loathed the dietitian.","Implausible","active",19,"Version2"
38,"The jam was loathed by the dietitian.","Plausible","passive",19,"Version2"
38,"The dietitian was loathed by the jam.","Implausible","passive",19,"Version2"
39,"The nutritionist detested the marmalade.","Plausible","active",20,"Version1"
39,"The marmalade detested the nutritionist.","Implausible","active",20,"Version1"
39,"The marmalade was detested by the nutritionist.","Plausible","passive",20,"Version1"
39,"The nutritionist was detested by the marmalade.","Implausible","passive",20,"Version1"
40,"The scientist discovered the cure.","Plausible","active",20,"Version2"
40,"The cure discovered the scientist.","Implausible","active",20,"Version2"
40,"The cure was discovered by the scientist.","Plausible","passive",20,"Version2"
40,"The scientist was discovered by the cure.","Implausible","passive",20,"Version2"
41,"The researcher found the remedy.","Plausible","active",21,"Version1"
41,"The remedy found the researcher.","Implausible","active",21,"Version1"
41,"The remedy was found by the researcher.","Plausible","passive",21,"Version1"
41,"The researcher was found by the remedy.","Implausible","passive",21,"Version1"
48,"The servant wiped the sink.","Plausible","active",24,"Version2"
48,"The sink wiped the servant.","Implausible","active",24,"Version2"
48,"The sink was wiped by the servant.","Plausible","passive",24,"Version2"
48,"The servant was wiped by the sink.","Implausible","passive",24,"Version2"
49,"The domestic cleaned the wash basin.","Plausible","active",25,"Version1"
49,"The wash basin cleaned the domestic.","Implausible","active",25,"Version1"
49,"The wash basin was cleaned by the domestic.","Plausible","passive",25,"Version1"
49,"The domestic was cleaned by the wash basin.","Implausible","passive",25,"Version1"
51,"The convalescent took the pill.","Plausible","active",26,"Version1"
51,"The pill took the convalescent.","Implausible","active",26,"Version1"
51,"The pill was taken by the convalescent.","Plausible","passive",26,"Version1"
51,"The convalescent was taken by the pill.","Implausible","passive",26,"Version1"
52,"The patient swallowed the medicine.","Plausible","active",26,"Version2"
52,"The medicine swallowed the patient.","Implausible","active",26,"Version2"
52,"The medicine was swallowed by the patient.","Plausible","passive",26,"Version2"
52,"The patient was swallowed by the medicine.","Implausible","passive",26,"Version2"
53,"The hoarder hid the stash.","Plausible","active",27,"Version1"
53,"The stash hid the hoarder.","Implausible","active",27,"Version1"
53,"The stash was hidden by the hoarder.","Plausible","passive",27,"Version1"
53,"The hoarder was hidden by the stash.","Implausible","passive",27,"Version1"
54,"The packrat concealed the stockpile.","Plausible","active",27,"Version2"
54,"The stockpile concealed the packrat.","Implausible","active",27,"Version2"
54,"The stockpile was concealed by the packrat.","Plausible","passive",27,"Version2"
54,"The packrat was concealed by the stockpile.","Implausible","passive",27,"Version2"
55,"The reporter abandoned the story.","Plausible","active",28,"Version1"
55,"The story abandoned the reporter.","Implausible","active",28,"Version1"
55,"The story was abandoned by the reporter.","Plausible","passive",28,"Version1"
55,"The reporter was abandoned by the story.","Implausible","passive",28,"Version1"
56,"The journalist ditched the article.","Plausible","active",28,"Version2"
56,"The article ditched the journalist.","Implausible","active",28,"Version2"
56,"The article was ditched by the journalist.","Plausible","passive",28,"Version2"
56,"The journalist was ditched by the article.","Implausible","passive",28,"Version2"
57,"The carnivore ate the steak.","Plausible","active",29,"Version1"
57,"The steak ate the carnivore.","Implausible","active",29,"Version1"
57,"The steak was eaten by the carnivore.","Plausible","passive",29,"Version1"
57,"The carnivore was eaten by the steak.","Implausible","passive",29,"Version1"
58,"The meat-eater devoured the filet.","Plausible","active",29,"Version2"
58,"The filet devoured the meat-eater.","Implausible","active",29,"Version2"
58,"The filet was devoured by the meat-eater.","Plausible","passive",29,"Version2"
58,"The meat-eater was devoured by the filet.","Implausible","passive",29,"Version2"
60,"The teacher bought the laptop.","Plausible","active",30,"Version2"
60,"The laptop bought the teacher.","Implausible","active",30,"Version2"
60,"The laptop was bought by the teacher.","Plausible","passive",30,"Version2"
60,"The teacher was bought by the laptop.","Implausible","passive",30,"Version2"
61,"The instructor purchased the computer.","Plausible","active",31,"Version1"
61,"The computer purchased the instructor.","Implausible","active",31,"Version1"
61,"The computer was purchased by the instructor.","Plausible","passive",31,"Version1"
61,"The instructor was purchased by the computer.","Implausible","passive",31,"Version1"
62,"The lady cooked the supper.","Plausible","active",31,"Version2"
62,"The supper cooked the lady.","Implausible","active",31,"Version2"
62,"The supper was cooked by the lady.","Plausible","passive",31,"Version2"
62,"The lady was cooked by the supper.","Implausible","passive",31,"Version2"
63,"The woman prepared the dinner.","Plausible","active",32,"Version1"
63,"The dinner prepared the woman.","Implausible","active",32,"Version1"
63,"The dinner was prepared by the woman.","Plausible","passive",32,"Version1"
63,"The woman was prepared by the dinner.","Implausible","passive",32,"Version1"
64,"The traveler lost the souvenir.","Plausible","active",32,"Version2"
64,"The souvenir lost the traveler.","Implausible","active",32,"Version2"
64,"The souvenir was lost by the traveler.","Plausible","passive",32,"Version2"
64,"The traveler was lost by the souvenir.","Implausible","passive",32,"Version2"
65,"The sightseer misplaced the memento.","Plausible","active",33,"Version1"
65,"The memento misplaced the sightseer.","Implausible","active",33,"Version1"
65,"The memento was misplaced by the sightseer.","Plausible","passive",33,"Version1"
65,"The sightseer was misplaced by the memento.","Implausible","passive",33,"Version1"
66,"The comedian confirmed the itinerary.","Plausible","active",33,"Version2"
66,"The itinerary confirmed the comedian.","Implausible","active",33,"Version2"
66,"The itinerary was confirmed by the comedian.","Plausible","passive",33,"Version2"
66,"The comedian was confirmed by the itinerary.","Implausible","passive",33,"Version2"
67,"The humorist verified the schedule.","Plausible","active",34,"Version1"
67,"The schedule verified the humorist.","Implausible","active",34,"Version1"
67,"The schedule was verified by the humorist.","Plausible","passive",34,"Version1"
67,"The humorist was verified by the schedule.","Implausible","passive",34,"Version1"
70,"The townsperson farmed the grain.","Plausible","active",35,"Version2"
70,"The grain farmed the townsperson.","Implausible","active",35,"Version2"
70,"The grain was farmed by the townsperson.","Plausible","passive",35,"Version2"
70,"The townsperson was farmed by the grain.","Implausible","passive",35,"Version2"
71,"The villager cultivated the crop.","Plausible","active",36,"Version1"
71,"The crop cultivated the villager.","Implausible","active",36,"Version1"
71,"The crop was cultivated by the villager.","Plausible","passive",36,"Version1"
71,"The villager was cultivated by the crop.","Implausible","passive",36,"Version1"
72,"The mentor revised the manuscript.","Plausible","active",36,"Version2"
72,"The manuscript revised the mentor.","Implausible","active",36,"Version2"
72,"The manuscript was revised by the mentor.","Plausible","passive",36,"Version2"
72,"The mentor was revised by the manuscript.","Implausible","passive",36,"Version2"
73,"The advisor edited the paper.","Plausible","active",37,"Version1"
73,"The paper edited the advisor.","Implausible","active",37,"Version1"
73,"The paper was edited by the advisor.","Plausible","passive",37,"Version1"
73,"The advisor was edited by the paper.","Implausible","passive",37,"Version1"
74,"The accountant made the chart.","Plausible","active",37,"Version2"
74,"The chart made the accountant.","Implausible","active",37,"Version2"
74,"The chart was made by the accountant.","Plausible","passive",37,"Version2"
74,"The accountant was made by the chart.","Implausible","passive",37,"Version2"
75,"The bookkeeper created the graph.","Plausible","active",38,"Version1"
75,"The graph created the bookkeeper.","Implausible","active",38,"Version1"
75,"The graph was created by the bookkeeper.","Plausible","passive",38,"Version1"
75,"The bookkeeper was created by the graph.","Implausible","passive",38,"Version1"
77,"The tycoon ran the company.","Plausible","active",39,"Version1"
77,"The company ran the tycoon.","Implausible","active",39,"Version1"
77,"The company was run by the tycoon.","Plausible","passive",39,"Version1"
77,"The tycoon was run by the company.","Implausible","passive",39,"Version1"
78,"The mogul governed the corporation.","Plausible","active",39,"Version2"
78,"The corporation governed the mogul.","Implausible","active",39,"Version2"
78,"The corporation was governed by the mogul.","Plausible","passive",39,"Version2"
78,"The mogul was governed by the corporation.","Implausible","passive",39,"Version2"
79,"The campaigner biased the ballot.","Plausible","active",40,"Version1"
79,"The ballot biased the campaigner.","Implausible","active",40,"Version1"
79,"The ballot was biased by the campaigner.","Plausible","passive",40,"Version1"
79,"The campaigner was biased by the ballot.","Implausible","passive",40,"Version1"
80,"The activist prejudiced the vote.","Plausible","active",40,"Version2"
80,"The vote prejudiced the activist.","Implausible","active",40,"Version2"
80,"The vote was prejudiced by the activist.","Plausible","passive",40,"Version2"
80,"The activist was prejudiced by the vote.","Implausible","passive",40,"Version2"
81,"The stewardess pulled the suitcase.","Plausible","active",41,"Version1"
81,"The suitcase pulled the stewardess.","Implausible","active",41,"Version1"
81,"The suitcase was pulled by the stewardess.","Plausible","passive",41,"Version1"
81,"The stewardess was pulled by the suitcase.","Implausible","passive",41,"Version1"
82,"The flight-attendant dragged the luggage.","Plausible","active",41,"Version2"
82,"The luggage dragged the flight-attendant.","Implausible","active",41,"Version2"
82,"The luggage was dragged by the flight-attendant.","Plausible","passive",41,"Version2"
82,"The flight-attendant was dragged by the luggage.","Implausible","passive",41,"Version2"
83,"The congressman delivered the speech.","Plausible","active",42,"Version1"
83,"The speech delivered the congressman.","Implausible","active",42,"Version1"
83,"The speech was delivered by the congressman.","Plausible","passive",42,"Version1"
83,"The congressman was delivered by the speech.","Implausible","passive",42,"Version1"
84,"The representative gave the address.","Plausible","active",42,"Version2"
84,"The address gave the representative.","Implausible","active",42,"Version2"
84,"The address was given by the representative.","Plausible","passive",42,"Version2"
84,"The representative was given by the address.","Implausible","passive",42,"Version2"
85,"The sheriff inspected the estate.","Plausible","active",43,"Version1"
85,"The estate inspected the sheriff.","Implausible","active",43,"Version1"
85,"The estate was inspected by the sheriff.","Plausible","passive",43,"Version1"
85,"The sheriff was inspected by the estate.","Implausible","passive",43,"Version1"
86,"The constable examined the property.","Plausible","active",43,"Version2"
86,"The property examined the constable.","Implausible","active",43,"Version2"
86,"The property was examined by the constable.","Plausible","passive",43,"Version2"
86,"The constable was examined by the property.","Implausible","passive",43,"Version2"
87,"The celebrity signed the photograph.","Plausible","active",44,"Version1"
87,"The photograph signed the celebrity.","Implausible","active",44,"Version1"
87,"The photograph was signed by the celebrity.","Plausible","passive",44,"Version1"
87,"The celebrity was signed by the photograph.","Implausible","passive",44,"Version1"
88,"The star autographed the picture.","Plausible","active",44,"Version2"
88,"The picture autographed the star.","Implausible","active",44,"Version2"
88,"The picture was autographed by the star.","Plausible","passive",44,"Version2"
88,"The star was autographed by the picture.","Implausible","passive",44,"Version2"
89,"The nanny tutored the boy.","Plausible","active",45,"Version1"
89,"The boy tutored the nanny.","Implausible","active",45,"Version1"
89,"The boy was tutored by the nanny.","Plausible","passive",45,"Version1"
89,"The nanny was tutored by the boy.","Implausible","passive",45,"Version1"
90,"The governess instructed the lad.","Plausible","active",45,"Version2"
90,"The lad instructed the governess.","Implausible","active",45,"Version2"
90,"The lad was instructed by the governess.","Plausible","passive",45,"Version2"
90,"The governess was instructed by the lad.","Implausible","passive",45,"Version2"
91,"The blackmailer threatened the senator.","Plausible","active",46,"Version1"
91,"The senator threatened the blackmailer.","Implausible","active",46,"Version1"
91,"The senator was threatened by the blackmailer.","Plausible","passive",46,"Version1"
91,"The blackmailer was threatened by the senator.","Implausible","passive",46,"Version1"
92,"The extortionist menaced the legislator.","Plausible","active",46,"Version2"
92,"The legislator menaced the extortionist.","Implausible","active",46,"Version2"
92,"The legislator was menaced by the extortionist.","Plausible","passive",46,"Version2"
92,"The extortionist was menaced by the legislator.","Implausible","passive",46,"Version2"
93,"The artist portrayed the philosopher.","Plausible","active",47,"Version1"
93,"The philosopher portrayed the artist.","Implausible","active",47,"Version1"
93,"The philosopher was portrayed by the artist.","Plausible","passive",47,"Version1"
93,"The artist was portrayed by the philosopher.","Implausible","passive",47,"Version1"
94,"The painter depicted the thinker.","Plausible","active",47,"Version2"
94,"The thinker depicted the painter.","Implausible","active",47,"Version2"
94,"The thinker was depicted by the painter.","Plausible","passive",47,"Version2"
94,"The painter was depicted by the thinker.","Implausible","passive",47,"Version2"
95,"The mechanic berated the intern.","Plausible","active",48,"Version1"
95,"The intern berated the mechanic.","Implausible","active",48,"Version1"
95,"The intern was berated by the mechanic.","Plausible","passive",48,"Version1"
95,"The mechanic was berated by the intern.","Implausible","passive",48,"Version1"
96,"The technician rebuked the aide.","Plausible","active",48,"Version2"
96,"The aide rebuked the technician.","Implausible","active",48,"Version2"
96,"The aide was rebuked by the technician.","Plausible","passive",48,"Version2"
96,"The technician was rebuked by the aide.","Implausible","passive",48,"Version2"
97,"The fairy enchanted the troll.","Plausible","active",49,"Version1"
97,"The troll enchanted the fairy.","Implausible","active",49,"Version1"
97,"The troll was enchanted by the fairy.","Plausible","passive",49,"Version1"
97,"The fairy was enchanted by the troll.","Implausible","passive",49,"Version1"
98,"The pixie mesmerized the ogre.","Plausible","active",49,"Version2"
98,"The ogre mesmerized the pixie.","Implausible","active",49,"Version2"
98,"The ogre was mesmerized by the pixie.","Plausible","passive",49,"Version2"
98,"The pixie was mesmerized by the ogre.","Implausible","passive",49,"Version2"
99,"The orderly assisted the dentist.","Plausible","active",50,"Version1"
99,"The dentist assisted the orderly.","Implausible","active",50,"Version1"
99,"The dentist was assisted by the orderly.","Plausible","passive",50,"Version1"
99,"The orderly was assisted by the dentist.","Implausible","passive",50,"Version1"
100,"The nurse helped the orthodontist.","Plausible","active",50,"Version2"
100,"The orthodontist helped the nurse.","Implausible","active",50,"Version2"
100,"The orthodontist was helped by the nurse.","Plausible","passive",50,"Version2"
100,"The nurse was helped by the orthodontist.","Implausible","passive",50,"Version2"
103,"The critic attacked the conservative.","Plausible","active",52,"Version1"
103,"The conservative attacked the critic.","Implausible","active",52,"Version1"
103,"The conservative was attacked by the critic.","Plausible","passive",52,"Version1"
103,"The critic was attacked by the conservative.","Implausible","passive",52,"Version1"
104,"The reviewer criticized the right-winger.","Plausible","active",52,"Version2"
104,"The right-winger criticized the reviewer.","Implausible","active",52,"Version2"
104,"The right-winger was criticized by the reviewer.","Plausible","passive",52,"Version2"
104,"The reviewer was criticized by the right-winger.","Implausible","passive",52,"Version2"
105,"The admirer badgered the director.","Plausible","active",53,"Version1"
105,"The director badgered the admirer.","Implausible","active",53,"Version1"
105,"The director was badgered by the admirer.","Plausible","passive",53,"Version1"
105,"The admirer was badgered by the director.","Implausible","passive",53,"Version1"
106,"The fan pestered the filmmaker.","Plausible","active",53,"Version2"
106,"The filmmaker pestered the fan.","Implausible","active",53,"Version2"
106,"The filmmaker was pestered by the fan.","Plausible","passive",53,"Version2"
106,"The fan was pestered by the filmmaker.","Implausible","passive",53,"Version2"
107,"The paramedic revived the youth.","Plausible","active",54,"Version1"
107,"The youth revived the paramedic.","Implausible","active",54,"Version1"
107,"The youth was revived by the paramedic.","Plausible","passive",54,"Version1"
107,"The paramedic was revived by the youth.","Implausible","passive",54,"Version1"
108,"The EMT resuscitated the youngster.","Plausible","active",54,"Version2"
108,"The youngster resuscitated the EMT.","Implausible","active",54,"Version2"
108,"The youngster was resuscitated by the EMT.","Plausible","passive",54,"Version2"
108,"The EMT was resuscitated by the youngster.","Implausible","passive",54,"Version2"
109,"The prankster duped the marketer.","Plausible","active",55,"Version1"
109,"The marketer duped the prankster.","Implausible","active",55,"Version1"
109,"The marketer was duped by the prankster.","Plausible","passive",55,"Version1"
109,"The prankster was duped by the marketer.","Implausible","passive",55,"Version1"
110,"The joker tricked the distributor.","Plausible","active",55,"Version2"
110,"The distributor tricked the joker.","Implausible","active",55,"Version2"
110,"The distributor was tricked by the joker.","Plausible","passive",55,"Version2"
110,"The joker was tricked by the distributor.","Implausible","passive",55,"Version2"
111,"The playboy courted the damsel.","Plausible","active",56,"Version1"
111,"The damsel courted the playboy.","Implausible","active",56,"Version1"
111,"The damsel was courted by the playboy.","Plausible","passive",56,"Version1"
111,"The playboy was courted by the damsel.","Implausible","passive",56,"Version1"
112,"The womanizer wooed the maiden.","Plausible","active",56,"Version2"
112,"The maiden wooed the womanizer.","Implausible","active",56,"Version2"
112,"The maiden was wooed by the womanizer.","Plausible","passive",56,"Version2"
112,"The womanizer was wooed by the maiden.","Implausible","passive",56,"Version2"
113,"The nomad cherished the clergyman.","Plausible","active",57,"Version1"
113,"The clergyman cherished the nomad.","Implausible","active",57,"Version1"
113,"The clergyman was cherished by the nomad.","Plausible","passive",57,"Version1"
113,"The nomad was cherished by the clergyman.","Implausible","passive",57,"Version1"
114,"The vagabond revered the priest.","Plausible","active",57,"Version2"
114,"The priest revered the vagabond.","Implausible","active",57,"Version2"
114,"The priest was revered by the vagabond.","Plausible","passive",57,"Version2"
114,"The vagabond was revered by the priest.","Implausible","passive",57,"Version2"
115,"The assassin shot the statesman.","Plausible","active",58,"Version1"
115,"The statesman shot the assassin.","Implausible","active",58,"Version1"
115,"The statesman was shot by the assassin.","Plausible","passive",58,"Version1"
115,"The assassin was shot by the statesman.","Implausible","passive",58,"Version1"
116,"The hit man killed the politician.","Plausible","active",58,"Version2"
116,"The politician killed the hit man.","Implausible","active",58,"Version2"
116,"The politician was killed by the hit man.","Plausible","passive",58,"Version2"
116,"The hit man was killed by the politician.","Implausible","passive",58,"Version2"
117,"The clerk charged the elderly person.","Plausible","active",59,"Version1"
117,"The elderly person charged the clerk.","Implausible","active",59,"Version1"
117,"The elderly person was charged by the clerk.","Plausible","passive",59,"Version1"
117,"The clerk was charged by the elderly person.","Implausible","passive",59,"Version1"
118,"The cashier billed the senior citizen.","Plausible","active",59,"Version2"
118,"The senior citizen billed the cashier.","Implausible","active",59,"Version2"
118,"The senior citizen was billed by the cashier.","Plausible","passive",59,"Version2"
118,"The cashier was billed by the senior citizen.","Implausible","passive",59,"Version2"
119,"The mediator rescued the hostage.","Plausible","active",60,"Version1"
119,"The hostage rescued the mediator.","Implausible","active",60,"Version1"
119,"The hostage was rescued by the mediator.","Plausible","passive",60,"Version1"
119,"The mediator was rescued by the hostage.","Implausible","passive",60,"Version1"
120,"The negotiator saved the captive.","Plausible","active",60,"Version2"
120,"The captive saved the negotiator.","Implausible","active",60,"Version2"
120,"The captive was saved by the negotiator.","Plausible","passive",60,"Version2"
120,"The negotiator was saved by the captive.","Implausible","passive",60,"Version2"
121,"The detective found the assailant.","Plausible","active",61,"Version1"
121,"The assailant found the detective.","Implausible","active",61,"Version1"
121,"The assailant was found by the detective.","Plausible","passive",61,"Version1"
121,"The detective was found by the assailant.","Implausible","passive",61,"Version1"
122,"The sleuth located the attacker.","Plausible","active",61,"Version2"
122,"The attacker located the sleuth.","Implausible","active",61,"Version2"
122,"The attacker was located by the sleuth.","Plausible","passive",61,"Version2"
122,"The sleuth was located by the attacker.","Implausible","passive",61,"Version2"
123,"The artisan trained the apprentice.","Plausible","active",62,"Version1"
123,"The apprentice trained the artisan.","Implausible","active",62,"Version1"
123,"The apprentice was trained by the artisan.","Plausible","passive",62,"Version1"
123,"The artisan was trained by the apprentice.","Implausible","passive",62,"Version1"
