Input.list,Answer.English,Answer.answer,Answer.country,WorkerId,TrialNum,Answer.Rating,Plausibility,Item,Input.trial
1,yes,{},USA,A2M5OXOREG5HYY,34,2,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A2M5OXOREG5HYY,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A2M5OXOREG5HYY,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A2M5OXOREG5HYY,37,1,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A2M5OXOREG5HYY,38,2,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A2M5OXOREG5HYY,39,5,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A2M5OXOREG5HYY,40,7,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A2M5OXOREG5HYY,41,7,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A2M5OXOREG5HYY,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A1B5SSGMTAQ9B5,1,6,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A1B5SSGMTAQ9B5,2,6,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A1B5SSGMTAQ9B5,3,NA,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A1B5SSGMTAQ9B5,4,5,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A1B5SSGMTAQ9B5,5,6,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A1B5SSGMTAQ9B5,6,2,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A1B5SSGMTAQ9B5,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A1B5SSGMTAQ9B5,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A1B5SSGMTAQ9B5,9,2,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A1B5SSGMTAQ9B5,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A1B5SSGMTAQ9B5,11,2,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A1B5SSGMTAQ9B5,12,5,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A1B5SSGMTAQ9B5,13,1,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A1B5SSGMTAQ9B5,14,2,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A1B5SSGMTAQ9B5,15,7,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A1B5SSGMTAQ9B5,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A1B5SSGMTAQ9B5,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A1B5SSGMTAQ9B5,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A1B5SSGMTAQ9B5,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A1B5SSGMTAQ9B5,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A1B5SSGMTAQ9B5,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A1B5SSGMTAQ9B5,22,1,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A1B5SSGMTAQ9B5,23,2,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A1B5SSGMTAQ9B5,24,2,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A1B5SSGMTAQ9B5,25,6,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A1B5SSGMTAQ9B5,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A1B5SSGMTAQ9B5,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A1B5SSGMTAQ9B5,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A1B5SSGMTAQ9B5,29,2,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A1B5SSGMTAQ9B5,30,4,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A1B5SSGMTAQ9B5,31,7,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A1B5SSGMTAQ9B5,32,1,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A1B5SSGMTAQ9B5,33,7,plaus,36,The dog is licking the girl on the face.
1,yes,{},USA,A1B5SSGMTAQ9B5,34,2,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A1B5SSGMTAQ9B5,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A1B5SSGMTAQ9B5,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A1B5SSGMTAQ9B5,37,2,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A1B5SSGMTAQ9B5,38,1,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A1B5SSGMTAQ9B5,39,1,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A1B5SSGMTAQ9B5,40,5,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A1B5SSGMTAQ9B5,41,7,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A1B5SSGMTAQ9B5,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A1M682B2WUSYJP,1,2,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A1M682B2WUSYJP,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A1M682B2WUSYJP,3,2,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A1M682B2WUSYJP,4,2,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A1M682B2WUSYJP,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A1M682B2WUSYJP,6,1,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A1M682B2WUSYJP,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A1M682B2WUSYJP,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A1M682B2WUSYJP,9,1,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A1M682B2WUSYJP,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A1M682B2WUSYJP,11,1,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A1M682B2WUSYJP,12,5,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A1M682B2WUSYJP,13,1,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A1M682B2WUSYJP,14,1,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A1M682B2WUSYJP,15,7,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A1M682B2WUSYJP,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A1M682B2WUSYJP,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A1M682B2WUSYJP,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A1M682B2WUSYJP,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A1M682B2WUSYJP,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A1M682B2WUSYJP,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A1M682B2WUSYJP,22,1,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A1M682B2WUSYJP,23,7,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A1M682B2WUSYJP,24,1,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A1M682B2WUSYJP,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A1M682B2WUSYJP,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A1M682B2WUSYJP,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A1M682B2WUSYJP,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A1M682B2WUSYJP,29,2,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A1M682B2WUSYJP,30,5,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A1M682B2WUSYJP,31,NA,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A1M682B2WUSYJP,32,1,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A1M682B2WUSYJP,33,7,plaus,36,The dog is licking the girl on the face.
1,yes,{},USA,A1M682B2WUSYJP,34,4,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A1M682B2WUSYJP,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A1M682B2WUSYJP,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A1M682B2WUSYJP,37,3,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A1M682B2WUSYJP,38,1,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A1M682B2WUSYJP,39,2,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A1M682B2WUSYJP,40,5,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A1M682B2WUSYJP,41,7,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A1M682B2WUSYJP,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A1VR1XQEQQXYUE,1,1,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A1VR1XQEQQXYUE,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A1VR1XQEQQXYUE,3,2,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A1VR1XQEQQXYUE,4,1,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A1VR1XQEQQXYUE,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A1VR1XQEQQXYUE,6,4,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A1VR1XQEQQXYUE,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A1VR1XQEQQXYUE,8,6,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A1VR1XQEQQXYUE,9,2,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A1VR1XQEQQXYUE,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A1VR1XQEQQXYUE,11,1,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A1VR1XQEQQXYUE,12,4,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A1VR1XQEQQXYUE,13,1,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A1VR1XQEQQXYUE,14,1,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A1VR1XQEQQXYUE,15,7,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A1VR1XQEQQXYUE,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A1VR1XQEQQXYUE,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A1VR1XQEQQXYUE,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A1VR1XQEQQXYUE,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A1VR1XQEQQXYUE,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A1VR1XQEQQXYUE,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A1VR1XQEQQXYUE,22,1,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A1VR1XQEQQXYUE,23,7,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A1VR1XQEQQXYUE,24,1,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A1VR1XQEQQXYUE,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A1VR1XQEQQXYUE,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A1VR1XQEQQXYUE,27,5,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A1VR1XQEQQXYUE,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A1VR1XQEQQXYUE,29,2,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A1VR1XQEQQXYUE,30,2,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A1VR1XQEQQXYUE,31,7,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A1VR1XQEQQXYUE,32,1,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A1VR1XQEQQXYUE,33,7,plaus,36,The dog is licking the girl on the face.
1,yes,{},USA,A1VR1XQEQQXYUE,34,3,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A1VR1XQEQQXYUE,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A1VR1XQEQQXYUE,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A1VR1XQEQQXYUE,37,1,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A1VR1XQEQQXYUE,38,NA,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A1VR1XQEQQXYUE,39,1,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A1VR1XQEQQXYUE,40,5,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A1VR1XQEQQXYUE,41,6,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A1VR1XQEQQXYUE,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A3FOKP72T5I4FR,1,1,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A3FOKP72T5I4FR,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A3FOKP72T5I4FR,3,5,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A3FOKP72T5I4FR,4,4,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A3FOKP72T5I4FR,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A3FOKP72T5I4FR,6,1,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A3FOKP72T5I4FR,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A3FOKP72T5I4FR,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A3FOKP72T5I4FR,9,1,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A3FOKP72T5I4FR,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A3FOKP72T5I4FR,11,1,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A3FOKP72T5I4FR,12,5,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A3FOKP72T5I4FR,13,1,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A3FOKP72T5I4FR,14,1,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A3FOKP72T5I4FR,15,7,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A3FOKP72T5I4FR,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A3FOKP72T5I4FR,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A3FOKP72T5I4FR,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A3FOKP72T5I4FR,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A3FOKP72T5I4FR,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A3FOKP72T5I4FR,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A3FOKP72T5I4FR,22,4,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A3FOKP72T5I4FR,23,7,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A3FOKP72T5I4FR,24,1,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A3FOKP72T5I4FR,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A3FOKP72T5I4FR,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A3FOKP72T5I4FR,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A3FOKP72T5I4FR,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A3FOKP72T5I4FR,29,1,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A3FOKP72T5I4FR,30,4,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A3FOKP72T5I4FR,31,7,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A3FOKP72T5I4FR,32,1,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A3FOKP72T5I4FR,33,7,plaus,36,The dog is licking the girl on the face.
1,yes,{},USA,A3FOKP72T5I4FR,34,1,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A3FOKP72T5I4FR,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A3FOKP72T5I4FR,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A3FOKP72T5I4FR,37,1,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A3FOKP72T5I4FR,38,1,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A3FOKP72T5I4FR,39,1,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A3FOKP72T5I4FR,40,4,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A3FOKP72T5I4FR,41,7,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A3FOKP72T5I4FR,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A3K9GTQBOI7O5A,1,1,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A3K9GTQBOI7O5A,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A3K9GTQBOI7O5A,3,7,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A3K9GTQBOI7O5A,4,7,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A3K9GTQBOI7O5A,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A3K9GTQBOI7O5A,6,7,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A3K9GTQBOI7O5A,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A3K9GTQBOI7O5A,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A3K9GTQBOI7O5A,9,5,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A3K9GTQBOI7O5A,10,5,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A3K9GTQBOI7O5A,11,5,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A3K9GTQBOI7O5A,12,7,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A3K9GTQBOI7O5A,13,3,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A3K9GTQBOI7O5A,14,1,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A3K9GTQBOI7O5A,15,7,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A3K9GTQBOI7O5A,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A3K9GTQBOI7O5A,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A3K9GTQBOI7O5A,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A3K9GTQBOI7O5A,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A3K9GTQBOI7O5A,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A3K9GTQBOI7O5A,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A3K9GTQBOI7O5A,22,3,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A3K9GTQBOI7O5A,23,7,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A3K9GTQBOI7O5A,24,2,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A3K9GTQBOI7O5A,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A3K9GTQBOI7O5A,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A3K9GTQBOI7O5A,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A3K9GTQBOI7O5A,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A3K9GTQBOI7O5A,29,2,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A3K9GTQBOI7O5A,30,6,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A3K9GTQBOI7O5A,31,7,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A3K9GTQBOI7O5A,32,2,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A3K9GTQBOI7O5A,33,7,plaus,36,The dog is licking the girl on the face.
1,yes,{},USA,A3K9GTQBOI7O5A,34,3,implaus,40,The lady is opening the door for the chauffeur.
1,yes,{},USA,A3K9GTQBOI7O5A,35,7,implaus,42,Please select the rightmost response option.
1,yes,{},USA,A3K9GTQBOI7O5A,36,7,plaus,32,The relative is bringing flowers to the patient.
1,yes,{},USA,A3K9GTQBOI7O5A,37,5,implaus,26,The queen is bowing to the peasant.
1,yes,{},USA,A3K9GTQBOI7O5A,38,3,implaus,39,The grandmother is saving the lifeguard.
1,yes,{},USA,A3K9GTQBOI7O5A,39,7,implaus,31,The patient is pushing the visitor.
1,yes,{},USA,A3K9GTQBOI7O5A,40,7,implaus,28,The son is tying the father's shoes.
1,yes,{},USA,A3K9GTQBOI7O5A,41,7,plaus,10,The jester is entertaining the king.
1,yes,{},USA,A3K9GTQBOI7O5A,42,7,plaus,34,The dog is leading the blind person.
1,yes,{},USA,A2OVWCQ4B9AHFY,1,1,implaus,17,The woman is biting the vampire.
1,yes,{},USA,A2OVWCQ4B9AHFY,2,7,plaus,23,The judge is sentencing the criminal.
1,yes,{},USA,A2OVWCQ4B9AHFY,3,7,implaus,20,The lady is cooking for the chef.
1,yes,{},USA,A2OVWCQ4B9AHFY,4,7,implaus,3,The patient is using a stethoscope on the doctor.
1,yes,{},USA,A2OVWCQ4B9AHFY,5,7,plaus,14,The priest is blessing the bride.
1,yes,{},USA,A2OVWCQ4B9AHFY,6,7,implaus,8,The businessman is painting the artist.
1,yes,{},USA,A2OVWCQ4B9AHFY,7,7,plaus,18,The waiter is serving the customer.
1,yes,{},USA,A2OVWCQ4B9AHFY,8,7,plaus,2,The babysitter is scolding the child.
1,yes,{},USA,A2OVWCQ4B9AHFY,9,6,implaus,19,The beggar is giving money to the lawyer.
1,yes,{},USA,A2OVWCQ4B9AHFY,10,7,plaus,7,The mother is feeding the baby.
1,yes,{},USA,A2OVWCQ4B9AHFY,11,1,implaus,6,The girl is frightening the ghost.
1,yes,{},USA,A2OVWCQ4B9AHFY,12,7,implaus,33,The worker is yelling at the boss.
1,yes,{},USA,A2OVWCQ4B9AHFY,13,2,implaus,1,The criminal is arresting the cop.
1,yes,{},USA,A2OVWCQ4B9AHFY,14,5,implaus,35,The woman is preventing the bouncer from entering.
1,yes,{},USA,A2OVWCQ4B9AHFY,15,2,plaus,25,Santa is giving the girl a present.
1,yes,{},USA,A2OVWCQ4B9AHFY,16,7,plaus,16,The professor is lecturing to the student.
1,yes,{},USA,A2OVWCQ4B9AHFY,17,7,plaus,4,The fireman is rescuing the grandmother.
1,yes,{},USA,A2OVWCQ4B9AHFY,18,1,implaus,15,The snorkeler is biting the shark.
1,yes,{},USA,A2OVWCQ4B9AHFY,19,7,plaus,12,The photographer is taking a picture of the model.
1,yes,{},USA,A2OVWCQ4B9AHFY,20,1,plaus,41,Please select the leftmost response option.
1,yes,{},USA,A2OVWCQ4B9AHFY,21,7,plaus,5,The dentist is treating the patient.
1,yes,{},USA,A2OVWCQ4B9AHFY,22,7,implaus,24,The child is pulling the father on the sled.
1,yes,{},USA,A2OVWCQ4B9AHFY,23,7,plaus,30,The cat is chasing the mouse.
1,yes,{},USA,A2OVWCQ4B9AHFY,24,3,implaus,13,The princess is kidnapping the pirate.
1,yes,{},USA,A2OVWCQ4B9AHFY,25,7,plaus,27,The lady is applauding the athlete.
1,yes,{},USA,A2OVWCQ4B9AHFY,26,7,plaus,29,The thief is stealing the purse from the grandma.
1,yes,{},USA,A2OVWCQ4B9AHFY,27,7,plaus,21,The ballerina is dancing for the grandpa.
1,yes,{},USA,A2OVWCQ4B9AHFY,28,7,plaus,38,The tailor is measuring the princess.
1,yes,{},USA,A2OVWCQ4B9AHFY,29,6,implaus,22,The sportsstar is interviewing the journalist.
1,yes,{},USA,A2OVWCQ4B9AHFY,30,7,implaus,37,The woman is proposing to the man.
1,yes,{},USA,A2OVWCQ4B9AHFY,31,7,plaus,9,The groom is carrying the bride.
1,yes,{},USA,A2OVWCQ4B9AHFY,32,2,implaus,11,The Safari guide is pouncing on the lion.
1,yes,{},USA,A2OVWCQ4B9AHFY,33,7,plaus,36,The dog is licking the girl on the face.
