"ItemNum","Sentence","Plausibility","Voice","TrialType","SynonymPair","NumSyn"
"16","The desk organized the secretary.","Implausible","active","AI",8,"Version1"
"16","The desk was organized by the secretary.","Plausible","passive","AI",8,"Version1"
"16","The secretary was organized by the desk.","Implausible","passive","AI",8,"Version1"
"17","The receptionist tidied the table.","Plausible","active","AI",8,"Version2"
"17","The table tidied the receptionist.","Implausible","active","AI",8,"Version2"
"17","The table was tidied by the receptionist.","Plausible","passive","AI",8,"Version2"
"17","The receptionist was tidied by the table.","Implausible","passive","AI",8,"Version2"
"18","The pilot steered the airplane.","Plausible","active","AI",9,"Version1"
"18","The airplane steered the pilot.","Implausible","active","AI",9,"Version1"
"18","The airplane was steered by the pilot.","Plausible","passive","AI",9,"Version1"
"18","The pilot was steered by the airplane.","Implausible","passive","AI",9,"Version1"
"19","The aviator maneuvered the jet.","Plausible","active","AI",9,"Version2"
"19","The jet maneuvered the aviator.","Implausible","active","AI",9,"Version2"
"19","The jet was maneuvered by the aviator.","Plausible","passive","AI",9,"Version2"
"19","The aviator was maneuvered by the jet.","Implausible","passive","AI",9,"Version2"
"20","The chef sauteed the squid.","Plausible","active","AI",10,"Version1"
"20","The squid sauteed the chef.","Implausible","active","AI",10,"Version1"
"20","The squid was sauteed by the chef.","Plausible","passive","AI",10,"Version1"
"20","The chef was sauteed by the squid.","Implausible","passive","AI",10,"Version1"
"21","The cook grilled the octopus.","Plausible","active","AI",10,"Version2"
"21","The octopus grilled the cook.","Implausible","active","AI",10,"Version2"
"21","The octopus was grilled by the cook.","Plausible","passive","AI",10,"Version2"
"21","The cook was grilled by the octopus.","Implausible","passive","AI",10,"Version2"
"22","The ship captain promised the triumph.","Plausible","active","AI",11,"Version1"
"22","The triumph promised the ship captain.","Implausible","active","AI",11,"Version1"
"22","The triumph was promised by the ship captain.","Plausible","passive","AI",11,"Version1"
"22","The ship captain was promised by the triumph.","Implausible","passive","AI",11,"Version1"
"23","The skipper guaranteed the victory.","Plausible","active","AI",11,"Version2"
"23","The victory guaranteed the skipper.","Implausible","active","AI",11,"Version2"
"23","The victory was guaranteed by the skipper.","Plausible","passive","AI",11,"Version2"
"23","The skipper was guaranteed by the victory.","Implausible","passive","AI",11,"Version2"
"24","The milliner adorned the fedora.","Plausible","active","AI",12,"Version1"
"24","The fedora adorned the milliner.","Implausible","active","AI",12,"Version1"
"24","The fedora was adorned by the milliner.","Plausible","passive","AI",12,"Version1"
"24","The milliner was adorned by the fedora.","Implausible","passive","AI",12,"Version1"
"25","The hatter decorated the bowler.","Plausible","active","AI",12,"Version2"
"25","The bowler decorated the hatter.","Implausible","active","AI",12,"Version2"
"25","The bowler was decorated by the hatter.","Plausible","passive","AI",12,"Version2"
"25","The hatter was decorated by the bowler.","Implausible","passive","AI",12,"Version2"
"26","The serviceman hoisted the flag.","Plausible","active","AI",13,"Version1"
"26","The flag hoisted the serviceman.","Implausible","active","AI",13,"Version1"
"26","The flag was hoisted by the serviceman.","Plausible","passive","AI",13,"Version1"
"26","The serviceman was hoisted by the flag.","Implausible","passive","AI",13,"Version1"
"27","The soldier raised the banner.","Plausible","active","AI",13,"Version2"
"27","The banner raised the soldier.","Implausible","active","AI",13,"Version2"
"27","The banner was raised by the soldier.","Plausible","passive","AI",13,"Version2"
"27","The soldier was raised by the banner.","Implausible","passive","AI",13,"Version2"
"28","The agent failed the mission.","Plausible","active","AI",14,"Version1"
"28","The mission failed the agent.","Implausible","active","AI",14,"Version1"
"28","The mission was failed by the agent.","Plausible","passive","AI",14,"Version1"
"28","The agent was failed by the mission.","Implausible","passive","AI",14,"Version1"
"29","The operative blew the assignment.","Plausible","active","AI",14,"Version2"
"29","The assignment blew the operative.","Implausible","active","AI",14,"Version2"
"29","The assignment was blown by the operative.","Plausible","passive","AI",14,"Version2"
"29","The operative was blown by the assignment.","Implausible","passive","AI",14,"Version2"
"30","The anchorman garbled the expression.","Plausible","active","AI",15,"Version1"
"30","The expression garbled the anchorman.","Implausible","active","AI",15,"Version1"
"30","The expression was garbled by the anchorman.","Plausible","passive","AI",15,"Version1"
"30","The anchorman was garbled by the expression.","Implausible","passive","AI",15,"Version1"
"31","The announcer mispronounced the word.","Plausible","active","AI",15,"Version2"
"31","The word mispronounced the announcer.","Implausible","active","AI",15,"Version2"
"31","The word was mispronounced by the announcer.","Plausible","passive","AI",15,"Version2"
"31","The announcer was mispronounced by the word.","Implausible","passive","AI",15,"Version2"
"32","The author finished the novel.","Plausible","active","AI",16,"Version1"
"32","The novel finished the author.","Implausible","active","AI",16,"Version1"
"32","The novel was finished by the author.","Plausible","passive","AI",16,"Version1"
"32","The author was finished by the novel.","Implausible","passive","AI",16,"Version1"
"33","The writer completed the book.","Plausible","active","AI",16,"Version2"
"33","The book completed the writer.","Implausible","active","AI",16,"Version2"
"33","The book was completed by the writer.","Plausible","passive","AI",16,"Version2"
"33","The writer was completed by the book.","Implausible","passive","AI",16,"Version2"
"34","The financier sponsored the project.","Plausible","active","AI",17,"Version1"
"34","The project sponsored the financier.","Implausible","active","AI",17,"Version1"
"34","The project was sponsored by the financier.","Plausible","passive","AI",17,"Version1"
"34","The financier was sponsored by the project.","Implausible","passive","AI",17,"Version1"
"35","The banker funded the program.","Plausible","active","AI",17,"Version2"
"35","The program funded the banker.","Implausible","active","AI",17,"Version2"
"35","The program was funded by the banker.","Plausible","passive","AI",17,"Version2"
"35","The banker was funded by the program.","Implausible","passive","AI",17,"Version2"
"36","The tourist exited the bus.","Plausible","active","AI",18,"Version1"
"36","The bus exited the tourist.","Implausible","active","AI",18,"Version1"
"36","The bus was exited by the tourist.","Plausible","passive","AI",18,"Version1"
"36","The tourist was exited by the bus.","Implausible","passive","AI",18,"Version1"
"37","The vacationer left the shuttle.","Plausible","active","AI",18,"Version2"
"37","The shuttle left the vacationer.","Implausible","active","AI",18,"Version2"
"37","The shuttle was left by the vacationer.","Plausible","passive","AI",18,"Version2"
"37","The vacationer was left by the shuttle.","Implausible","passive","AI",18,"Version2"
"38","The dietitian loathed the jam.","Plausible","active","AI",19,"Version1"
"38","The jam loathed the dietitian.","Implausible","active","AI",19,"Version1"
"38","The jam was loathed by the dietitian.","Plausible","passive","AI",19,"Version1"
"38","The dietitian was loathed by the jam.","Implausible","passive","AI",19,"Version1"
"39","The nutritionist detested the marmalade.","Plausible","active","AI",19,"Version2"
"39","The marmalade detested the nutritionist.","Implausible","active","AI",19,"Version2"
"39","The marmalade was detested by the nutritionist.","Plausible","passive","AI",19,"Version2"
"39","The nutritionist was detested by the marmalade.","Implausible","passive","AI",19,"Version2"
"40","The scientist discovered the cure.","Plausible","active","AI",20,"Version1"
"40","The cure discovered the scientist.","Implausible","active","AI",20,"Version1"
"40","The cure was discovered by the scientist.","Plausible","passive","AI",20,"Version1"
"40","The scientist was discovered by the cure.","Implausible","passive","AI",20,"Version1"
"41","The researcher found the remedy.","Plausible","active","AI",20,"Version2"
"41","The remedy found the researcher.","Implausible","active","AI",20,"Version2"
"41","The remedy was found by the researcher.","Plausible","passive","AI",20,"Version2"
"41","The researcher was found by the remedy.","Implausible","passive","AI",20,"Version2"
"42","The doctor closed the school.","Plausible","active","AI",NA,NA
"42","The school closed the doctor.","Implausible","active","AI",NA,NA
"42","The school was closed by the doctor.","Plausible","passive","AI",NA,NA
"42","The doctor was closed by the school.","Implausible","passive","AI",NA,NA
"43","The maid lifted the cushion.","Plausible","active","AI",NA,NA
"43","The cushion lifted the maid.","Implausible","active","AI",NA,NA
"43","The cushion was lifted by the maid.","Plausible","passive","AI",NA,NA
"43","The maid was lifted by the cushion.","Implausible","passive","AI",NA,NA
"48","The servant wiped the sink.","Plausible","active","AI",23,"Version1"
"48","The sink wiped the servant.","Implausible","active","AI",23,"Version1"
"48","The sink was wiped by the servant.","Plausible","passive","AI",23,"Version1"
"48","The servant was wiped by the sink.","Implausible","passive","AI",23,"Version1"
"49","The domestic cleaned the wash basin.","Plausible","active","AI",23,"Version2"
"49","The wash basin cleaned the domestic.","Implausible","active","AI",23,"Version2"
"49","The wash basin was cleaned by the domestic.","Plausible","passive","AI",23,"Version2"
"49","The domestic was cleaned by the wash basin.","Implausible","passive","AI",23,"Version2"
"50","The friend donned the pullover.","Plausible","active","AI",NA,NA
"50","The pullover donned the friend.","Implausible","active","AI",NA,NA
"50","The pullover was donned by the friend.","Plausible","passive","AI",NA,NA
"50","The friend was donned by the pullover.","Implausible","passive","AI",NA,NA
"51","The convalescent took the pill.","Plausible","active","AI",24,"Version1"
"51","The pill took the convalescent.","Implausible","active","AI",24,"Version1"
"51","The pill was taken by the convalescent.","Plausible","passive","AI",24,"Version1"
"51","The convalescent was taken by the pill.","Implausible","passive","AI",24,"Version1"
"52","The patient swallowed the medicine.","Plausible","active","AI",24,"Version2"
"52","The medicine swallowed the patient.","Implausible","active","AI",24,"Version2"
"52","The medicine was swallowed by the patient.","Plausible","passive","AI",24,"Version2"
"52","The patient was swallowed by the medicine.","Implausible","passive","AI",24,"Version2"
"53","The hoarder hid the stash.","Plausible","active","AI",25,"Version1"
"53","The stash hid the hoarder.","Implausible","active","AI",25,"Version1"
"53","The stash was hidden by the hoarder.","Plausible","passive","AI",25,"Version1"
"53","The hoarder was hidden by the stash.","Implausible","passive","AI",25,"Version1"
"54","The packrat concealed the stockpile.","Plausible","active","AI",25,"Version2"
"54","The stockpile concealed the packrat.","Implausible","active","AI",25,"Version2"
"54","The stockpile was concealed by the packrat.","Plausible","passive","AI",25,"Version2"
"54","The packrat was concealed by the stockpile.","Implausible","passive","AI",25,"Version2"
"55","The reporter abandoned the story.","Plausible","active","AI",26,"Version1"
"55","The story abandoned the reporter.","Implausible","active","AI",26,"Version1"
"55","The story was abandoned by the reporter.","Plausible","passive","AI",26,"Version1"
"55","The reporter was abandoned by the story.","Implausible","passive","AI",26,"Version1"
"56","The journalist ditched the article.","Plausible","active","AI",26,"Version2"
"56","The article ditched the journalist.","Implausible","active","AI",26,"Version2"
"56","The article was ditched by the journalist.","Plausible","passive","AI",26,"Version2"
"56","The journalist was ditched by the article.","Implausible","passive","AI",26,"Version2"
"57","The carnivore ate the steak.","Plausible","active","AI",27,"Version1"
"57","The steak ate the carnivore.","Implausible","active","AI",27,"Version1"
"57","The steak was eaten by the carnivore.","Plausible","passive","AI",27,"Version1"
"57","The carnivore was eaten by the steak.","Implausible","passive","AI",27,"Version1"
"58","The meat-eater devoured the filet.","Plausible","active","AI",27,"Version2"
"58","The filet devoured the meat-eater.","Implausible","active","AI",27,"Version2"
"58","The filet was devoured by the meat-eater.","Plausible","passive","AI",27,"Version2"
"58","The meat-eater was devoured by the filet.","Implausible","passive","AI",27,"Version2"
"59","The man drank the soda.","Plausible","active","AI",NA,NA
"59","The soda drank the man.","Implausible","active","AI",NA,NA
"59","The soda was drunk by the man.","Plausible","passive","AI",NA,NA
"59","The man was drunk by the soda.","Implausible","passive","AI",NA,NA
"60","The teacher bought the laptop.","Plausible","active","AI",28,"Version1"
"60","The laptop bought the teacher.","Implausible","active","AI",28,"Version1"
"60","The laptop was bought by the teacher.","Plausible","passive","AI",28,"Version1"
"60","The teacher was bought by the laptop.","Implausible","passive","AI",28,"Version1"
"61","The instructor purchased the computer.","Plausible","active","AI",28,"Version2"
"61","The computer purchased the instructor.","Implausible","active","AI",28,"Version2"
"61","The computer was purchased by the instructor.","Plausible","passive","AI",28,"Version2"
"61","The instructor was purchased by the computer.","Implausible","passive","AI",28,"Version2"
"62","The lady cooked the supper.","Plausible","active","AI",29,"Version1"
"62","The supper cooked the lady.","Implausible","active","AI",29,"Version1"
"62","The supper was cooked by the lady.","Plausible","passive","AI",29,"Version1"
"62","The lady was cooked by the supper.","Implausible","passive","AI",29,"Version1"
"63","The woman prepared the dinner.","Plausible","active","AI",29,"Version2"
"63","The dinner prepared the woman.","Implausible","active","AI",29,"Version2"
"63","The dinner was prepared by the woman.","Plausible","passive","AI",29,"Version2"
"63","The woman was prepared by the dinner.","Implausible","passive","AI",29,"Version2"
"64","The traveler lost the souvenir.","Plausible","active","AI",30,"Version1"
"64","The souvenir lost the traveler.","Implausible","active","AI",30,"Version1"
"64","The souvenir was lost by the traveler.","Plausible","passive","AI",30,"Version1"
"64","The traveler was lost by the souvenir.","Implausible","passive","AI",30,"Version1"
"65","The sightseer misplaced the memento.","Plausible","active","AI",30,"Version2"
"65","The memento misplaced the sightseer.","Implausible","active","AI",30,"Version2"
"65","The memento was misplaced by the sightseer.","Plausible","passive","AI",30,"Version2"
"65","The sightseer was misplaced by the memento.","Implausible","passive","AI",30,"Version2"
"66","The comedian confirmed the itinerary.","Plausible","active","AI",31,"Version1"
"66","The itinerary confirmed the comedian.","Implausible","active","AI",31,"Version1"
"66","The itinerary was confirmed by the comedian.","Plausible","passive","AI",31,"Version1"
"66","The comedian was confirmed by the itinerary.","Implausible","passive","AI",31,"Version1"
"67","The humorist verified the schedule.","Plausible","active","AI",31,"Version2"
"67","The schedule verified the humorist.","Implausible","active","AI",31,"Version2"
"67","The schedule was verified by the humorist.","Plausible","passive","AI",31,"Version2"
"67","The humorist was verified by the schedule.","Implausible","passive","AI",31,"Version2"
"68","The woodworker skimmed the brochure.","Plausible","active","AI",NA,NA
"68","The brochure skimmed the woodworker.","Implausible","active","AI",NA,NA
"68","The brochure was skimmed by the woodworker.","Plausible","passive","AI",NA,NA
"68","The woodworker was skimmed by the brochure.","Implausible","passive","AI",NA,NA
"69","The guide reached the target.","Plausible","active","AI",NA,NA
"69","The target reached the guide.","Implausible","active","AI",NA,NA
"69","The target was reached by the guide.","Plausible","passive","AI",NA,NA
"69","The guide was reached by the target.","Implausible","passive","AI",NA,NA
"70","The townsperson farmed the grain.","Plausible","active","AI",32,"Version1"
"70","The grain farmed the townsperson.","Implausible","active","AI",32,"Version1"
"70","The grain was farmed by the townsperson.","Plausible","passive","AI",32,"Version1"
"70","The townsperson was farmed by the grain.","Implausible","passive","AI",32,"Version1"
"71","The villager cultivated the crop.","Plausible","active","AI",32,"Version2"
"71","The crop cultivated the villager.","Implausible","active","AI",32,"Version2"
"71","The crop was cultivated by the villager.","Plausible","passive","AI",32,"Version2"
"71","The villager was cultivated by the crop.","Implausible","passive","AI",32,"Version2"
"72","The mentor revised the manuscript.","Plausible","active","AI",33,"Version1"
"72","The manuscript revised the mentor.","Implausible","active","AI",33,"Version1"
"72","The manuscript was revised by the mentor.","Plausible","passive","AI",33,"Version1"
"72","The mentor was revised by the manuscript.","Implausible","passive","AI",33,"Version1"
"73","The advisor edited the paper.","Plausible","active","AI",33,"Version2"
"73","The paper edited the advisor.","Implausible","active","AI",33,"Version2"
"73","The paper was edited by the advisor.","Plausible","passive","AI",33,"Version2"
"73","The advisor was edited by the paper.","Implausible","passive","AI",33,"Version2"
"74","The accountant made the chart.","Plausible","active","AI",34,"Version1"
"74","The chart made the accountant.","Implausible","active","AI",34,"Version1"
"74","The chart was made by the accountant.","Plausible","passive","AI",34,"Version1"
"74","The accountant was made by the chart.","Implausible","passive","AI",34,"Version1"
"75","The bookkeeper created the graph.","Plausible","active","AI",34,"Version2"
"75","The graph created the bookkeeper.","Implausible","active","AI",34,"Version2"
"75","The graph was created by the bookkeeper.","Plausible","passive","AI",34,"Version2"
"75","The bookkeeper was created by the graph.","Implausible","passive","AI",34,"Version2"
"76","The logger felled the pine tree.","Plausible","active","AI",NA,NA
"76","The pine tree felled the logger.","Implausible","active","AI",NA,NA
"76","The pine tree was felled by the logger.","Plausible","passive","AI",NA,NA
"76","The logger was felled by the pine tree.","Implausible","passive","AI",NA,NA
"77","The tycoon ran the company.","Plausible","active","AI",35,"Version1"
"77","The company ran the tycoon.","Implausible","active","AI",35,"Version1"
"77","The company was run by the tycoon.","Plausible","passive","AI",35,"Version1"
"77","The tycoon was run by the company.","Implausible","passive","AI",35,"Version1"
"78","The mogul governed the corporation.","Plausible","active","AI",35,"Version2"
"78","The corporation governed the mogul.","Implausible","active","AI",35,"Version2"
"78","The corporation was governed by the mogul.","Plausible","passive","AI",35,"Version2"
"78","The mogul was governed by the corporation.","Implausible","passive","AI",35,"Version2"
"79","The campaigner biased the ballot.","Plausible","active","AI",36,"Version1"
"79","The ballot biased the campaigner.","Implausible","active","AI",36,"Version1"
"79","The ballot was biased by the campaigner.","Plausible","passive","AI",36,"Version1"
"79","The campaigner was biased by the ballot.","Implausible","passive","AI",36,"Version1"
"80","The activist prejudiced the vote.","Plausible","active","AI",36,"Version2"
"80","The vote prejudiced the activist.","Implausible","active","AI",36,"Version2"
"80","The vote was prejudiced by the activist.","Plausible","passive","AI",36,"Version2"
"80","The activist was prejudiced by the vote.","Implausible","passive","AI",36,"Version2"
"81","The stewardess pulled the suitcase.","Plausible","active","AI",37,"Version1"
"81","The suitcase pulled the stewardess.","Implausible","active","AI",37,"Version1"
"81","The suitcase was pulled by the stewardess.","Plausible","passive","AI",37,"Version1"
"81","The stewardess was pulled by the suitcase.","Implausible","passive","AI",37,"Version1"
"82","The flight-attendant dragged the luggage.","Plausible","active","AI",37,"Version2"
"82","The luggage dragged the flight-attendant.","Implausible","active","AI",37,"Version2"
"82","The luggage was dragged by the flight-attendant.","Plausible","passive","AI",37,"Version2"
"82","The flight-attendant was dragged by the luggage.","Implausible","passive","AI",37,"Version2"
"83","The congressman delivered the speech.","Plausible","active","AI",38,"Version1"
"83","The speech delivered the congressman.","Implausible","active","AI",38,"Version1"
"83","The speech was delivered by the congressman.","Plausible","passive","AI",38,"Version1"
"83","The congressman was delivered by the speech.","Implausible","passive","AI",38,"Version1"
"84","The representative gave the address.","Plausible","active","AI",38,"Version2"
"84","The address gave the representative.","Implausible","active","AI",38,"Version2"
"84","The address was given by the representative.","Plausible","passive","AI",38,"Version2"
"84","The representative was given by the address.","Implausible","passive","AI",38,"Version2"
"85","The sheriff inspected the estate.","Plausible","active","AI",39,"Version1"
"85","The estate inspected the sheriff.","Implausible","active","AI",39,"Version1"
"85","The estate was inspected by the sheriff.","Plausible","passive","AI",39,"Version1"
"85","The sheriff was inspected by the estate.","Implausible","passive","AI",39,"Version1"
"86","The constable examined the property.","Plausible","active","AI",39,"Version2"
"86","The property examined the constable.","Implausible","active","AI",39,"Version2"
"86","The property was examined by the constable.","Plausible","passive","AI",39,"Version2"
"86","The constable was examined by the property.","Implausible","passive","AI",39,"Version2"
"87","The celebrity signed the photograph.","Plausible","active","AI",40,"Version1"
"87","The photograph signed the celebrity.","Implausible","active","AI",40,"Version1"
"87","The photograph was signed by the celebrity.","Plausible","passive","AI",40,"Version1"
"87","The celebrity was signed by the photograph.","Implausible","passive","AI",40,"Version1"
"88","The star autographed the picture.","Plausible","active","AI",40,"Version2"
"88","The picture autographed the star.","Implausible","active","AI",40,"Version2"
"88","The picture was autographed by the star.","Plausible","passive","AI",40,"Version2"
"88","The star was autographed by the picture.","Implausible","passive","AI",40,"Version2"
"89","The nanny tutored the boy.","Plausible","active","AAN",41,"Version1"
"89","The boy tutored the nanny.","Implausible","active","AAN",41,"Version1"
"89","The boy was tutored by the nanny.","Plausible","passive","AAN",41,"Version1"
"89","The nanny was tutored by the boy.","Implausible","passive","AAN",41,"Version1"
"90","The governess instructed the lad.","Plausible","active","AAN",41,"Version2"
"90","The lad instructed the governess.","Implausible","active","AAN",41,"Version2"
"90","The lad was instructed by the governess.","Plausible","passive","AAN",41,"Version2"
"90","The governess was instructed by the lad.","Implausible","passive","AAN",41,"Version2"
"91","The blackmailer threatened the senator.","Plausible","active","AAN",42,"Version1"
"91","The senator threatened the blackmailer.","Implausible","active","AAN",42,"Version1"
"91","The senator was threatened by the blackmailer.","Plausible","passive","AAN",42,"Version1"
"91","The blackmailer was threatened by the senator.","Implausible","passive","AAN",42,"Version1"
"92","The extortionist menaced the legislator.","Plausible","active","AAN",42,"Version2"
"92","The legislator menaced the extortionist.","Implausible","active","AAN",42,"Version2"
"92","The legislator was menaced by the extortionist.","Plausible","passive","AAN",42,"Version2"
"92","The extortionist was menaced by the legislator.","Implausible","passive","AAN",42,"Version2"
"93","The artist portrayed the philosopher.","Plausible","active","AAN",43,"Version1"
"93","The philosopher portrayed the artist.","Implausible","active","AAN",43,"Version1"
"93","The philosopher was portrayed by the artist.","Plausible","passive","AAN",43,"Version1"
"93","The artist was portrayed by the philosopher.","Implausible","passive","AAN",43,"Version1"
"94","The painter depicted the thinker.","Plausible","active","AAN",43,"Version2"
"94","The thinker depicted the painter.","Implausible","active","AAN",43,"Version2"
"94","The thinker was depicted by the painter.","Plausible","passive","AAN",43,"Version2"
"94","The painter was depicted by the thinker.","Implausible","passive","AAN",43,"Version2"
"95","The mechanic berated the intern.","Plausible","active","AAN",44,"Version1"
"95","The intern berated the mechanic.","Implausible","active","AAN",44,"Version1"
"95","The intern was berated by the mechanic.","Plausible","passive","AAN",44,"Version1"
"95","The mechanic was berated by the intern.","Implausible","passive","AAN",44,"Version1"
"96","The technician rebuked the aide.","Plausible","active","AAN",44,"Version2"
"96","The aide rebuked the technician.","Implausible","active","AAN",44,"Version2"
"96","The aide was rebuked by the technician.","Plausible","passive","AAN",44,"Version2"
"96","The technician was rebuked by the aide.","Implausible","passive","AAN",44,"Version2"
"97","The fairy enchanted the troll.","Plausible","active","AAN",45,"Version1"
"97","The troll enchanted the fairy.","Implausible","active","AAN",45,"Version1"
"97","The troll was enchanted by the fairy.","Plausible","passive","AAN",45,"Version1"
"97","The fairy was enchanted by the troll.","Implausible","passive","AAN",45,"Version1"
"98","The pixie mesmerized the ogre.","Plausible","active","AAN",45,"Version2"
"98","The ogre mesmerized the pixie.","Implausible","active","AAN",45,"Version2"
"98","The ogre was mesmerized by the pixie.","Plausible","passive","AAN",45,"Version2"
"98","The pixie was mesmerized by the ogre.","Implausible","passive","AAN",45,"Version2"
"99","The orderly assisted the dentist.","Plausible","active","AAN",46,"Version1"
"99","The dentist assisted the orderly.","Implausible","active","AAN",46,"Version1"
"99","The dentist was assisted by the orderly.","Plausible","passive","AAN",46,"Version1"
"99","The orderly was assisted by the dentist.","Implausible","passive","AAN",46,"Version1"
"100","The nurse helped the orthodontist.","Plausible","active","AAN",46,"Version2"
"100","The orthodontist helped the nurse.","Implausible","active","AAN",46,"Version2"
"100","The orthodontist was helped by the nurse.","Plausible","passive","AAN",46,"Version2"
"100","The nurse was helped by the orthodontist.","Implausible","passive","AAN",46,"Version2"
"101","The owner evicted the tenant.","Plausible","active","AAN",47,"Version1"
"101","The tenant evicted the owner.","Implausible","active","AAN",47,"Version1"
"101","The tenant was evicted by the owner.","Plausible","passive","AAN",47,"Version1"
"101","The owner was evicted by the tenant.","Implausible","passive","AAN",47,"Version1"
"103","The critic attacked the conservative.","Plausible","active","AAN",48,"Version1"
"103","The conservative attacked the critic.","Implausible","active","AAN",48,"Version1"
"103","The conservative was attacked by the critic.","Plausible","passive","AAN",48,"Version1"
"103","The critic was attacked by the conservative.","Implausible","passive","AAN",48,"Version1"
"104","The reviewer criticized the right-winger.","Plausible","active","AAN",48,"Version2"
"104","The right-winger criticized the reviewer.","Implausible","active","AAN",48,"Version2"
"104","The right-winger was criticized by the reviewer.","Plausible","passive","AAN",48,"Version2"
"104","The reviewer was criticized by the right-winger.","Implausible","passive","AAN",48,"Version2"
"105","The admirer badgered the director.","Plausible","active","AAN",49,"Version1"
"105","The director badgered the admirer.","Implausible","active","AAN",49,"Version1"
"105","The director was badgered by the admirer.","Plausible","passive","AAN",49,"Version1"
"105","The admirer was badgered by the director.","Implausible","passive","AAN",49,"Version1"
