"ItemNum","Sentence","Plausibility","Voice"
"29","The blacksmith poured the wine.","Implausible","active"
"30","The bodybuilder lifted the weight.","Plausible","active"
"30","The bodybuilder lifted the flag.","Implausible","active"
"31","The boss assigned the job.","Plausible","active"
"31","The boss assigned the medal.","Implausible","active"
"32","The boss promised the promotion.","Plausible","active"
"32","The boss promised the heaven.","Implausible","active"
"33","The botanist examined the plant.","Plausible","active"
"33","The botanist examined the tire.","Implausible","active"
"34","The boxer delivered the punch.","Plausible","active"
"34","The boxer delivered the drink.","Implausible","active"
"35","The breeder sold the dog.","Plausible","active"
"35","The breeder sold the cigarette.","Implausible","active"
"36","The burglar climbed the wall.","Plausible","active"
"36","The burglar climbed the rock.","Implausible","active"
"37","The businessman read the report.","Plausible","active"
"37","The businessman read the fable.","Implausible","active"
"38","The businessman tied the necktie.","Plausible","active"
"38","The businessman tied the prisoner.","Implausible","active"
"39","The businessman wore the tie.","Plausible","active"
"39","The businessman wore the uniform.","Implausible","active"
"40","The butcher carved the meat.","Plausible","active"
"40","The butcher carved the stone.","Implausible","active"
"41","The butcher cut the meat.","Plausible","active"
"41","The butcher cut the tree.","Implausible","active"
"42","The butcher sold the meat.","Plausible","active"
"42","The butcher sold the weapon.","Implausible","active"
"43","The butcher used the knife.","Plausible","active"
"43","The butcher used the camera.","Implausible","active"
"44","The cameraman recorded the video.","Plausible","active"
"44","The cameraman recorded the sale.","Implausible","active"
"45","The candidate celebrated the victory.","Plausible","active"
"45","The candidate celebrated the holiday.","Implausible","active"
"46","The carpenter fixed the chair.","Plausible","active"
"46","The carpenter fixed the shoe.","Implausible","active"
"47","The carpenter flipped the board.","Plausible","active"
"47","The carpenter flipped the hair.","Implausible","active"
"48","The carpenter grabbed the board.","Plausible","active"
"48","The carpenter grabbed the ball.","Implausible","active"
"49","The carver built the sculpture.","Plausible","active"
"49","The carver built the house.","Implausible","active"
"50","The cat chased the bird.","Plausible","active"
"50","The cat chased the kite.","Implausible","active"
"51","The cat drank the milk.","Plausible","active"
"51","The cat drank the coffee.","Implausible","active"
"52","The champion held the cup.","Plausible","active"
"52","The champion held the guitar.","Implausible","active"
"53","The chauffeur carried the passenger.","Plausible","active"
"53","The chauffeur carried the rifle.","Implausible","active"
"54","The cheerleader carried the flag.","Plausible","active"
"54","The cheerleader carried the rifle.","Implausible","active"
"55","The cheerleader performed the dance.","Plausible","active"
"55","The cheerleader performed the spell.","Implausible","active"
"56","The cheerleader shook the flag.","Plausible","active"
"56","The cheerleader shook the drink.","Implausible","active"
"57","The chemist mixed the substance.","Plausible","active"
"57","The chemist mixed the music.","Implausible","active"
"58","The chemist poured the compound.","Plausible","active"
"58","The chemist poured the juice.","Implausible","active"
"59","The chemist sold the drug.","Plausible","active"
"59","The chemist sold the dog.","Implausible","active"
"60","The child ate the candy.","Plausible","active"
"60","The child ate the bone.","Implausible","active"
"61","The child built the snowman.","Plausible","active"
"61","The child built the sculpture.","Implausible","active"
"62","The child celebrated the birthday.","Plausible","active"
"62","The child celebrated the victory.","Implausible","active"
"63","The child chased the toy.","Plausible","active"
"63","The child chased the thief.","Implausible","active"
"64","The child climbed the tree.","Plausible","active"
"64","The child climbed the mountain.","Implausible","active"
"65","The child crossed the park.","Plausible","active"
"65","The child crossed the river.","Implausible","active"
"66","The child cut the paper.","Plausible","active"
"66","The child cut the tree.","Implausible","active"
"67","The child drank the coke.","Plausible","active"
"67","The child drank the beer.","Implausible","active"
"68","The child drew the flower.","Plausible","active"
"68","The child drew the horse.","Implausible","active"
"69","The child enjoyed the ride.","Plausible","active"
"69","The child enjoyed the lecture.","Implausible","active"
"70","The child found the doll.","Plausible","active"
"70","The child found the corpse.","Implausible","active"
"71","The child grabbed the frisbee.","Plausible","active"
"71","The child grabbed the tyre.","Implausible","active"
"72","The child lent the pen.","Plausible","active"
"72","The child lent the car.","Implausible","active"
"73","The child opened the present.","Plausible","active"
"73","The child opened the congress.","Implausible","active"
"74","The child picked the flower.","Plausible","active"
"74","The child picked the investment.","Implausible","active"
"75","The child rode the bus.","Plausible","active"
"75","The child rode the bull.","Implausible","active"
"76","The child threw the ball.","Plausible","active"
"76","The child threw the bottle.","Implausible","active"
"77","The child threw the snowball.","Plausible","active"
"77","The child threw the spear.","Implausible","active"
"78","The child told the lie.","Plausible","active"
"78","The child told the verdict.","Implausible","active"
"79","The child visited the grandmother.","Plausible","active"
"79","The child visited the president.","Implausible","active"
"80","The child visited the zoo.","Plausible","active"
"80","The child visited the prisoner.","Implausible","active"
"81","The child wrote the conjugation.","Plausible","active"
"81","The child wrote the diagnosis.","Implausible","active"
"82","The climber climbed the rock.","Plausible","active"
"82","The climber climbed the staircase.","Implausible","active"
"83","The climber faced the wall.","Plausible","active"
"83","The climber faced the ocean.","Implausible","active"
"84","The climber used the rope.","Plausible","active"
"84","The climber used the blackboard.","Implausible","active"
"85","The coach checked the team.","Plausible","active"
"85","The coach checked the car.","Implausible","active"
"86","The cobbler fixed the shoe.","Plausible","active"
"86","The cobbler fixed the phone.","Implausible","active"
"87","The cobbler sewed the shoe.","Plausible","active"
"87","The cobbler sewed the parachute.","Implausible","active"
"88","The collector donated the painting.","Plausible","active"
"88","The collector donated the blood.","Implausible","active"
"89","The comedian entertained the audience.","Plausible","active"
"89","The comedian entertained the soldier.","Implausible","active"
"90","The confectioner decorated the cake.","Plausible","active"
"90","The confectioner decorated the tree.","Implausible","active"
"91","The confectioner spread the icing.","Plausible","active"
"91","The confectioner spread the cement.","Implausible","active"
"92","The cook bought the food.","Plausible","active"
"92","The cook bought the ticket.","Implausible","active"
"93","The cook checked the groceries.","Plausible","active"
"93","The cook checked the tire.","Implausible","active"
"94","The cook cleaned the fish.","Plausible","active"
"94","The cook cleaned the window.","Implausible","active"
"95","The cook cut the fish.","Plausible","active"
"95","The cook cut the grass.","Implausible","active"
"96","The cook flipped the pancake.","Plausible","active"
"96","The cook flipped the hair.","Implausible","active"
"97","The cook mixed the ingredient.","Plausible","active"
"97","The cook mixed the paint.","Implausible","active"
"98","The cowboy enjoyed the ride.","Plausible","active"
"98","The cowboy enjoyed the snack.","Implausible","active"
"99","The cowboy rode the bull.","Plausible","active"
"99","The cowboy rode the bike.","Implausible","active"
"100","The crew loaded the container.","Plausible","active"
"100","The crew loaded the stroller.","Implausible","active"
"101","The customer read the menu.","Plausible","active"
"101","The customer read the music.","Implausible","active"
"102","The cyclist completed the race.","Plausible","active"
"102","The cyclist completed the project.","Implausible","active"
"103","The cyclist fixed the bike.","Plausible","active"
"103","The cyclist fixed the hair.","Implausible","active"
"104","The cyclist rode the bike.","Plausible","active"
"104","The cyclist rode the skates.","Implausible","active"
"105","The dealer checked the car.","Plausible","active"
"105","The dealer checked the net.","Implausible","active"
"106","The dealer examined the car.","Plausible","active"
"106","The dealer examined the plant.","Implausible","active"
"107","The dealer sold the car.","Plausible","active"
"107","The dealer sold the meat.","Implausible","active"
"108","The deejay mixed the music.","Plausible","active"
"108","The deejay mixed the ingredient.","Implausible","active"
"109","The demonstrator carried the flag.","Plausible","active"
"109","The demonstrator carried the ball.","Implausible","active"
"110","The demonstrator signed the petition.","Plausible","active"
"110","The demonstrator signed the shirt.","Implausible","active"
"111","The demonstrator threw the stone.","Plausible","active"
"111","The demonstrator threw the frisbee.","Implausible","active"
"112","The diplomat carried the message.","Plausible","active"
"112","The diplomat carried the dog.","Implausible","active"
"113","The doctor helped the woman.","Plausible","active"
"113","The doctor helped the cook.","Implausible","active"
"114","The doctor offered the support.","Plausible","active"
"114","The doctor offered the breakfast.","Implausible","active"
"115","The doctor sewed the wound.","Plausible","active"
"115","The doctor sewed the shoe.","Implausible","active"
"116","The doctor used the stethoscope.","Plausible","active"
"116","The doctor used the shovel.","Implausible","active"
"117","The doctor visited the patient.","Plausible","active"
"117","The doctor visited the museum.","Implausible","active"
"118","The doctor wrote the diagnosis.","Plausible","active"
"118","The doctor wrote the conjugation.","Implausible","active"
"119","The dog ate the bone.","Plausible","active"
"119","The dog ate the plant.","Implausible","active"
"120","The dog carried the ball.","Plausible","active"
"120","The dog carried the flag.","Implausible","active"
"121","The dog caught the ball.","Plausible","active"
"121","The dog caught the wave.","Implausible","active"
"122","The dog chased the ball.","Plausible","active"
"122","The dog chased the tank.","Implausible","active"
"123","The dog dug the hole.","Plausible","active"
"123","The dog dug the grave.","Implausible","active"
"124","The dog fetched the ball.","Plausible","active"
"124","The dog fetched the tray.","Implausible","active"
"125","The dog pulled the sled.","Plausible","active"
"125","The dog pulled the trigger.","Implausible","active"
"126","The driver heard the horn.","Plausible","active"
"126","The driver heard the baby.","Implausible","active"
"127","The electrician checked the device.","Plausible","active"
"127","The electrician checked the rifle.","Implausible","active"
"128","The employee passed the report.","Plausible","active"
"128","The employee passed the rifle.","Implausible","active"
"129","The employer offered the job.","Plausible","active"
"129","The employer offered the candy.","Implausible","active"
"130","The engineer completed the project.","Plausible","active"
"130","The engineer completed the painting.","Implausible","active"
"131","The engineer drew the turbine.","Plausible","active"
"131","The engineer drew the flower.","Implausible","active"
"132","The farmer picked the vegetable.","Plausible","active"
"132","The farmer picked the killer.","Implausible","active"
"133","The farmer plowed the field.","Plausible","active"
"133","The farmer plowed the sand.","Implausible","active"
"134","The farmer sold the corn.","Plausible","active"
"134","The farmer sold the drug.","Implausible","active"
"135","The farmer sprayed the pesticide.","Plausible","active"
"135","The farmer sprayed the cream.","Implausible","active"
"136","The farmer used the shovel.","Plausible","active"
"136","The farmer used the computer.","Implausible","active"
"137","The fighter kicked the opponent.","Plausible","active"
"137","The fighter kicked the television.","Implausible","active"
"138","The firefighter fought the fire.","Plausible","active"
"138","The firefighter fought the crime.","Implausible","active"
"139","The fisherman caught the fish.","Plausible","active"
"139","The fisherman caught the ball.","Implausible","active"
"140","The fisherman checked the net.","Plausible","active"
"140","The fisherman checked the car.","Implausible","active"
"141","The fisherman sold the fish.","Plausible","active"
"141","The fisherman sold the drug.","Implausible","active"
"142","The florist sold the flower.","Plausible","active"
"142","The florist sold the bike.","Implausible","active"
"143","The footballer chased the ball.","Plausible","active"
"143","The footballer chased the toy.","Implausible","active"
"144","The footballer delivered the kick.","Plausible","active"
"144","The footballer delivered the lecture.","Implausible","active"
"145","The footballer hit the ball.","Plausible","active"
"145","The footballer hit the car.","Implausible","active"
"146","The footballer kicked the ball.","Plausible","active"
"146","The footballer kicked the vase.","Implausible","active"
"147","The footballer passed the ball.","Plausible","active"
"147","The footballer passed the knife.","Implausible","active"
"148","The gardener cut the grass.","Plausible","active"
"148","The gardener cut the fish.","Implausible","active"
"149","The gardener decorated the garden.","Plausible","active"
"149","The gardener decorated the book.","Implausible","active"
"150","The gardener gathered the grass.","Plausible","active"
"150","The gardener gathered the flag.","Implausible","active"
"151","The gardener pushed the mower.","Plausible","active"
"151","The gardener pushed the demonstrator.","Implausible","active"
"152","The general gathered the soldier.","Plausible","active"
"152","The general gathered the bread.","Implausible","active"
"153","The general sent the soldier.","Plausible","active"
"153","The general sent the postcard.","Implausible","active"
"154","The general won the battle.","Plausible","active"
"154","The general won the toy.","Implausible","active"
"155","The goalkeeper caught the ball.","Plausible","active"
"155","The goalkeeper caught the fish.","Implausible","active"
"156","The goalkeeper grabbed the ball.","Plausible","active"
"156","The goalkeeper grabbed the phone.","Implausible","active"
"157","The goalkeeper held the ball.","Plausible","active"
"157","The goalkeeper held the child.","Implausible","active"
"158","The goalkeeper threw the ball.","Plausible","active"
"158","The goalkeeper threw the bomb.","Implausible","active"
"159","The government offered the protection.","Plausible","active"
"159","The government offered the drink.","Implausible","active"
"160","The grandfather told the story.","Plausible","active"
"160","The grandfather told the strategy.","Implausible","active"
"161","The guard opened the jail.","Plausible","active"
"161","The guard opened the present.","Implausible","active"
"162","The guard tied the prisoner.","Plausible","active"
"162","The guard tied the roast.","Implausible","active"
"163","The guest held the drink.","Plausible","active"
"163","The guest held the camera.","Implausible","active"
"164","The guest hung the coat.","Plausible","active"
"164","The guest hung the laundry.","Implausible","active"
"165","The guide described the monument.","Plausible","active"
"165","The guide described the software.","Implausible","active"
"166","The hairstylist fixed the hair.","Plausible","active"
"166","The hairstylist fixed the bike.","Implausible","active"
"167","The hairstylist flipped the hair.","Plausible","active"
"167","The hairstylist flipped the board.","Implausible","active"
"168","The hairstylist sprayed the foam.","Plausible","active"
"168","The hairstylist sprayed the pesticide.","Implausible","active"
"169","The hairstylist washed the hair.","Plausible","active"
"169","The hairstylist washed the infant.","Implausible","active"
"170","The hiker faced the mountain.","Plausible","active"
"170","The hiker faced the camera.","Implausible","active"
"171","The horse drew the carriage.","Plausible","active"
"171","The horse drew the trailer.","Implausible","active"
"172","The horse moved the cart.","Plausible","active"
"172","The horse moved the suitcase.","Implausible","active"
"173","The horse pulled the cart.","Plausible","active"
"173","The horse pulled the suitcase.","Implausible","active"
"174","The hostess explained the procedure.","Plausible","active"
"174","The hostess explained the poem.","Implausible","active"
"175","The hound fetched the bird.","Plausible","active"
"175","The hound fetched the money.","Implausible","active"
"176","The housemaid cleaned the dish.","Plausible","active"
"176","The housemaid cleaned the fish.","Implausible","active"
"177","The housemaid cleaned the window.","Plausible","active"
"177","The housemaid cleaned the street.","Implausible","active"
"178","The housemaid mopped the floor.","Plausible","active"
"178","The housemaid mopped the barracks.","Implausible","active"
"179","The housemaid washed the floor.","Plausible","active"
"179","The housemaid washed the boat.","Implausible","active"
"180","The housewife cleaned the table.","Plausible","active"
"180","The housewife cleaned the shoe.","Implausible","active"
"181","The illusionist performed the trick.","Plausible","active"
"181","The illusionist performed the surgery.","Implausible","active"
"182","The illustrator decorated the book.","Plausible","active"
"182","The illustrator decorated the garden.","Implausible","active"
"183","The illustrator drew the picture.","Plausible","active"
"183","The illustrator drew the carriage.","Implausible","active"
"184","The investor rented the land.","Plausible","active"
"184","The investor rented the bicycle.","Implausible","active"
"185","The jockey rode the horse.","Plausible","active"
"185","The jockey rode the wave.","Implausible","active"
"186","The journalist carried the article.","Plausible","active"
"186","The journalist carried the milk.","Implausible","active"
"187","The journalist wrote the article.","Plausible","active"
"187","The journalist wrote the song.","Implausible","active"
"188","The killer pulled the trigger.","Plausible","active"
"188","The killer pulled the cart.","Implausible","active"
"189","The knight held the sword.","Plausible","active"
"189","The knight held the camera.","Implausible","active"
"190","The librarian climbed the ladder.","Plausible","active"
"190","The librarian climbed the tree.","Implausible","active"
"191","The librarian stacked the book.","Plausible","active"
"191","The librarian stacked the supply.","Implausible","active"
"192","The lumberjack cut the tree.","Plausible","active"
"192","The lumberjack cut the meat.","Implausible","active"
"193","The lumberjack stacked the wood.","Plausible","active"
"193","The lumberjack stacked the book.","Implausible","active"
"194","The lumberjack used the saw.","Plausible","active"
"194","The lumberjack used the lancet.","Implausible","active"
"195","The magician read the hand.","Plausible","active"
"195","The magician read the newspaper.","Implausible","active"
"196","The manager rented the room.","Plausible","active"
"196","The manager rented the kayak.","Implausible","active"
"197","The mason built the house.","Plausible","active"
"197","The mason built the snowman.","Implausible","active"
"198","The mason fixed the roof.","Plausible","active"
"198","The mason fixed the bike.","Implausible","active"
"199","The mason fixed the wall.","Plausible","active"
"199","The mason fixed the tire.","Implausible","active"
"200","The mason mixed the cement.","Plausible","active"
"200","The mason mixed the soup.","Implausible","active"
"201","The mechanic assembled the bicycle.","Plausible","active"
"201","The mechanic assembled the art.","Implausible","active"
"202","The mechanic checked the tire.","Plausible","active"
"202","The mechanic checked the groceries.","Implausible","active"
"203","The mechanic fixed the tire.","Plausible","active"
"203","The mechanic fixed the roof.","Implausible","active"
"204","The mechanic rented the truck.","Plausible","active"
"204","The mechanic rented the boat.","Implausible","active"
"205","The mechanic spread the coating.","Plausible","active"
"205","The mechanic spread the chocolate.","Implausible","active"
"206","The milkman carried the bottle.","Plausible","active"
"206","The milkman carried the flag.","Implausible","active"
"207","The model faced the camera.","Plausible","active"
"207","The model faced the mountain.","Implausible","active"
"208","The monkey grabbed the banana.","Plausible","active"
"208","The monkey grabbed the board.","Implausible","active"
"209","The mother decorated the house.","Plausible","active"
"209","The mother decorated the car.","Implausible","active"
"210","The mother held the child.","Plausible","active"
"210","The mother held the flag.","Implausible","active"
"211","The mother hung the laundry.","Plausible","active"
"211","The mother hung the rifle.","Implausible","active"
"212","The mother prepared the food.","Plausible","active"
"212","The mother prepared the gun.","Implausible","active"
"213","The mother pushed the stroller.","Plausible","active"
"213","The mother pushed the trash can.","Implausible","active"
"214","The mover moved the furniture.","Plausible","active"
"214","The mover moved the horse.","Implausible","active"
"215","The musician entertained the crowd.","Plausible","active"
"215","The musician entertained the demonstrator.","Implausible","active"
"216","The musician held the guitar.","Plausible","active"
"216","The musician held the stone.","Implausible","active"
"217","The musician played the song.","Plausible","active"
"217","The musician played the soccer.","Implausible","active"
"218","The musician read the music.","Plausible","active"
"218","The musician read the menu.","Implausible","active"
"219","The musician touched the instrument.","Plausible","active"
"219","The musician touched the base.","Implausible","active"
"220","The nanny heard the baby.","Plausible","active"
"220","The nanny heard the speech.","Implausible","active"
"221","The nanny watched the child.","Plausible","active"
"221","The nanny watched the landscape.","Implausible","active"
"222","The nurse handed the lancet.","Plausible","active"
"222","The nurse handed the hose.","Implausible","active"
"223","The nurse pushed the wheelchair.","Plausible","active"
"223","The nurse pushed the mower.","Implausible","active"
"224","The nurse washed the infant.","Plausible","active"
"224","The nurse washed the car.","Implausible","active"
"225","The painter completed the painting.","Plausible","active"
"225","The painter completed the race.","Implausible","active"
"226","The painter decorated the wall.","Plausible","active"
"226","The painter decorated the cake.","Implausible","active"
"227","The painter mixed the paint.","Plausible","active"
"227","The painter mixed the drink.","Implausible","active"
"228","The painter painted the picture.","Plausible","active"
"228","The painter painted the toenail.","Implausible","active"
"229","The painter signed the paint.","Plausible","active"
"229","The painter signed the agreement.","Implausible","active"
"230","The parent gave the present.","Plausible","active"
"230","The parent gave the gun.","Implausible","active"
"231","The passenger bought the ticket.","Plausible","active"
"231","The passenger bought the table.","Implausible","active"
"232","The passenger passed the check.","Plausible","active"
"232","The passenger passed the ball.","Implausible","active"
"233","The passenger pulled the suitcase.","Plausible","active"
"233","The passenger pulled the corpse.","Implausible","active"
"234","The patient fought the cancer.","Plausible","active"
"234","The patient fought the fire.","Implausible","active"
"235","The patient reported the symptom.","Plausible","active"
"235","The patient reported the crime.","Implausible","active"
"236","The philologist examined the book.","Plausible","active"
"236","The philologist examined the camera.","Implausible","active"
"237","The photographer captured the image.","Plausible","active"
"237","The photographer captured the thief.","Implausible","active"
"238","The photographer examined the camera.","Plausible","active"
"238","The photographer examined the dog.","Implausible","active"
"239","The photographer prepared the camera.","Plausible","active"
"239","The photographer prepared the food.","Implausible","active"
"240","The photographer used the camera.","Plausible","active"
"240","The photographer used the stethoscope.","Implausible","active"
"241","The pilot began the race.","Plausible","active"
"241","The pilot began the performance.","Implausible","active"
"242","The pilot started the race.","Plausible","active"
"242","The pilot started the concert.","Implausible","active"
"243","The pilot won the race.","Plausible","active"
"243","The pilot won the lottery.","Implausible","active"
"244","The player began the match.","Plausible","active"
"244","The player began the class.","Implausible","active"
"245","The player enjoyed the game.","Plausible","active"
"245","The player enjoyed the beer.","Implausible","active"
"246","The player gained the ball.","Plausible","active"
"246","The player gained the degree.","Implausible","active"
"247","The player gathered the ball.","Plausible","active"
"247","The player gathered the grass.","Implausible","active"
"248","The player passed the ball.","Plausible","active"
"248","The player passed the exam.","Implausible","active"
"249","The player reached the goal.","Plausible","active"
"249","The player reached the moon.","Implausible","active"
"250","The player touched the base.","Plausible","active"
"250","The player touched the flower.","Implausible","active"
"252","The policeman captured the thief.","Plausible","active"
"252","The policeman captured the image.","Implausible","active"
"253","The policeman checked the bag.","Plausible","active"
"253","The policeman checked the groceries.","Implausible","active"
"254","The policeman examined the car.","Plausible","active"
"254","The policeman examined the patient.","Implausible","active"
"255","The policeman fought the crime.","Plausible","active"
"255","The policeman fought the obesity.","Implausible","active"
"256","The policeman hit the demonstrator.","Plausible","active"
"256","The policeman hit the ball.","Implausible","active"
"257","The policeman pushed the demonstrator.","Plausible","active"
"257","The policeman pushed the stroller.","Implausible","active"
"258","The politician signed the agreement.","Plausible","active"
"258","The politician signed the paint.","Implausible","active"
"259","The porter carried the bag.","Plausible","active"
"259","The porter carried the flag.","Implausible","active"
"260","The porter loaded the luggage.","Plausible","active"
"260","The porter loaded the file.","Implausible","active"
"261","The porter stacked the suitcase.","Plausible","active"
"261","The porter stacked the wood.","Implausible","active"
"262","The postman delivered the mail.","Plausible","active"
"262","The postman delivered the punch.","Implausible","active"
"263","The president delivered the speech.","Plausible","active"
"263","The president delivered the kick.","Implausible","active"
"264","The president gave the speech.","Plausible","active"
"264","The president gave the book.","Implausible","active"
"265","The president promised the reform.","Plausible","active"
"265","The president promised the bicycle.","Implausible","active"
"266","The president visited the school.","Plausible","active"
"266","The president visited the grandmother.","Implausible","active"
"267","The priest celebrated the marriage.","Plausible","active"
"267","The priest celebrated the graduation.","Implausible","active"
"268","The priest promised the salvation.","Plausible","active"
"268","The priest promised the promotion.","Implausible","active"
"269","The priest taught the bible.","Plausible","active"
"269","The priest taught the chemistry.","Implausible","active"
"270","The producer released the film.","Plausible","active"
"270","The producer released the prisoner.","Implausible","active"
"271","The professor delivered the lecture.","Plausible","active"
"271","The professor delivered the kick.","Implausible","active"
"272","The professor donated the book.","Plausible","active"
"272","The professor donated the organ.","Implausible","active"
"273","The professor opened the congress.","Plausible","active"
"273","The professor opened the jail.","Implausible","active"
"274","The professor taught the language.","Plausible","active"
"274","The professor taught the karate.","Implausible","active"
"275","The professor wore the tie.","Plausible","active"
"275","The professor wore the goggles.","Implausible","active"
"276","The professor wrote the book.","Plausible","active"
"276","The professor wrote the magazine.","Implausible","active"
"277","The programmer described the software.","Plausible","active"
"277","The programmer described the monument.","Implausible","active"
"278","The programmer loaded the file.","Plausible","active"
"278","The programmer loaded the ammunition.","Implausible","active"
"279","The programmer used the computer.","Plausible","active"
"279","The programmer used the shovel.","Implausible","active"
"280","The pupil drew the flower.","Plausible","active"
"280","The pupil drew the turbine.","Implausible","active"
"281","The pusher sold the drug.","Plausible","active"
"281","The pusher sold the chocolate.","Implausible","active"
"282","The pyromaniac started the fire.","Plausible","active"
"282","The pyromaniac started the computer.","Implausible","active"
"283","The receiver caught the baseball.","Plausible","active"
"283","The receiver caught the wave.","Implausible","active"
"284","The referee moved the ball.","Plausible","active"
"284","The referee moved the furniture.","Implausible","active"
"285","The refugee found the shelter.","Plausible","active"
"285","The refugee found the doll.","Implausible","active"
"286","The reporter brought the news.","Plausible","active"
"286","The reporter brought the cake.","Implausible","active"
"287","The reporter held the camera.","Plausible","active"
"287","The reporter held the knife.","Implausible","active"
"288","The roofer climbed the ladder.","Plausible","active"
"288","The roofer climbed the rock.","Implausible","active"
"289","The sailor faced the ocean.","Plausible","active"
"289","The sailor faced the wall.","Implausible","active"
"290","The sailor mopped the deck.","Plausible","active"
"290","The sailor mopped the classroom.","Implausible","active"
"291","The sailor tied the rope.","Plausible","active"
"291","The sailor tied the necktie.","Implausible","active"
"292","The salesperson sent the questionnaire.","Plausible","active"
"292","The salesperson sent the gun.","Implausible","active"
"293","The scientist reported the finding.","Plausible","active"
"293","The scientist reported the marriage.","Implausible","active"
"294","The scoutmaster assembled the tent.","Plausible","active"
"294","The scoutmaster assembled the sailboat.","Implausible","active"
"295","The sculptor carved the stone.","Plausible","active"
"295","The sculptor carved the meat.","Implausible","active"
"296","The sculptor taught the art.","Plausible","active"
"296","The sculptor taught the skydiving.","Implausible","active"
"298","The sergeant assigned the mission.","Plausible","active"
"298","The sergeant assigned the homework.","Implausible","active"
"299","The singer began the performance.","Plausible","active"
"299","The singer began the race.","Implausible","active"
"300","The singer held the microphone.","Plausible","active"
"300","The singer held the sword.","Implausible","active"
"301","The singer performed the music.","Plausible","active"
"301","The singer performed the trick.","Implausible","active"
"302","The singer recorded the song.","Plausible","active"
"302","The singer recorded the recipe.","Implausible","active"
"303","The singer started the concert.","Plausible","active"
"303","The singer started the videogame.","Implausible","active"
"304","The skater rode the skates.","Plausible","active"
"304","The skater rode the bus.","Implausible","active"
"305","The skier gained the speed.","Plausible","active"
"305","The skier gained the ball.","Implausible","active"
"306","The skipper assembled the sailboat.","Plausible","active"
"306","The skipper assembled the bicycle.","Implausible","active"
"307","The smuggler sold the weapon.","Plausible","active"
"307","The smuggler sold the flower.","Implausible","active"
"308","The snowboarder flipped the board.","Plausible","active"
"308","The snowboarder flipped the bike.","Implausible","active"
"309","The soldier carried the rifle.","Plausible","active"
"309","The soldier carried the ball.","Implausible","active"
"310","The soldier celebrated the victory.","Plausible","active"
"310","The soldier celebrated the graduation.","Implausible","active"
"311","The soldier checked the rifle.","Plausible","active"
"311","The soldier checked the burner.","Implausible","active"
"312","The soldier crossed the river.","Plausible","active"
"312","The soldier crossed the stage.","Implausible","active"
"313","The soldier dug the trench.","Plausible","active"
"313","The soldier dug the pool.","Implausible","active"
"314","The soldier fought the enemy.","Plausible","active"
"314","The soldier fought the cancer.","Implausible","active"
"315","The soldier gathered the ammunition.","Plausible","active"
"315","The soldier gathered the ball.","Implausible","active"
"316","The soldier gathered the flag.","Plausible","active"
"316","The soldier gathered the grass.","Implausible","active"
"317","The soldier heard the command.","Plausible","active"
