ItemNum,Plausibility,Sentence,agent_freq,patient_freq,sentence_freq,verb_freq
29,plaus,The thief is stealing the purse from the grandma.,8.50167338,9.393494915,11.51591625,9.822602824
29,implaus,The grandma is stealing the purse from the thief.,8.965334574,9.393494915,11.51591625,9.822602824
30,plaus,The cat is chasing the mouse.,13.17760507,9.736251633,12.26541735,9.064620718
30,implaus,The mouse is chasing the cat.,9.736251633,13.17760507,12.26541735,9.064620718
31,plaus,The visitor is pushing the patient.,8.883778861,11.11489267,11.78717281,10.11585323
31,implaus,The patient is pushing the visitor.,11.11489267,8.883778861,11.78717281,10.11585323
32,plaus,The relative is bringing flowers to the patient.,9.851615143,11.11489267,12.11855457,10.37629973
32,implaus,The patient is bringing flowers to the relative.,11.11489267,9.851615143,12.11855457,10.37629973
33,plaus,The boss is yelling at the worker.,9.850350454,11.12710121,12.25621471,11.06957156
33,implaus,The worker is yelling at the boss.,11.12710121,9.850350454,12.25621471,11.06957156
34,plaus,The dog is leading the blind person.,11.77820854,7.109879463,12.39448215,11.70265286
34,implaus,The blind person is leading the dog.,7.109879463,11.77820854,12.39448215,11.70265286
35,plaus,The bouncer is preventing the woman from entering.,6.893656355,10.80758424,10.85341858,10.16485132
35,implaus,The woman is preventing the bouncer from entering.,10.80758424,6.893656355,10.85341858,10.16485132
36,plaus,The dog is licking the girl on the face.,11.77820854,10.6320984,12.58620099,9.87395575
36,implaus,The girl is licking the dog on the face.,10.6320984,11.77820854,12.58620099,9.87395575
37,plaus,The man is proposing to the woman.,14.09497319,10.80758424,12.84349245,11.49257989
37,implaus,The woman is proposing to the man.,10.80758424,14.09497319,12.84349245,11.49257989
38,plaus,The tailor is measuring the princess.,9.1372319,8.647694999,11.53622435,11.30333959
38,implaus,The princess is measuring the tailor.,8.647694999,9.1372319,11.53622435,11.30333959
39,plaus,The lifeguard is saving the grandmother.,7.560080465,8.245121966,11.44544816,10.30323635
39,implaus,The grandmother is saving the lifeguard.,8.245121966,7.560080465,11.44544816,10.30323635
40,plaus,The chauffeur is opening the door for the lady.,7.562161631,11.01157151,12.26708064,11.4584904
40,implaus,The lady is opening the door for the chauffeur.,10.15428518,11.01157151,12.26708064,11.4584904
