ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,sentence
51,passive,implausible,The convalescent was taken by the pill.,The convalescent took the pill.,AI,11.89712687
52,passive,plausible,The medicine was swallowed by the patient.,The patient swallowed the medicine.,AI,11.77041286
52,passive,implausible,The patient was swallowed by the medicine.,The patient swallowed the medicine.,AI,11.77041286
53,passive,plausible,The stash was hidden by the hoarder.,The hoarder hid the stash.,AI,11.05505062
53,passive,implausible,The hoarder was hidden by the stash.,The hoarder hid the stash.,AI,11.05505062
54,passive,plausible,The stockpile was concealed by the packrat.,The packrat concealed the stockpile.,AI,10.86455118
54,passive,implausible,The packrat was concealed by the stockpile.,The packrat concealed the stockpile.,AI,10.86455118
55,passive,plausible,The story was abandoned by the reporter.,The reporter abandoned the story.,AI,11.86486278
55,passive,implausible,The reporter was abandoned by the story.,The reporter abandoned the story.,AI,11.86486278
56,passive,plausible,The article was ditched by the journalist.,The journalist ditched the article.,AI,11.44169468
56,passive,implausible,The journalist was ditched by the article.,The journalist ditched the article.,AI,11.44169468
57,passive,plausible,The steak was eaten by the carnivore.,The carnivore ate the steak.,AI,11.19987157
57,passive,implausible,The carnivore was eaten by the steak.,The carnivore ate the steak.,AI,11.19987157
58,passive,plausible,The filet was devoured by the meat-eater.,The meat-eater devoured the filet.,AI,10.04307205
58,passive,implausible,The meat-eater was devoured by the filet.,The meat-eater devoured the filet.,AI,10.04307205
59,passive,plausible,The soda was drunk by the man.,The man drank the soda.,AI,12.6679545
59,passive,implausible,The man was drunk by the soda.,The man drank the soda.,AI,12.6679545
60,passive,plausible,The laptop was bought by the teacher.,The teacher bought the laptop.,AI,11.41005237
60,passive,implausible,The teacher was bought by the laptop.,The teacher bought the laptop.,AI,11.41005237
61,passive,plausible,The computer was purchased by the instructor.,The instructor purchased the computer.,AI,11.663945
61,passive,implausible,The instructor was purchased by the computer.,The instructor purchased the computer.,AI,11.663945
62,passive,plausible,The supper was cooked by the lady.,The lady cooked the supper.,AI,11.57936049
62,passive,implausible,The lady was cooked by the supper.,The lady cooked the supper.,AI,11.57936049
63,passive,plausible,The dinner was prepared by the woman.,The woman prepared the dinner.,AI,12.0825327
63,passive,implausible,The woman was prepared by the dinner.,The woman prepared the dinner.,AI,12.0825327
64,passive,plausible,The souvenir was lost by the traveler.,The traveler lost the souvenir.,AI,11.60883542
64,passive,implausible,The traveler was lost by the souvenir.,The traveler lost the souvenir.,AI,11.60883542
65,passive,plausible,The memento was misplaced by the sightseer.,The sightseer misplaced the memento.,AI,10.88103117
65,passive,implausible,The sightseer was misplaced by the memento.,The sightseer misplaced the memento.,AI,10.88103117
66,passive,plausible,The itinerary was confirmed by the comedian.,The comedian confirmed the itinerary.,AI,11.17854924
66,passive,implausible,The comedian was confirmed by the itinerary.,The comedian confirmed the itinerary.,AI,11.17854924
67,passive,plausible,The schedule was verified by the humorist.,The humorist verified the schedule.,AI,11.47368266
67,passive,implausible,The humorist was verified by the schedule.,The humorist verified the schedule.,AI,11.47368266
68,passive,plausible,The brochure was skimmed by the woodworker.,The woodworker skimmed the brochure.,AI,10.82730426
68,passive,implausible,The woodworker was skimmed by the brochure.,The woodworker skimmed the brochure.,AI,10.82730426
69,passive,plausible,The target was reached by the guide.,The guide reached the target.,AI,12.02344803
69,passive,implausible,The guide was reached by the target.,The guide reached the target.,AI,12.02344803
70,passive,plausible,The grain was farmed by the townsperson.,The townsperson farmed the grain.,AI,11.02402341
70,passive,implausible,The townsperson was farmed by the grain.,The townsperson farmed the grain.,AI,11.02402341
71,passive,plausible,The crop was cultivated by the villager.,The villager cultivated the crop.,AI,11.59209173
71,passive,implausible,The villager was cultivated by the crop.,The villager cultivated the crop.,AI,11.59209173
72,passive,plausible,The manuscript was revised by the mentor.,The mentor revised the manuscript.,AI,11.52762523
72,passive,implausible,The mentor was revised by the manuscript.,The mentor revised the manuscript.,AI,11.52762523
73,passive,plausible,The paper was edited by the advisor.,The advisor edited the paper.,AI,11.69518313
73,passive,implausible,The advisor was edited by the paper.,The advisor edited the paper.,AI,11.69518313
74,passive,plausible,The chart was made by the accountant.,The accountant made the chart.,AI,12.08600095
74,passive,implausible,The accountant was made by the chart.,The accountant made the chart.,AI,12.08600095
75,passive,plausible,The graph was created by the bookkeeper.,The bookkeeper created the graph.,AI,11.75997082
75,passive,implausible,The bookkeeper was created by the graph.,The bookkeeper created the graph.,AI,11.75997082
76,passive,plausible,The pine tree was felled by the logger.,The logger felled the pine tree.,AI,11.40390074
76,passive,implausible,The logger was felled by the pine tree.,The logger felled the pine tree.,AI,11.40390074
77,passive,plausible,The company was run by the tycoon.,The tycoon ran the company.,AI,12.02540996
77,passive,implausible,The tycoon was run by the company.,The tycoon ran the company.,AI,12.02540996
78,passive,plausible,The corporation was governed by the mogul.,The mogul governed the corporation.,AI,11.51114343
78,passive,implausible,The mogul was governed by the corporation.,The mogul governed the corporation.,AI,11.51114343
79,passive,plausible,The ballot was biased by the campaigner.,The campaigner biased the ballot.,AI,11.19827543
79,passive,implausible,The campaigner was biased by the ballot.,The campaigner biased the ballot.,AI,11.19827543
80,passive,plausible,The vote was prejudiced by the activist.,The activist prejudiced the vote.,AI,11.61747855
80,passive,implausible,The activist was prejudiced by the vote.,The activist prejudiced the vote.,AI,11.61747855
81,passive,plausible,The suitcase was pulled by the stewardess.,The stewardess pulled the suitcase.,AI,10.82231604
81,passive,implausible,The stewardess was pulled by the suitcase.,The stewardess pulled the suitcase.,AI,10.82231604
82,passive,plausible,The luggage was dragged by the flight-attendant.,The flight-attendant dragged the luggage.,AI,10.86352408
82,passive,implausible,The flight-attendant was dragged by the luggage.,The flight-attendant dragged the luggage.,AI,10.86352408
83,passive,plausible,The speech was delivered by the congressman.,The congressman delivered the speech.,AI,11.51902685
83,passive,implausible,The congressman was delivered by the speech.,The congressman delivered the speech.,AI,11.51902685
84,passive,plausible,The address was given by the representative.,The representative gave the address.,AI,12.19834136
84,passive,implausible,The representative was given by the address.,The representative gave the address.,AI,12.19834136
85,passive,plausible,The estate was inspected by the sheriff.,The sheriff inspected the estate.,AI,11.55074819
85,passive,implausible,The sheriff was inspected by the estate.,The sheriff inspected the estate.,AI,11.55074819
86,passive,plausible,The property was examined by the constable.,The constable examined the property.,AI,11.83798805
86,passive,implausible,The constable was examined by the property.,The constable examined the property.,AI,11.83798805
87,passive,plausible,The photograph was signed by the celebrity.,The celebrity signed the photograph.,AI,11.53493241
87,passive,implausible,The celebrity was signed by the photograph.,The celebrity signed the photograph.,AI,11.53493241
88,passive,plausible,The picture was autographed by the star.,The star autographed the picture.,AI,11.93108507
88,passive,implausible,The star was autographed by the picture.,The star autographed the picture.,AI,11.93108507
89,passive,plausible,The boy was tutored by the nanny.,The nanny tutored the boy.,AAN,11.44678341
89,passive,implausible,The nanny was tutored by the boy.,The nanny tutored the boy.,AAN,11.44678341
90,passive,plausible,The lad was instructed by the governess.,The governess instructed the lad.,AAN,11.64676896
90,passive,implausible,The governess was instructed by the lad.,The governess instructed the lad.,AAN,11.64676896
91,passive,plausible,The senator was threatened by the blackmailer.,The blackmailer threatened the senator.,AAN,11.36843112
91,passive,implausible,The blackmailer was threatened by the senator.,The blackmailer threatened the senator.,AAN,11.36843112
92,passive,plausible,The legislator was menaced by the extortionist.,The extortionist menaced the legislator.,AAN,10.98604677
92,passive,implausible,The extortionist was menaced by the legislator.,The extortionist menaced the legislator.,AAN,10.98604677
93,passive,plausible,The philosopher was portrayed by the artist.,The artist portrayed the philosopher.,AAN,11.64528112
93,passive,implausible,The artist was portrayed by the philosopher.,The artist portrayed the philosopher.,AAN,11.64528112
94,passive,plausible,The thinker was depicted by the painter.,The painter depicted the thinker.,AAN,11.30667179
94,passive,implausible,The painter was depicted by the thinker.,The painter depicted the thinker.,AAN,11.30667179
95,passive,plausible,The intern was berated by the mechanic.,The mechanic berated the intern.,AAN,11.75090713
95,passive,implausible,The mechanic was berated by the intern.,The mechanic berated the intern.,AAN,11.75090713
96,passive,plausible,The aide was rebuked by the technician.,The technician rebuked the aide.,AAN,11.21090341
96,passive,implausible,The technician was rebuked by the aide.,The technician rebuked the aide.,AAN,11.21090341
97,passive,plausible,The troll was enchanted by the fairy.,The fairy enchanted the troll.,AAN,11.52692836
97,passive,implausible,The fairy was enchanted by the troll.,The fairy enchanted the troll.,AAN,11.52692836
98,passive,plausible,The ogre was mesmerized by the pixie.,The pixie mesmerized the ogre.,AAN,10.99971585
98,passive,implausible,The pixie was mesmerized by the ogre.,The pixie mesmerized the ogre.,AAN,10.99971585
99,passive,plausible,The dentist was assisted by the orderly.,The orderly assisted the dentist.,AAN,11.08565754
99,passive,implausible,The orderly was assisted by the dentist.,The orderly assisted the dentist.,AAN,11.08565754
100,passive,plausible,The orthodontist was helped by the nurse.,The nurse helped the orthodontist.,AAN,11.19651287
100,passive,implausible,The nurse was helped by the orthodontist.,The nurse helped the orthodontist.,AAN,11.19651287
101,passive,plausible,The tenant was evicted by the owner.,The owner evicted the tenant.,AAN,11.73073516
101,passive,implausible,The owner was evicted by the tenant.,The owner evicted the tenant.,AAN,11.73073516
102,passive,plausible,The renter was dislodged by the proprietor.,The proprietor kicked out the renter.,AAN,11.16616431
102,passive,implausible,The proprietor was dislodged by the renter.,The proprietor kicked out the renter.,AAN,11.16616431
103,passive,plausible,The conservative was attacked by the critic.,The critic attacked the conservative.,AAN,11.87995655
103,passive,implausible,The critic was attacked by the conservative.,The critic attacked the conservative.,AAN,11.87995655
104,passive,plausible,The right-winger was criticized by the reviewer.,The reviewer criticized the right-winger.,AAN,10.04479595
104,passive,implausible,The reviewer was criticized by the right-winger.,The reviewer criticized the right-winger.,AAN,10.04479595
105,passive,plausible,The director was badgered by the admirer.,The admirer badgered the director.,AAN,11.36375513
105,passive,implausible,The admirer was badgered by the director.,The admirer badgered the director.,AAN,11.36375513
106,passive,plausible,The filmmaker was pestered by the fan.,The fan pestered the filmmaker.,AAN,11.4451222
106,passive,implausible,The fan was pestered by the filmmaker.,The fan pestered the filmmaker.,AAN,11.4451222
107,passive,plausible,The youth was revived by the paramedic.,The paramedic revived the youth.,AAN,11.36394647
107,passive,implausible,The paramedic was revived by the youth.,The paramedic revived the youth.,AAN,11.36394647
108,passive,plausible,The youngster was resuscitated by the EMT.,The EMT resuscitated the youngster.,AAN,11.07670384
108,passive,implausible,The EMT was resuscitated by the youngster.,The EMT resuscitated the youngster.,AAN,11.07670384
109,passive,plausible,The marketer was duped by the prankster.,The prankster duped the marketer.,AAN,10.63273172
109,passive,implausible,The prankster was duped by the marketer.,The prankster duped the marketer.,AAN,10.63273172
110,passive,plausible,The distributor was tricked by the joker.,The joker tricked the distributor.,AAN,11.00987705
110,passive,implausible,The joker was tricked by the distributor.,The joker tricked the distributor.,AAN,11.00987705
111,passive,plausible,The damsel was courted by the playboy.,The playboy courted the damsel.,AAN,10.94847301
111,passive,implausible,The playboy was courted by the damsel.,The playboy courted the damsel.,AAN,10.94847301
112,passive,plausible,The maiden was wooed by the womanizer.,The womanizer wooed the maiden.,AAN,10.96916862
112,passive,implausible,The womanizer was wooed by the maiden.,The womanizer wooed the maiden.,AAN,10.96916862
113,passive,plausible,The clergyman was cherished by the nomad.,The nomad cherished the clergyman.,AAN,11.0921093
113,passive,implausible,The nomad was cherished by the clergyman.,The nomad cherished the clergyman.,AAN,11.0921093
114,passive,plausible,The priest was revered by the vagabond.,The vagabond revered the priest.,AAN,11.59141735
114,passive,implausible,The vagabond was revered by the priest.,The vagabond revered the priest.,AAN,11.59141735
115,passive,plausible,The statesman was shot by the assassin.,The assassin shot the statesman.,AAN,11.92313061
115,passive,implausible,The assassin was shot by the statesman.,The assassin shot the statesman.,AAN,11.92313061
116,passive,plausible,The politician was killed by the hit man.,The hit man killed the politician.,AAN,12.36893029
116,passive,implausible,The hit man was killed by the politician.,The hit man killed the politician.,AAN,12.36893029
117,passive,plausible,The elderly person was charged by the clerk.,The clerk charged the elderly person.,AAN,11.76902946
117,passive,implausible,The clerk was charged by the elderly person.,The clerk charged the elderly person.,AAN,11.76902946
118,passive,plausible,The senior citizen was billed by the cashier.,The cashier billed the senior citizen.,AAN,11.24392365
118,passive,implausible,The cashier was billed by the senior citizen.,The cashier billed the senior citizen.,AAN,11.24392365
119,passive,plausible,The hostage was rescued by the mediator.,The mediator rescued the hostage.,AAN,11.220253
119,passive,implausible,The mediator was rescued by the hostage.,The mediator rescued the hostage.,AAN,11.220253
120,passive,plausible,The captive was saved by the negotiator.,The negotiator saved the captive.,AAN,11.53570351
120,passive,implausible,The negotiator was saved by the captive.,The negotiator saved the captive.,AAN,11.53570351
121,passive,plausible,The assailant was found by the detective.,The detective found the assailant.,AAN,11.65506503
121,passive,implausible,The detective was found by the assailant.,The detective found the assailant.,AAN,11.65506503
122,passive,plausible,The attacker was located by the sleuth.,The sleuth located the attacker.,AAN,11.3285631
122,passive,implausible,The sleuth was located by the attacker.,The sleuth located the attacker.,AAN,11.3285631
123,passive,plausible,The apprentice was trained by the artisan.,The artisan trained the apprentice.,AAN,11.45756893
123,passive,implausible,The artisan was trained by the apprentice.,The artisan trained the apprentice.,AAN,11.45756893
124,passive,plausible,The trainee was taught by the craftsman.,The craftsman taught the trainee.,AAN,11.29895461
124,passive,implausible,The craftsman was taught by the trainee.,The craftsman taught the trainee.,AAN,11.29895461
125,passive,plausible,The trainer was defied by the biker.,The biker defied the trainer.,AAN,10.84813164
125,passive,implausible,The biker was defied by the trainer.,The biker defied the trainer.,AAN,10.84813164
126,passive,plausible,The coach was disobeyed by the cyclist.,The cyclist disobeyed the coach.,AAN,11.14730495
126,passive,implausible,The cyclist was disobeyed by the coach.,The cyclist disobeyed the coach.,AAN,11.14730495
127,passive,plausible,The audience was engrossed by the speaker.,The speaker engrossed the audience.,AAN,11.53966519
127,passive,implausible,The speaker was engrossed by the audience.,The speaker engrossed the audience.,AAN,11.53966519
128,passive,plausible,The spectators were captivated by the orator.,The orator captivated the spectators.,AAN,11.17006691
128,passive,implausible,The orator were captivated by the spectators.,The orator captivated the spectators.,AAN,11.17006691
129,passive,plausible,The cousin was shocked by the genius.,The genius shocked the cousin.,AAN,11.42215431
129,passive,implausible,The genius was shocked by the cousin.,The genius shocked the cousin.,AAN,11.42215431
130,passive,plausible,The relative was surprised by the prodigy.,The prodigy surprised the relative.,AAN,11.32816383
130,passive,implausible,The prodigy was surprised by the relative.,The prodigy surprised the relative.,AAN,11.32816383
131,passive,plausible,The bureaucrat was bribed by the smuggler.,The smuggler bribed the bureaucrat.,AAN,11.04641337
131,passive,implausible,The smuggler was bribed by the bureaucrat.,The smuggler bribed the bureaucrat.,AAN,11.04641337
132,passive,plausible,The maestro was irked by the amateur.,The amateur irked the maestro.,AAN,11.03384029
132,passive,implausible,The amateur was irked by the maestro.,The amateur irked the maestro.,AAN,11.03384029
133,passive,plausible,The virtuoso was irritated by the novice.,The novice irritated the virtuoso.,AAN,11.11805132
133,passive,implausible,The novice was irritated by the virtuoso.,The novice irritated the virtuoso.,AAN,11.11805132
134,passive,plausible,The witness was questioned by the lawyer.,The lawyer questioned the witness.,AAN,11.98155178
134,passive,implausible,The lawyer was questioned by the witness.,The lawyer questioned the witness.,AAN,11.98155178
135,passive,plausible,The bystander was interrogated by the attorney.,The attorney interrogated the bystander.,AAN,11.27955041
135,passive,implausible,The attorney was interrogated by the bystander.,The attorney interrogated the bystander.,AAN,11.27955041
136,passive,plausible,The enthusiast was disappointed by the singer.,The singer disappointed the enthusiast.,AAN,11.41573651
136,passive,implausible,The singer was disappointed by the enthusiast.,The singer disappointed the enthusiast.,AAN,11.41573651
137,passive,plausible,The connoisseur was disillusioned by the vocalist.,The vocalist disillusioned the connoisseur.,AAN,10.91972946
137,passive,implausible,The vocalist was disillusioned by the connoisseur.,The vocalist disillusioned the connoisseur.,AAN,10.91972946
138,passive,plausible,The diplomat was driven by the chauffeur.,The chauffeur drove the diplomat.,AAN,11.3958793
138,passive,implausible,The chauffeur was driven by the diplomat.,The chauffeur drove the diplomat.,AAN,11.3958793
139,passive,plausible,The ambassador was transported by the driver.,The driver transported the ambassador.,AAN,11.34423854
139,passive,implausible,The driver was transported by the ambassador.,The driver transported the ambassador.,AAN,11.34423854
140,passive,plausible,The prisoner was apprehended by the guard.,The guard apprehended the prisoner.,AAN,11.90560928
140,passive,implausible,The guard was apprehended by the prisoner.,The guard apprehended the prisoner.,AAN,11.90560928
141,passive,plausible,The inmate was caught by the warden.,The warden caught the inmate.,AAN,11.40150468
141,passive,implausible,The warden was caught by the inmate.,The warden caught the inmate.,AAN,11.40150468
142,passive,plausible,The dancer was costumed by the tailor.,The tailor costumed the dancer.,AAN,11.1767846
142,passive,implausible,The tailor was costumed by the dancer.,The tailor costumed the dancer.,AAN,11.1767846
143,passive,plausible,The ballerina was attired by the dressmaker.,The dressmaker attired the ballerina.,AAN,10.76618324
143,passive,implausible,The dressmaker was attired by the ballerina.,The dressmaker attired the ballerina.,AAN,10.76618324
144,passive,plausible,The child was scolded by the principal.,The principal scolded the child.,AAN,11.94204853
144,passive,implausible,The principal was scolded by the child.,The principal scolded the child.,AAN,11.94204853
145,passive,plausible,The kid was reprimanded by the headmaster.,The headmaster reprimanded the kid.,AAN,11.31890232
145,passive,implausible,The headmaster was reprimanded by the kid.,The headmaster reprimanded the kid.,AAN,11.31890232
146,passive,plausible,The heir was named by the lord.,The lord named the heir.,AAN,12.11572189
146,passive,implausible,The lord was named by the heir.,The lord named the heir.,AAN,12.11572189
147,passive,plausible,The successor was chosen by the baron.,The baron chose the successor.,AAN,11.91944524
147,passive,implausible,The baron was chosen by the successor.,The baron chose the successor.,AAN,11.91944524
148,passive,plausible,The rioter was restrained by the cop.,The cop restrained the rioter.,AAN,11.75867503
148,passive,implausible,The cop was restrained by the rioter.,The cop restrained the rioter.,AAN,11.75867503
149,passive,plausible,The rabble-rouser was subdued by the policeman.,The policeman subdued the rabble-rouser.,AAN,9.943393566
149,passive,implausible,The policeman was subdued by the rabble-rouser.,The policeman subdued the rabble-rouser.,AAN,9.943393566
150,passive,plausible,The baby was coddled by the dad.,The dad coddled the baby.,AAN,11.68463446
150,passive,implausible,The dad was coddled by the baby.,The dad coddled the baby.,AAN,11.68463446
151,passive,plausible,The infant was pampered by the father.,The father pampered the infant.,AAN,11.88132039
151,passive,implausible,The father was pampered by the infant.,The father pampered the infant.,AAN,11.88132039
152,passive,plausible,The rebel was exiled by the king.,The king exiled the rebel.,AAN,12.02225907
152,passive,implausible,The king was exiled by the rebel.,The king exiled the rebel.,AAN,12.02225907
153,passive,plausible,The insurgent was banished by the monarch.,The monarch banished the insurgent.,AAN,11.5655292
153,passive,implausible,The monarch was banished by the insurgent.,The monarch banished the insurgent.,AAN,11.5655292
