Metric,Parameter,Estimate,Std..Error,df,t.value,Pr...t..
syntax-based_PPMI,TrialTypeAAN,0.003049174,0.009716187,343.2051751,0.313824169,0.753845243
syntax-based_PPMI,TrialTypeAI,-0.008523776,0.010155109,350.4609565,-0.839358426,0.401840388
syntax-based_PPMI,VoiceA>P,-0.087820732,0.005385154,984.2137346,-16.30793201,4.18E-53
syntax-based_PPMI,agent_freq_norm,-0.015345882,0.003596278,616.7025727,-4.267156821,2.29E-05
syntax-based_PPMI,patient_freq_norm,-0.010311662,0.003593966,614.1229196,-2.869159385,0.004257148
syntax-based_PPMI,verb_freq_norm,-0.032701905,0.003950501,358.3302215,-8.277914269,2.51E-15
syntax-based_PPMI,sentence_freq_norm,-0.009074253,0.004239467,1126.861396,-2.140422981,0.032534762
syntax-based_PPMI,PlausibilityImplausible:TrialTypeAAN,0.002093711,0.003976268,380.8175013,0.526551678,0.598811502
syntax-based_PPMI,PlausibilityImplausible:TrialTypeAI,0.000458474,0.004135013,381.4451464,0.110875965,0.91177302
syntax-based_PPMI,PlausibilityImplausible:VoiceA>P,0.001378239,0.004994447,713.4274971,0.275954365,0.782663031
syntax-based_PPMI,TrialTypeAAN:VoiceA>P,0.00545702,0.005100833,714.7580722,1.069829187,0.285057344
syntax-based_PPMI,TrialTypeAI:VoiceA>P,0.014178285,0.00522112,728.0538413,2.715564029,0.006773164
syntax-based_PPMI,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,-0.019975767,0.007203094,713.4274971,-2.773220357,0.005695392
syntax-based_PPMI,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.023825593,0.00726465,713.4274973,-3.279661369,0.001089796
v2_sdm,(Intercept),0.526147306,0.010687796,380.1281283,49.22879418,5.11E-167
v2_sdm,PlausibilityImplausible,-0.002267748,0.009188103,1082.778042,-0.246813536,0.80509932
v2_sdm,TrialTypeAAN,0.020901592,0.015269583,378.0024175,1.368838368,0.171862677
v2_sdm,TrialTypeAI,0.017435244,0.016011734,392.1501957,1.088904159,0.276864874
v2_sdm,VoiceA>P,0.207904216,0.016052545,1523.572217,12.95147975,1.80E-36
v2_sdm,agent_freq_norm,0.007598314,0.006768234,578.3466495,1.12264346,0.262054781
v2_sdm,patient_freq_norm,0.014014362,0.006766193,577.5767561,2.07123302,0.038780516
v2_sdm,verb_freq_norm,0.036383345,0.006024465,349.8012617,6.039265818,3.96E-09
v2_sdm,sentence_freq_norm,0.024372276,0.009915119,647.3529025,2.458092141,0.01422863
v2_sdm,PlausibilityImplausible:TrialTypeAAN,-0.011034685,0.013222011,1082.76142,-0.834569324,0.404144331
v2_sdm,PlausibilityImplausible:TrialTypeAI,-0.034589931,0.013755622,1082.982131,-2.514603132,0.012060646
v2_sdm,PlausibilityImplausible:VoiceA>P,-0.015434004,0.018291034,1084.906628,-0.843801605,0.398966288
v2_sdm,TrialTypeAAN:VoiceA>P,-0.069524241,0.018664439,1087.022777,-3.724957432,0.000205385
v2_sdm,TrialTypeAI:VoiceA>P,0.055280013,0.018939093,1108.487288,2.918830973,0.003584457
v2_sdm,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,0.046427161,0.026379704,1084.906628,1.759957612,0.078696777
v2_sdm,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.21373055,0.02660514,1084.906628,-8.033430708,2.46E-15
xlnet-large-cased,(Intercept),0.55610695,0.007318864,447.7122471,75.98269009,5.68E-258
xlnet-large-cased,PlausibilityImplausible,-0.002982067,0.008580464,1136.71033,-0.347541479,0.728248902
xlnet-large-cased,TrialTypeAAN,-0.011218134,0.010469214,443.3195749,-1.071535465,0.284511723
xlnet-large-cased,TrialTypeAI,-0.021326501,0.010971662,471.095814,-1.943780362,0.052517008
xlnet-large-cased,VoiceA>P,-0.080304675,0.013680587,1491.204964,-5.869972819,5.36E-09
xlnet-large-cased,agent_freq_norm,-0.005195756,0.004627174,661.2898556,-1.122878759,0.26189649
xlnet-large-cased,patient_freq_norm,-0.007390783,0.00462657,661.1648774,-1.597465077,0.110639865
xlnet-large-cased,verb_freq_norm,0.002416934,0.003754385,389.5373685,0.643763161,0.520107858
xlnet-large-cased,sentence_freq_norm,0.00211877,0.006694574,518.4338142,0.316490694,0.751757479
xlnet-large-cased,PlausibilityImplausible:TrialTypeAAN,0.013808966,0.012347587,1136.707915,1.118353352,0.263652396
xlnet-large-cased,PlausibilityImplausible:TrialTypeAI,-0.001467723,0.012846036,1136.740106,-0.114254906,0.909055904
xlnet-large-cased,PlausibilityImplausible:VoiceA>P,0.024248229,0.017084817,1137.192432,1.419285298,0.156089893
xlnet-large-cased,TrialTypeAAN:VoiceA>P,0.030412661,0.017428616,1138.415941,1.744984311,0.081257427
xlnet-large-cased,TrialTypeAI:VoiceA>P,0.082442801,0.017633857,1150.875117,4.67525632,3.28E-06
xlnet-large-cased,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,-0.024753786,0.024640073,1137.192432,-1.004614962,0.315296002
xlnet-large-cased,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.06611042,0.024850642,1137.192432,-2.66031031,0.007916709
order-based_PPMI,(Intercept),0.140044305,0.006087376,376.9878938,23.00569349,8.48E-74
order-based_PPMI,PlausibilityImplausible,-0.003680599,0.002047494,1013.61194,-1.797611574,0.072536116
order-based_PPMI,TrialTypeAAN,0.018100144,0.008695784,375.0155615,2.081485037,0.038067364
order-based_PPMI,TrialTypeAI,0.025478978,0.009079189,383.4097571,2.806305481,0.00526696
order-based_PPMI,VoiceA>P,-0.017387025,0.004396382,1417.778266,-3.954848482,8.04E-05
order-based_PPMI,agent_freq_norm,-0.003957898,0.003111293,641.9674759,-1.272107282,0.203795603
order-based_PPMI,patient_freq_norm,-0.001845308,0.003109039,639.0757874,-0.593530153,0.553036412
order-based_PPMI,verb_freq_norm,-0.026074746,0.003506454,397.9163722,-7.436215104,6.42E-13
order-based_PPMI,sentence_freq_norm,-0.019740394,0.003500516,1500.058301,-5.639282024,2.04E-08
order-based_PPMI,PlausibilityImplausible:TrialTypeAAN,0.00367327,0.002946606,1012.454565,1.246610425,0.212828709
order-based_PPMI,PlausibilityImplausible:TrialTypeAI,0.006812867,0.003062845,1027.987416,2.224358802,0.026340855
order-based_PPMI,PlausibilityImplausible:VoiceA>P,0.00512892,0.004014981,1136.320605,1.277445507,0.20170594
order-based_PPMI,TrialTypeAAN:VoiceA>P,0.005642492,0.004100834,1137.99738,1.37593764,0.169111659
order-based_PPMI,TrialTypeAI:VoiceA>P,0.018654543,0.004200893,1154.599235,4.440613702,9.83E-06
order-based_PPMI,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,-0.016928805,0.005790488,1136.320605,-2.923553953,0.003529208
order-based_PPMI,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.037706895,0.005839973,1136.320605,-6.456690339,1.58E-10
gpt2-xl_full,(Intercept),0.487544904,0.010157739,378.5973138,47.99738615,4.76E-163
gpt2-xl_full,PlausibilityImplausible,0.005535025,0.005509077,922.0131859,1.004710138,0.315300044
gpt2-xl_full,TrialTypeAAN,0.049527038,0.014523064,375.318486,3.410233419,0.000719595
gpt2-xl_full,TrialTypeAI,0.092364429,0.015141643,389.9595301,6.100026806,2.56E-09
gpt2-xl_full,VoiceA>P,0.094717594,0.010543799,1479.951635,8.983251194,7.80E-19
gpt2-xl_full,agent_freq_norm,0.009093651,0.005608197,680.5907287,1.621492977,0.105375102
gpt2-xl_full,patient_freq_norm,0.012251825,0.005596673,672.7989845,2.189126553,0.028930524
gpt2-xl_full,verb_freq_norm,0.01882581,0.005559566,400.3065699,3.386201213,0.000778783
gpt2-xl_full,sentence_freq_norm,0.04525433,0.007684981,1139.752458,5.888672009,5.12E-09
gpt2-xl_full,PlausibilityImplausible:TrialTypeAAN,-0.059807586,0.007928633,920.3857046,-7.54324045,1.10E-13
gpt2-xl_full,PlausibilityImplausible:TrialTypeAI,-0.166890674,0.008236197,942.4773987,-20.26307564,4.62E-76
gpt2-xl_full,PlausibilityImplausible:VoiceA>P,-0.000641592,0.010664188,1131.57812,-0.060163184,0.952036291
gpt2-xl_full,TrialTypeAAN:VoiceA>P,-0.009368728,0.010886889,1133.814027,-0.860551422,0.389667082
gpt2-xl_full,TrialTypeAI:VoiceA>P,0.001393694,0.011098248,1156.165751,0.125577828,0.900087947
gpt2-xl_full,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,-0.014263301,0.015380111,1131.57812,-0.927386099,0.353923863
gpt2-xl_full,PlausibilityImplausible:TrialTypeAI:VoiceA>P,0.003940457,0.015511547,1131.57812,0.254033802,0.799515595
surprisal_scores_tinylstm,(Intercept),0.396318242,0.010970315,383.1339191,36.12642158,1.90E-125
surprisal_scores_tinylstm,PlausibilityImplausible,0.001039046,0.003187533,1068.66049,0.325971813,0.7445095
surprisal_scores_tinylstm,TrialTypeAAN,-0.0132435,0.015666241,381.7083648,-0.845352758,0.398443486
surprisal_scores_tinylstm,TrialTypeAI,-0.057674972,0.016369036,387.9135362,-3.523418953,0.000476803
surprisal_scores_tinylstm,VoiceA>P,-0.068301777,0.007030545,1379.391415,-9.715005157,1.26E-21
surprisal_scores_tinylstm,agent_freq_norm,-0.034055393,0.005508509,610.1093768,-6.182325121,1.16E-09
surprisal_scores_tinylstm,patient_freq_norm,-0.035607231,0.00550615,608.4794082,-6.46681109,2.06E-10
surprisal_scores_tinylstm,verb_freq_norm,-0.016363802,0.0064202,399.6316987,-2.548799278,0.011182426
surprisal_scores_tinylstm,sentence_freq_norm,0.010799161,0.00567707,1483.421365,1.902242049,0.057333031
surprisal_scores_tinylstm,PlausibilityImplausible:TrialTypeAAN,0.004078853,0.004587144,1067.919974,0.889192161,0.374100063
surprisal_scores_tinylstm,PlausibilityImplausible:TrialTypeAI,0.039379352,0.004769865,1077.791546,8.255862859,4.37E-16
surprisal_scores_tinylstm,PlausibilityImplausible:VoiceA>P,-0.000519186,0.006291485,1142.4977,-0.082521983,0.934246093
surprisal_scores_tinylstm,TrialTypeAAN:VoiceA>P,0.000689348,0.006426722,1143.90091,0.107262795,0.914599309
surprisal_scores_tinylstm,TrialTypeAI:VoiceA>P,-0.014005153,0.006590697,1157.764346,-2.124988337,0.033798919
surprisal_scores_tinylstm,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,-0.00287486,0.009073708,1142.4977,-0.316834052,0.751427408
surprisal_scores_tinylstm,PlausibilityImplausible:TrialTypeAI:VoiceA>P,0.003387061,0.00915125,1142.4977,0.370120036,0.711361654
human,(Intercept),0.799311882,0.00926798,379.1623019,86.2444553,2.95E-251
human,PlausibilityImplausible,-0.005211913,0.015920039,380.201505,-0.327380678,0.743560159
human,TrialTypeAAN,0.067261993,0.013243618,374.5755356,5.078823059,6.00E-07
human,TrialTypeAI,0.091285436,0.014013248,398.3867369,6.514224044,2.21E-10
human,VoiceA>P,0.003393581,0.011298771,1111.940925,0.300349581,0.763966661
human,agent_freq_norm,0.004062826,0.006075827,823.0682858,0.66868696,0.503882681
human,patient_freq_norm,0.002179087,0.006125374,854.8733501,0.355747528,0.722117413
human,verb_freq_norm,0.006879461,0.004850562,406.2177887,1.418281329,0.156875339
human,sentence_freq_norm,-0.000958523,0.007543415,825.4297135,-0.127067499,0.898917922
human,PlausibilityImplausible:TrialTypeAAN,-0.37905152,0.022915791,379.8285425,-16.54106234,1.13E-46
human,PlausibilityImplausible:TrialTypeAI,-0.78073436,0.023751242,384.7567059,-32.87130727,9.00E-114
human,PlausibilityImplausible:VoiceA>P,0.000144067,0.012274805,761.499048,0.011736775,0.990638697
human,TrialTypeAAN:VoiceA>P,-0.010754798,0.012527528,762.9623492,-0.85849319,0.390889808
human,TrialTypeAI:VoiceA>P,0.022206377,0.012733803,777.7867626,1.743892074,0.081572981
human,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,0.032194441,0.017702975,761.4990479,1.818589341,0.069366796
human,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.069445586,0.017854261,761.499048,-3.889580476,0.000109194
