"TrialType","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"TrainOn:AI-TestOn:AAN","Early layers, trend","0 *","0 ***","0.02 ***","0 ***"
"TrainOn:AI-TestOn:AAN","Middle layers, trend","0.01 ***","0 ***","","0 ***"
"TrainOn:AI-TestOn:AAN","Late layers, trend","0.01 ***","0 *","0 *","0 ***"
"TrainOn:AI-TestOn:AAR","Ceiling (human ratings)","0.99 ***","0.99 ***","0.99 ***","0.99 ***"
"TrainOn:AI-TestOn:AAR","Early layers > human","-0.68 ***","-0.66 ***","-0.75 ***","-0.78 ***"
"TrainOn:AI-TestOn:AAR","Middle layers > human","-0.25 ***","-0.26 ***","-0.64 ***","-0.42 ***"
"TrainOn:AI-TestOn:AAR","Late layers > human","-0.24 ***","-0.19 ***","-0.62 ***","-0.3 ***"
"TrainOn:AI-TestOn:AAR","Early layers, trend","0.05 ***","0.03 ***","0.05 ***","0.01 ***"
"TrainOn:AI-TestOn:AAR","Middle layers, trend","","0.04 ***","","0.01 ***"
"TrainOn:AI-TestOn:AAR","Late layers, trend","","0.01 *","","0.01 ***"
"TrainOn:AI-TestOn:AI","Ceiling (human ratings)","0.98 ***","0.98 ***","0.98 ***","0.98 ***"
"TrainOn:AI-TestOn:AI","Early layers > human","-0.17 ***","-0.25 ***","-0.08 ***","-0.16 ***"
"TrainOn:AI-TestOn:AI","Middle layers > human","","-0.14 ***","",""
"TrainOn:AI-TestOn:AI","Late layers > human","","","",""
"TrainOn:AI-TestOn:AI","Early layers, trend","0.06 ***","0.05 ***","0.04 ***","0.03 ***"
"TrainOn:AI-TestOn:AI","Middle layers, trend","","0.02 ***","",""
"TrainOn:AI-TestOn:AI","Late layers, trend","","","",""
"TrainOn:normal-TestOn:AAR","Ceiling (human ratings)","0.91 ***","0.91 ***","0.91 ***","0.91 ***"
"TrainOn:normal-TestOn:AAR","Early layers > human","-0.5 ***","-0.52 ***","-0.56 ***","-0.51 ***"
"TrainOn:normal-TestOn:AAR","Middle layers > human","-0.47 ***","-0.43 ***","-0.59 ***","-0.5 ***"
"TrainOn:normal-TestOn:AAR","Late layers > human","-0.46 ***","-0.46 ***","-0.6 ***","-0.54 ***"
"TrainOn:normal-TestOn:AAR","Early layers, trend","0.03 ***","0.02 ***","0.02 ***","0.01 ***"
"TrainOn:normal-TestOn:AAR","Middle layers, trend","-0.01 **","","","0 **"
"TrainOn:normal-TestOn:AAR","Late layers, trend","","","",""
